"entity","contact","title","zipcode","phone","location_1"
"Lyman City","Vanor Okerlund",,"84749",,"
Lyman, UT 
(38.39348420200048, -111.58949559499968)"
"Orderville City","J. Brad Adair","Mayor","84758","(435) 648-2534","425 East State Street
Orderville, UT 
(37.27662500800045, -112.63068729099967)"
"Eagle Mountain City","Fionnuala Kofoed","City Recorder","84043","(801) 789-6610","1650 E Stagecoach Run
Eagle Mountain, UT 
(40.30981359700047, -112.01185820899968)"
"Ephraim City","Morris O. Casperson","Mayor","84627","(435) 283-4312","5 South Main
Ephraim, UT 
(39.35964016100047, -111.58710533199968)"
"Altamont City","Travis Mitchell","Mayor","84001","(435) 454-3469","98 E. Main Street
Altamont, UT 
(40.3593636170005, -110.28425827899969)"
"Ft. Green City","Scott Collard","Mayor","84632","(435) 445-3453","260 West 100 North P.O. Box 97
Ft. Green, UT "
"Sigurd City","Jim Freeby",,"84657","(435) 896-4645","
Sigurd, UT 
(38.84190370300047, -111.96735882899969)"
"Bear River City","Carol S. Andreasen","City Recorder","84301","(435) 279-9047","5871 N 4700 W
Bear River, UT 
(41.6159136870005, -112.12703109899968)"
"Ogden City","Tracy Hansen","City Recorder","84401","(801) 629-8156","2549 Washington Blvd Suite 210
Ogden, UT 
(41.21948146400047, -111.97056485599967)"
"Delta City","Gregory J. Schafer MMC","City Recorder/Finance Director",,"(435) 864-2759","76 North 200 West
Delta, UT 
(39.35370555600048, -112.57919705299969)"
"Clawson City","Amanda Price","Mayor","84516","(435) 384-2724","200 South Main
Clawson, UT 
(39.12932582700046, -111.0989290229997)"
"Salina City","Sherri Westbrook","Recorder","84654","(435) 529-7304","90 West Main Street
Salina, UT 
(38.957578801000466, -111.86153079199971)"
"Newton City","Floyd G. Salisbury","Mayor","84327","(435) 563-9283","51 South Center
Newton, UT 
(41.86130367800047, -111.98855402099969)"
"Hildale City","David Zitting",,"84784","(435) 874-2323","
Hildale, UT 
(37.00359098100046, -112.98368972099968)"
"Midway City","Connie Tatton","Mayor",,"(435) 654-3223","75 North 100 West
Midway, UT 
(40.513377826000465, -111.47449974899968)"
"Green River City","Conae Black","City Recorder","84525","(435) 564-3448","460 East Main
Green River, UT 
(38.99548401500044, -110.1562035449997)"
"Herriman City","J. Lynn Crane","Mayor","84065","(801) 446-5323","13011 S. Pioneer Street
Herriman, UT 
(40.51555406400047, -112.03300381999969)"
"Smithfield City","James P. Gass","City Manager","84335","(435) 563-6226 106","69 North Main
Smithfield, UT 
(41.83792019600048, -111.83268388799968)"
"Lewiston City","Julie T. Bergeson","Recorder/Clerk","84320","(435) 258-2141","29 South Main
Lewiston, UT 
(41.97527758300049, -111.85665212299972)"
"Taylorsville City","Russ Wall","Mayor","84118","(801) 963-5400","2600 W Taylorsville Blvd
Taylorsville, UT 
(40.654110500000456, -111.9554247969997)"
"Garden City","John Spuhler","Mayor","84028","(435) 946-2901","145 West Center
Garden City, UT 
(41.95025153100045, -111.39327968399971)"
"Howell City","Carlos Christensen","Mayor","84316","(435) 471-2245","16840 West 12800 North
Howell, UT 
(41.73711829500047, -112.4307399819997)"
"Elwood City","Greg Iverson","Mayor","84337","(435) 279-8473","5235 West 8800 North
Elwood, UT 
(41.669452839000485, -112.14174070099972)"
"West Valley City","Sheri C. McKendrick","City Recorder","84119","(801) 963-3203","3600 Constitution Blvd
West Valley City, UT 
(40.6940578060005, -111.95811652699967)"
"Deweyville City","James Poulsen","Mayor","84309","(435) 257-3337","11105 N HWY #38
Deweyville, UT 
(41.71538107700047, -112.09362587199968)"
"Draper City","Tracy B. Norr CMC","City Recorder","84020","(801) 576-6502","1020 E Pioneer Road
Draper, UT 
(40.525133291000486, -111.86255779599969)"
"South Salt Lake City","Craig D. Burton","City Recorder",,"(801) 483-6000","220 E Morris Ave Suite 200
South Salt Lake City, UT 
(40.71782361700048, -111.88506070799968)"
"Coalville City","Howard Madsen",,"84017","(435) 336-5981","
Coalville, UT 
(40.91822211700048, -111.39965734899971)"
"Oak City","Winston Nielson",,"84649","(435) 846-3851","30 W Center
Oak City, UT 
(39.3749970880005, -112.33695379999972)"
"Plain City","Jay Jenkins","Mayor","84404","(801) 731-4908","4160 West 2200 North
Plain City, UT 
(41.29790584900047, -112.08039463599971)"
"Portage City","Keith Wadman","Mayor","84331","(435) 866-2108","25880 North 9000 West
Portage, UT 
(41.977185446000476, -112.2420189879997)"
"Clearfield City","Nancy R. Dean","City Recorder","84015","(801) 525-2700","55 South State Street
Clearfield, UT 
(41.11253084000049, -112.02492582699966)"
"Kaysville City","Linda Ross","City Recorder","84037","(801) 546-1235","23 East Center Street
Kaysville, UT 
(41.034885620000466, -111.9380448279997)"
"Spring City","Eldon Barnes","Mayor","84662","(435) 462-2244","150 East Center Street
Spring City, UT 
(39.47809427800047, -111.49331758999966)"
"Roy City","Joe H. Ritchie","Mayor","84067","(801) 774-1020","5051 South 1900 West
Roy, UT 
(41.17109111700046, -112.0260536299997)"
"Mona City","Bryce Lynn","Mayor","84645","(435) 623-4913","50 West Center
Mona, UT 
(39.816171650000456, -111.85619256599966)"
"Fielding City","Jim Garn","Mayor","84311","(435) 458-3374","215 South Center
Fielding, UT 
(41.81093115300047, -112.1160240749997)"
"Hinckley City","Donald Brown","Mayor","84635","(435) 864-3522","161 E 300 N
Hinckley, UT 
(39.32798341300048, -112.6682051569997)"
"Plymouth City","Rebecca Bronson",,"84330","(435) 458-3347","5325 West 20300 North
Plymouth, UT 
(41.87719311800049, -112.1494702069997)"
"Highland City","Wini Jensen","City Recorder","84003","(801) 756-5751","5378 West 10400 North
Highland, UT 
(40.42095436200049, -111.78773060699967)"
"Randolph City","J. Kevin Kearl","Mayor","84064","(435) 793-3185","20 South Main
Randolph, UT 
(41.6650874340005, -111.1848898289997)"
"Oakley City","Paul Woolstenhulme",,"84055","(435) 783-5734","
Oakley, UT 
(40.71487376200048, -111.2988697019997)"
"Monticello City","Trent Schafer","City Manager","84535","(435) 587-2271","17 N 100 E
Monticello, UT 
(37.873050684000475, -109.34469527999971)"
"Fillmore City","Marlene Cummings","City Recorder","84631","(435) 743-5233","75 W Center
Fillmore, UT 
(38.96887046000046, -112.3258532269997)"
"Town of Daniel","Michael Duggin","Mayor","84032",,"260 E. Teancum Rd.
Daniel, UT 
(40.47367353800047, -111.4095105459997)"
"Orangeville City","Patrick Jones","Mayor","84537","(435) 748-2651","25 North Main St
Orangeville, UT 
(39.22799006300045, -111.05320657199968)"
"Santaquin City","Susan B. Farnsworth","City Recorder","84655","(801) 754-3211 204","275 W MAIN
Santaquin, UT 
(39.97557394100045, -111.79102028999966)"
"Sunnyside City","Bruce Andrews",,"84539","(435) 888-4444","
Sunnyside, UT 
(39.5516913350005, -110.38585876599967)"
"Mantua City","Robert Ash",,"84324","(435) 723-7054","417 S Willard Peak Rd
Mantua, UT 
(41.486310845000446, -111.94205396999968)"
"Willard City","Jean Loveland","Mayor","84340","(435) 734-9881","80 West 50 South
Willard, UT 
(41.40820750600045, -112.03815978399967)"
"Meadow City","James Talbot","Mayor","84644","(435) 842-7123","160 East Center
Meadow, UT 
(38.885943272000475, -112.40638987399967)"
"Layton City","Thieda Wellman","City Recorder","84041","(801) 336-3800","437 N. Wasatch Dr.
Layton, UT 
(41.066125755000485, -111.96073772299968)"
"Nephi City","Blair Painter","City Recorder","84648","(435) 623-0822 104","21 East 100 North
Nephi, UT 
(39.71006893500049, -111.83565330299967)"
"Corinne City","Deverle Wells",,"84307","(435) 744-5566","3930 West 2550 North
Corinne, UT 
(41.5522473420005, -112.10841671099968)"
"LaVerkin City","Kyle Gubler","City Administrator / City Recorder","84745","(435) 635-2581 101","435 North Main
LaVerkin, UT "
"Levan City","Robert Shepherd",,"84639","(435) 623-1959","20 N Main
Levan, UT 
(39.557697764000466, -111.86380453799967)"
"Riverton City","Virginia Loader","City Recorder","84065","(801) 208-3126","12830 S. 1700 W.
Riverton, UT 
(40.49042278000047, -111.93896500999966)"
"Harrisville City","Jennie Knight","City Recorder","84404","(801) 782-4100 1000","363 W. Independence Blvd.
Harrisville, UT 
(41.281769889000486, -111.98483479299966)"
"Washington City","Danice B. Bulloch","City Recorder","84780","(435) 656-6308","111 North 100 East
Washington, UT 
(37.13255060300048, -113.50822479199968)"
"Honeyville City","Ellen Cook","Mayor","84314","(435) 279-8425","2635 West 6980 North
Honeyville, UT 
(41.63636080100048, -112.0805544909997)"
"Rush Valley City","Travis Sagers","Mayor","84069","(435) 837-2279","63 S West Park
Rush Valley, UT 
(40.3385432660005, -112.46499117499968)"
"Cleveland City","Jeff Horrocks",,"84518","(435) 653-2310","
Cleveland, UT 
(39.35082169500049, -110.85194636299968)"
