"company","mailing_address","company_city","phone","license","valid_date","description","location_1"
"ABC FIRE & SAFETY","1602 SOUTH BROADWAY","CORTEZ","970 565-6100","H2801","2016-01-17T00:00:00.000","INSTALL & SERVICE W/EXT.","
, CO 81321
(37.34968657600007, -108.59432827299997)"
"ALL WEST FIRE SERVICES LLC","11331 E RUTLEDGE AVE, MESA, AZ","PEORIA","602-373-6077","H3850","2015-11-19T00:00:00.000","INSTALL & SERVICE W/EXT.","
, AZ 85383
(33.72487008300004, -112.27191920299998)"
"TREASURE FIRE EQUIPMENT","2370 NORTH HWY 89","HARRISVILLE","801 737-3473","H28","2015-07-01T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 404-26
(39.32372597500006, -111.67824829399996)"
"PROFIRE & SAFETY","1856 E 160 S","SPANISH FORK","801-318-3321","H15851","2016-02-28T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84660
(40.10587998500006, -111.65030968199994)"
"THE HOOD GUY, LLC","914 N 300 W","AMERICAN FORK","801-763-0762","H4820","2015-08-18T00:00:00.000","HOOD CLEANING CONCERN","
, UT 89003
(36.90577908900008, -116.76463750999994)"
"CLARK'S HOME FIRE SAFETY","PO BOX 821","WELLINGTON","435 650-0554","H14411","2016-04-02T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84542
(39.542975832000025, -110.72797798399995)"
"AUTOMATED FIRE & SERVICE","4735 BRON BRECK","HOLLADAY","801 864-0389","H2269","2015-10-07T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84117
(40.66341805500008, -111.84229809499999)"
"FIRE ENGINEERING COMPANY","4717 SO 500 WEST","SALT LAKE CITY","801 262-3329","H1496","2015-08-01T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84123
(40.66343978100008, -111.92140760999996)"
"FIRE SUPPRESSION SERVICES INC","3802 SOUTH 2300 EAST","SALT LAKE CITY","801 277-6464","H42","2016-02-10T00:00:00.000","HOOD CLEANING CONCERN W/EXT","
, UT 84109
(40.70412641200005, -111.81487676499995)"
"RED HAWK HOOD & FIRE","45 NORTH MAIN SUITE 301","LOGAN","435-753-1665","H16331","2015-03-20T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84321
(41.72839628400004, -111.83498979499996)"
"BROKEN ARROW","8960 CLINTON LANDING ROAD","LAKE POINT","801 355-0527","H14261","2015-09-21T00:00:00.000","INSTALLATION & SERVICE","
, UT 84074
(40.55690893600007, -112.298606227)"
"FIRE GUYS FIRE PROTECTION LLC","P.O. BOX 691","AMERICAN FORK","801-815-7941","H16071","2015-03-08T00:00:00.000","HOOD CLEANING CONCERN W/EXT","
, UT 84003
(40.39478809000008, -111.79577612099996)"
"INTERSTATE FIRE PROTECTION","PO BOX 7216","BUNKERVILLE","702 346-5078","H48","2015-07-01T00:00:00.000","HOOD CLEANING CONCERN W/EXT","
, NV 89007
(36.771127369000055, -114.12665866599997)"
"SIMPLEX GRINNELL LV","1545 PAMA LANE","LAS VEGAS","702 739-1921","H1515","2015-09-16T00:00:00.000","INSTALL & SERVICE W/EXT.","
, NV 89119
(36.09582661400003, -115.13678988999999)"
"FIRE SUPPRESSION SERVICES INC","3802 SOUTH 2300 EAST","SALT LAKE CITY","801 277-6464","H42","2016-01-01T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84109
(40.70412641200005, -111.81487676499995)"
"CLEANER HOODS, INC.","3832 W. MOUNTAINTOP CIRCLE","CEDAR HILLS","801 785-1849","H11391","2015-04-21T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84062
(40.37518777100007, -111.74238903799994)"
"VISION CLEANING SERVICES","1412 WEST 3090 SOUTH","SYRACUSE","801-540-8455","H16911","2015-06-28T00:00:00.000","HOOD CLEANING CONCERN","
, UT 84075
(41.086217506000025, -112.06638740799997)"
"STEAMTEK PRESSURE WASHING","710 S INDIAN HILLS DR #28","ST GEORGE","435-574-9609","H17204","2016-03-03T00:00:00.000","HOOD CLEANING CONCERN","
, UT 84770
(37.115977420000036, -113.60079568499998)"
"FORSYTHE FIRE LLC","98 W 900 N","HELPER","435-650-3915","H3840","2015-11-19T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84526
(39.66834662100007, -110.85471744899996)"
"UTAH FIRE EQUIPMENT","227 W 17TH STREET","OGDEN","801 621-4261","H1B","2015-05-09T00:00:00.000","INSTALL & SVCE BRANCH W/ EXT.","
, UT 404-55
(39.32372597500006, -111.67824829399996)"
"INTERMOUNTAIN POWER SERVICE","850 W. BRUSH WELLMAN RD","DELTA","801-864-4414","H24","2015-09-29T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84624
(39.35765700300004, -112.59567859799995)"
"STEAM TEAM 2/SES FIRE PROTECT","705 SO REDWOOD RD LOT 95","SALT LAKE CITY","801 484-8028","H1267","2015-04-24T00:00:00.000","KITCHEN EXHAUST CLEANING","
, UT 84104
(40.746577116000026, -111.93907874699994)"
"KWIK CLEAN OF UTAH","PO BOX 711, WEST JORDAN 84084","WEST JORDAN","801-815-0269","H3830","2015-11-08T00:00:00.000","HOOD CLEANING CONCERN","
, UT 84088
(40.595488240000066, -111.96099929999997)"
"H & H FIRE AND SAFETY","1316 S 400 E #D2","ST GEORGE",,"H4940","2015-09-02T00:00:00.000","HOOD CLEANING CONCERN W/EXT","
, UT 84790
(37.08085674100005, -113.55843622699996)"
"LAKE VIEW VENTILATION","2503 TAYLOR AVE","OGDEN","801-719-9060","H4360","2015-05-28T00:00:00.000","HOOD CLEANING CONCERN","
, UT 84401
(41.216128825000055, -111.99699766999998)"
"PACKER'S EXTINGUISHER SERVICE","219 SO 500 WEST","BRIGHAM CITY","435-230-0248","H1290","2015-08-03T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84302
(41.50616663200003, -112.02115590099999)"
"UTAH FIRE EQUIPMENT","PO BOX 651276","SALT LAKE CITY","801 373-3999","H175","2015-10-29T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84115
(40.715458186000035, -111.88832908299997)"
"PRESSURE CLEAN","1905 W 4700 S #454","TAYLORSVILLE","801-967-6312","H2607","2015-11-20T00:00:00.000","HOOD CLEANING CONCERN","
, UT 84129
(40.652338291000035, -111.96184657599997)"
"TWO GUYS HOOD CLEANING","11980 S 3600 W","RIVERTON","801-696-8127","H2457","2015-10-22T00:00:00.000","HOOD CLEANING CONCERN","
, UT 84065
(40.51054772700007, -111.94858996399995)"
"J'S POWER WASHING","386 E 6600 S","HYRUM","435-881-4358","H3150","2015-05-29T00:00:00.000","HOOD CLEANING CONCERN","
, UT 84319
(41.63170687600007, -111.84826813199999)"
"AAA FIRE SAFETY & ALARM","PO BOX 741","LAYTON","801 544-7345","H3","2015-06-29T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84041
(41.07592853300008, -111.97750597599997)"
"RED HAWK HOOD & FIRE","45 NORTH MAIN SUITE 301","LOGAN","435-753-1665","H16331","2015-04-29T00:00:00.000","HOOD CLEANING CONCERN W/EXT","
, UT 84321
(41.72839628400004, -111.83498979499996)"
"AQUA JET, INC","1202 MICHAELSEN WAY","WEST JORDAN","801-330-0398","H2610","2016-02-05T00:00:00.000","HOOD CLEANING CONCERN","
, UT 84088
(40.595488240000066, -111.96099929999997)"
"AVERUS WEST LLC","1425 TRI STATE PKWY #16","GURNEE","855-900-2837","H3100","2015-05-21T00:00:00.000","HOOD CLEANING CONCERN","
, IL 60031
(42.374789717000056, -87.93700766499995)"
"WEBER SCHOOL DISTRICT","4710 W. 2200 NO.","OGDEN","801 476-7900","H965","2015-05-28T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84404
(41.26585741300005, -111.98805999399997)"
"ECO SAFETY INC","PO BOX 132","FARSON","307-273-9808","H4130","2016-03-20T00:00:00.000","INSTALL & SERVICE W/EXT.","
, WY 82932
(42.05100859700008, -109.42801751299999)"
"CLEANER HOODS, INC.","3832 W. MOUNTAINTOP CIRCLE","CEDAR HILLS","801 785-1849","H11391","2015-04-21T00:00:00.000","HOOD CLEANING CONCERN W/EXT","
, UT 84062
(40.37518777100007, -111.74238903799994)"
"ASSOCIATED FIRE PROTECTION INC","933 W 1820 SO","SALT LAKE CITY","801 973-4306","H6","2015-05-01T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84104
(40.746577116000026, -111.93907874699994)"
"TONG'S FIRE EXTINGUISHER SVCE","PO BOX 3101","CEDAR CITY","435 590-3500","H92","2015-10-24T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84720
(37.663739228000054, -113.09704878299999)"
"DELTA FIRE SYSTEMS, INC.","1507 SO. PIONEER ROAD","SALT LAKE CITY","801 972-4500","H1881","2015-07-14T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84104
(40.746577116000026, -111.93907874699994)"
"DESERET PEAK FIRE PROTECTION","371 RANCH ROAD","GRANTSVILLE","435 884-3625","H2227","2015-05-18T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84029
(40.59693947100004, -112.45659931699998)"
"RAPID FIRE PROTECTION","1805 SANCE RD, RAPID CITY, SD","SALT LAKE CITY","801-463-1621","H11451","2015-10-06T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84104
(40.746577116000026, -111.93907874699994)"
"ORR PROTECTION SYSTEMS, INC.","140 BLUFFS CT","CANTON","502-244-4500","H11261","2015-04-05T00:00:00.000","INSTALL & SERVICE W/EXT.","
, GA 30114
(34.23187139400005, -84.51436862199995)"
"SUREFIRE  SUPPRESSION","PO BOX 572031","MURRAY","801-252-6188","H14701","2015-04-22T00:00:00.000","HOOD CLEANING CONCERN W/EXT","
, UT 84107
(40.661658328000044, -111.88116851399997)"
"BALL FIRE PROTECTION","PO BOX 540178","NO. SALT LAKE","801 637-5936","H1914","2015-04-08T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84054
(40.84646879200005, -111.91077972599999)"
"STATE FIRE DC SPECIALTIES","5370 E IDAHO ST, ELKO,NV 89801","SALT LAKE CITY","801 288-2100","H24","2016-03-03T00:00:00.000","KITCHEN EXHAUST CLEANING","
, UT 84115
(40.715458186000035, -111.88832908299997)"
"DELTA FIRE SYSTEMS - BRANCH","PO BOX 26587","SALT LAKE CITY","435-986-0064","H4110","2015-03-20T00:00:00.000","INSTALL & SVCE BRANCH W/ EXT.","
, UT 84126
(40.72590792500006, -111.94012589299996)"
"MAXWELL  CLEANING","1245 WEST 700 SOUTH","MARRIOTT-SLATER","801-782-2700","H14621","2015-07-11T00:00:00.000","HOOD CLEANING CONCERN W/EXT","
, UT 84404
(41.26585741300005, -111.98805999399997)"
