"service_type","agency_name","health_needs_targeted","street_address","mailing_address_if_different","phone","fax","website","e_mail","hours","description_of_services","fees","eligibility_requirements","area_served","non_english_languages","wheelchair_accessibility"
"Local Health Department","Southwest Utah Public Health Department Washington County","Public Health","168 North 100 East    St. George UT  84770",,"435-986-2540","435-628-3425","www.swuhealth.org",,,"Baby your Baby, Cancer Control, Child Care Resources & Referrals, Environmental Health, Family Planning, Health Education, Immunizations, Communicable Disease Control, School Health, Well Child Screening, WIC, Family Health, Children with Special Health Care Needs, Aging Services, Vital Records, Injury Prevention, Smoking Cessation, Home Visitations.","Dependant on Services Provided",,"Garfield, Iron, Kane, Washington, Beaver Counties",,
,"Garfield County","Public Health","609 North Main          Panguitch UT 84759       ","PO Box 374         Panquitch UT 84759","435-676-8800","435-676-8865",,,,,,,"Garfield County",,
,"Iron County","Public Health","260 E D L Sargent,  Cedar City UT  84720",,"435-865-5140","435-586-4851",,,,"HIV/STD testing",,,"Iron County",,
,"Kane County","Public Health","245 South 200 East   Kanab, UT  84741",,"435-644-2537","435-644-5024",,,,,,,"Kane County",,
,"Beaver County","Public Health","75 W 1175 N         Beaver UT 84713","PO Box G             Beaver UT 84713","435-438-2482","435-438-2108",,,,,,,"Beaver County",,
"Hospitals/ Clinics","Beaver Clinic","Primary Medical Care Clinic located within hospital","1059 N 100 W    Beaver UT 84713",,"435-438-7280","435-438-7210","www.beaver-milfordmedical.com","joakden@beaver-milfordmedical.com","M-F 9:30am - 5:00pm  S 9:30am - 12:00pm","Primary Health Care provided","Dependant on Services Provided",,"Beaver county and surrounding area",,"x"
,"Beaver Valley Hospital ","Hospital Care","1109 N 100 W    Beaver UT 84713","PO Box 1670   Beaver UT 84713","435-438-7100",,"http://www.beaverutah.net/hospital.htm",,"24 Hour Emergency, Other departments vary","Serves Range of Health Care Needs","Dependant on services provided",,"Statewide","Yes","x"
,"Cedar City Clinic ","Primary Medical Care Clinic ","1303 N Main St   Ste C   Cedar City UT 84720",,"435-865-8520",,"www.ihc.com",,"M-F 8:00am - 5:00pm","Primary Health Care provided","Dependant on Services Provided",,"Iron county and surrounding areas","Yes","x"
,"Milford Valley Memorial Hospital","Hospital Care","451 N Main St    Milford UT 84751",,"435-387-2411",,,,"24 Hour Emergency, Other departments vary","Serves Range of Health Care Needs","Dependant on Services Provided",,"Statewide","yes","x"
,"Milford Clinic","Primary Medical Care Clinic located within hospital","451 N Main St    Milford UT 84751",,"435-387-2471",,"www.beaver-milfordmedical.com",,"M-H 9:00am - 5:00pm   F 9:00am - 12:00pm","Primary Health Care provided","Dependant on Services Provided",,"Beaver and Iron counties and surrounding areas","yes","x"
,"Parawon Clinic","Primary Medical Care ","450 E Clinic Way   Parawon UT  84761","PO Box 936   Parawon UT 84761","435-477-3344","435-477-3475","www.beaver-milfordmedical.com",,"M-H 9:30am - 4:30pm   F 9:30am - 1:00pm","Primary Health Care provided","Dependant on Services Provided",,"Iron county and surrounding area",,"x"
,"Valley View Medical Center","Hospital Care","1303 N Main St   Cedar City UT 84720",,"435-586-6587","435-586-5052","http://intermountainhealthcare.org/xp/public/valleyview/yourvisit/",,"24 Hour Emergency, Other departments vary","Serves Range of Health Care Needs","Dependant on Services Provided",,"Statewide","Yes","x"
,"Wellness Center, Southern Utah University","Primary Medical and Mental Health ","351 W University Blvd                Cedar City UT 84720","SUU Box 8994  Cedar City UT 84720","435-586-7718; counseling and psychological 435-865-8621","435-865-8055","http://www.suu.edu/ss/wellness/mission.html",,,"Primary health services for students and community. Reproductive health care, Mental and Psychological health care including substance abuse education.",,,"Iron county",,"x"
"Mental Health/ Counseling","Southwest Center Beaver ","Mental Health and Substance Abuse Services","330 S Main      Beaver UT 84713","PO Box 1485   Beaver UT 84713","435-438-5537 or 24 hour crisis line 435-438-2862",,"www.southwestcenter.com","Access on web site","M-F 8:00am - 5:00pm","Adult and Youth Substance Abuse, Adult and Youth Mental Health, Inpatient/Outpatient Services, Individual, Group, and Family Counseling, Emergency Services, Education and Referral information","Dependant on Services Provided","Services determined by initial assessment","Beaver county and surrounding area","yes","x"
,"Southwest Center Iron ","Mental Health and Substance Abuse Services","245 E 680 S    Cedar City UT 84720",,"435-867-7654, 24 hour crisis line 435-867-7654",,"www.southwestcenter.com","Access on web site","M-F 8:00am - 5:00pm","Adult and Youth Substance Abuse, Adult and Youth Mental Health, Inpatient/Outpatient Services, Individual, Group, and Family Counseling, Emergency Services, Oasis House and Horizon House, Education and Referral information","Dependant on Services Provided","Services determined by initial assessment","Iron county and surrounding area","yes","x"
,"Family Support Center Southwestern","Parenting Classes, Counseling","163 N 300 W     Cedar City UT  84720",,"435-586-0791 or toll free 1-800-748-4535",,"http://www.familysupportcenter.org/Coalition.html",,,"Parenting Classes and additional counseling available for those who complete parenting classes. Crisis Nursery available.","Free",,"southwestern Utah area",,"x"
,"Intermountain Specialized Abuse Treatment Center (SAT)","Mental Health and Substance Abuse Services","520 S Main Ste C Cedar City UT 84720",,"435-586-5966",,"http://www.isatcenter.org/",,,"Counseling for individuals, couples, families and group therapy. Outpatient Substance Abuse treatment, including adolescents, DUI/DUI offenders, Domestic Violence Victims and Offenders.","Self payment, Medicare, Private health insurance, Military insurance. Sliding fee scale",,"Iron county and surrounding area",,"x"
,"LDS Family Services Cedar City","Counseling, Resource and Support Group services, Adoption Services","2202 N Main Ste 301  Cedar City UT  84720-9791",,"435-586-4479","435-865-0023","www.providentliving.org","Access on web site",,"Counseling and Resources for individuals, couples and families. Assistance for birth parents facing unplanned pregnancy, Help for couples interested in adoption, Addiction Recovery Program. Eating Disorders, Anger Management, Substance Abuse Recovery, Pornography Addiction Recovery, AMFAC program, Educational Related family classes","Fees are dependant on services provided and/or insurance coverage",,"southwestern Utah area",,
"Domestic Violence","Canyon Creek Women's Crisis Center","Domestic Violence Shelter","Cedar City UT 84721","PO Box 2081   Cedar City UT 84721","435-865-7443",,,,"24 hours a day","Provide temporary housing for victims of domestic violence & their children. Shelter operations 24 hours a day, 7 days a week.  Education, support, referral, and individual counseling available. ","none","Call for eligibility requirements","Iron county and surrounding areas",,"x"
,"Color Country Cottage Women's Crisis Center","Domestic Violence Shelter","106 N 100 E      Cedar City UT 84720",,"435-865-7443 or toll free 1-800-953-3842 or 24 hour crisis line 435-586-3842",,,,"24 hours a day","Provide temporary housing for victims of domestic violence & their children. Shelter operations 24 hours a day, 7 days a week.  Education, support, referral, and individual counseling available. ","none","Call for eligibility requirements","Iron County and surrounding areas",,"x"
