"county","ansi_code","total","age","blind_and_disabled","under_18","_18_64","_65_or_older","ssi_recipients_also_receiving_oasdi","amount_of_payments_thousands_of_dollars_a"
"Beaver","49001","78","(X)","(X)","14","54","10","31","37"
"Box Elder","49003","516","13","503","94","385","37","161","297"
"Cache","49005","833","40","793","183","566","84","244","478"
"Carbon","49007","482","15","467","61","367","54","167","260"
"Daggett","49009",,"(X)","(X)","(X)",,"(X)",,
"Davis","49011","2441","123","2,318","544","1664","233","673","1376"
"Duchesne","49013","307","(X)","(X)","48","237","22","87","158"
"Emery","49015","134","(X)","(X)","(X)","104","(X)","37","68"
"Garfield","49017","44","(X)","(X)","(X)","31","(X)","18","23"
"Grand","49019","139","12","127","24","92","23","52","71"
"Iron","49021","601","22","579","97","443","61","202","321"
"Juab","49023","108","(X)","(X)","(X)","80","(X)","35","72"
"Kane","49025","68","(X)","(X)","(X)","55","(X)","23","31"
"Millard","49027","127","(X)","(X)","21","84","22","44","64"
"Morgan","49029","45","(X)","(X)","(X)","29","(X)",,"23"
"Piute","49031","22","(X)","(X)","(X)","15","(X)",,"11"
"Rich","49033",,"(X)","(X)","(X)",,"(X)",,
"Salt Lake","49035","13389","1,734","11,655","2,206","8296","2,887","3875","7737"
"San Juan","49037","576","75","501","55","248","273","245","274"
"Sanpete","49039","321","15","306","71","212","38","109","171"
"Sevier","49041","308","11","297","59","225","24","108","164"
"Summit","49043","109","11","98","18","71","20","37","66"
"Tooele","49045","683","30","653","148","473","62","195","391"
"Uintah","49047","338","11","327","44","255","39","109","179"
"Utah","49049","4416","257","4,159","912","3064","440","1160","2340"
"Wasatch","49051","113","(X)","(X)","23","79","11","27","59"
"Washington","49053","1244","80","1,164","276","814","154","408","731"
"Wayne","49055","27","(X)","(X)","(X)","15","(X)","10","16"
"Weber","49057","3608","172","3,436","578","2602","428","1169","1979"
"Total, Utah","49","31093","2,655","28,438","5,557","20572","4,964","9243","17411"
