"project_number","project_title","project_group","project_type","project_work","contractor","contact_name","contact_email","contact_phone","estimated_start_date","estimated_end_date","time_elapsed","work_completed"
"RDW20062","Intersection Improvements 2021","Civil A","Roadway","Pavement Improvement",,,,,"2022-08-01T12:00:00.000","2022-10-28T12:00:00.000","5","0"
"RDW21015","Orange Street Bus Facility","Civil A","Roadway","Facility Improvement","Stacy and Witbeck",,,,"2022-03-28T12:00:00.000","2022-09-28T12:00:00.000","5","5"
"534701179","717 E Simpson Ave PUT2021-00698 Lotus Republic Sugarhouse - Donated - Reimbursement","Storm","Utility","Utilities",,,,,"2022-07-28T12:00:00.000","2023-06-30T12:00:00.000",,
"RDW21076","200 S Reconstruction Phase 1 - 200 E to 900 E","Civil A","Roadway","Not Specified",,"Not Determined","nobody@nowhere.com","801-123-1234","2022-05-09T12:00:00.000","2022-10-28T12:00:00.000","0","20"
"RDW21073","Public Way Concrete","Civil A","Roadway","Rehabilitation","Smith Brothers",,,,"2022-06-24T12:00:00.000","2022-10-28T12:00:00.000","19","2"
"513505552","Lotus Republic Sugarhouse - PUT2021-00698 at 717 E Simpson Ave - DONATED","Water","Utility","Utilities",,,,,"2022-07-28T12:00:00.000","2023-06-30T12:00:00.000",,
"RDW20017","McClelland Shared Street Phase 2a Improvements","Civil A","Roadway","Pavement Improvement","Bowen Construction",,,,"2022-08-01T12:00:00.000","2022-10-28T12:00:00.000","0","0"
"106065","900 South Reconstruction Phase 1 - 300 West to State Street","Civil A","Roadway","Reconstruction","Granite Construction","Leah Smith","leah.smith@slcgov.com","801-535-6251","2021-06-21T12:00:00.000","2023-07-01T12:00:00.000","55","45"
"83100630","300 West Reconstruction: 900 South to 2100 South","Civil A","Roadway","Reconstruction","Granite Construction","SLC Comms","SaltLakeCityComms@gmail.com",,"2021-05-03T12:00:00.000","2023-07-15T12:00:00.000","80","97"
"RDW21009","Sunnyside Ave and Foothill Drive Intersection","Civil A","Roadway","Renovation","Jordan Valley Construction",,,,"2022-04-01T12:00:00.000","2022-10-01T12:00:00.000","0","0"
"RDW21010","Local Streets Reconstruction 2022 #1","Civil A","Roadway","Reconstruction","Miller Paving",,,,"2022-04-01T12:00:00.000","2022-10-01T12:00:00.000","0","0"
"513505512","SISDAC Utah PUT2021-01956 at 1624 S 1000 W","Water","Utility","Utilities",,,,,"2021-11-08T12:00:00.000","2023-06-30T12:00:00.000",,
"RDW21033","900 South Reconstruction Phase 2 from 900 West to Lincoln Street (950 East)","Civil A","Roadway","Reconstruction","ACME Construction",,,,"2022-04-01T12:00:00.000","2022-10-01T12:00:00.000","0","0"
"102283","100 South Reconstruction 900 East to University","Civil A","Roadway","Reconstruction","Staker and Parson Co.","Leah Smith","leah.smith@slcgov.com","801-535-6251","2021-06-06T12:00:00.000","2022-08-15T12:00:00.000","99","99"
"RDW21011","Local Streets Reconstruction 2022 #2","Civil A","Roadway","Reconstruction","Jordan Valley Construction",,,,"2022-03-01T12:00:00.000","2022-10-25T12:00:00.000","85","95"
"RDW21072","Sidewalk Rehabilitation: Slab Jacking and Hazard Removal","Civil A","Roadway","Sidewalk Rehabilitation","RK Concrete",,,,"2022-05-31T12:00:00.000","2022-10-28T12:00:00.000","32","16"
