"service_type","agency_name","health_needs_targeted","location","phone","fax","website","e_mail","hours","description_of_services","fees","eligibility_requirements","area_served","non_english_languages","wheelchair_accessibility"
"Local Health Department","Salt Lake Valley Health Department Salt Lake ","Public Health","2001 South State Street, #S-2500 Salt Lake City, UT  84190","801-468-2700","801-468-2748","www.slvhealth.org",,,"Baby your Baby, Cancer Screening, Diabetes, Family Planning, Immigration Physicals, Immunizations, Infant Development, Infectious Disease Control, Prenatal Care, School Health, Well Child Physicals, WIC Family Health, Cholesterol Screening, Blood Pressure Checks, & Adult Physical Exams, International Travel Clinic, HIV testing","Dependant on Services Provided",,"Salt Lake County",,"x"
,"Ellis R. Shipp Public Health Center","Public Health","4535 South 5600 West  Valley City UT 84120","801-963-7335",,,,,,,,"West Valley Area",,"x"
,"Environmental Health Office","Public Health","788 East Woodoak Lane (5380 South) Murray UT 84123","801-313-6600",,,,,,,,"Murray Area",,"x"
,"Rose Park Public Health Center","Public Health","1625 West 700 North Suite H, Rose Park UT 84116 ","801-322-0502","801-532-0901",,,,"Immunizations, WIC","Dependant on Services Provided",,"Rose Park Area",,"x"
,"South Main Public Health Center","Public Health","3195 South Main Street, South Salt Lake City, UT  84115","801-482-5451",,,,,"Health Clinics of Utah for recipients of government assistance programs, Teen Mother and Child, WiC, Women's Health, Immunizations",,,"South Salt Lake",,"x"
,"West Jordan Public Health Center","Public Health","1740 West 7800 South, West Jordan UT 84088","801-569-4360",,,,,,,,"South West Side of Salt Lake County",,"x"
,"Southeast Public Health Center","Public Health","9340 South 700 East Sandy UT  84093","801-255-7114",,,,,,,,"South East Side of Salt Lake County",,"x"
,"Salt Lake City Public Health Center","Public Health","610 South 200 East, Salt Lake City UT  84111","801-534-4666",,,,,,,,"Downtown Area",,"x"
"Hospitals","Alta View Hospital","Hospital Care","9660 S 1300 E     Sandy UT 84094","801-501-2600",,"http://intermountainhealthcare.org/xp/public/altaview/","Access on web site","24 Hour Emergency, Other departments vary","Serves Range of Health Care Needs","Dependant on services provided",,"Intermountain west","Yes","x"
,"Intermountain Medical Center","Hospital Care","5121 S Cottonwood St Murray UT 84157","801-507-7000",,"http://intermountainhealthcare.org/xp/public/imed/","Access on web site","24 Hour Emergency, Other departments vary","Serves Range of Health Care Needs","Dependant on Services Provided",,"Intermountain west","Yes","x"
,"Intermountain Surgical Center","Inpatient/Outpatient Surgical Services","359 8th Ave            Salt Lake City UT 84143","801-408-3200 or toll free 1-800-408-1095","801-408-3035","http://intermountainhealthcare.org/xp/public/lds/hospitalservices/surgery/isc/","Access on web site",,"Inpatient/Outpatient Surgical Services in conjunction with LDS Hospital","Dependant on Services Provided",,"Intermountain west","Yes","x"
,"Jordan Valley Hospital","Hospital Care","3580 W 9000 S        West Jordan UT 84088 ","801-561-8888",,"www.jordanvalleyhospital.com/","Email: info@iasishealthcare.com","24 Hour Emergency, Other departments vary","Serves Range of Health Care Needs","Dependant on Services Provided",,"Intermountain west","Yes","x"
,"LDS Hospital","Hospital Care","8th Ave and C Street Salt Lake City UT 84143","801-408-1100",,"http://intermountainhealthcare.org/xp/public/lds/","Access on web site","24 Hour Emergency, Other departments vary","Serves Range of Health Care Needs","Dependant on Services Provided",,"Intermountain west","Yes","x"
,"Orthopedic Specialty Hospital (TOSH)","Orthopedic Care","5848 S 300 E       Murray UT 84107","801-314-4000",,"http://intermountainhealthcare.org/xp/public/tosh/",,,"Specializes in sports medicine, sports biomechanics, physical therapy, occupational therapy, athletic training, nutrition, biomechanical engineering, and exercise and sport physiology.","Dependant on Services Provided",,"Intermountain west","Yes","x"
