Agency Name/Heath District ,Local Unit,Phone,Fax,Website,Hours,Description of Services,Fees,Area Served,Location 1,Counties (New),Municipalities,Zip Codes,School Districts,Health Small Statistical Areas2014 Shp,:@computed_region_d2c3_wkvq
,Rich County,435-793-2445,,,,,,Randolph Area,PO Box 392 Randolph UT 84064,,,,,,
,Layton WIC,801-546-6924,,,,,,Layton Area,360 South Fourth Lane Suite 3A Layton UT 84041,,,,,,
,San Juan County,435-587-2021,,,,,,San Juan County Monticello Area,117 South Main PO Box 127 Monticello UT 84535,,,,,,
,South Sanpete County,435-835-2231,435-896-4353,,,,,Manti Area,"40 West 200 North Manti UT 84642
(39.26834225300047, -111.6377496719997)",3,112,210,38,55,900
,Park City,435-615-3910,435-615-3926,,,,,Park City Area,"6505 North Landmark Drive #300 PO Box 7 Park City UT 84098
(40.72476195200045, -111.5474111529997)",7,,121,27,52,3179
,Rose Park,801-322-0502,801-532-0901,,,"Immunizations, WIC",Dependant on Services Provided,Rose Park Area,"1625 West 700 North Suite H, Rose Park UT 84116
(40.78462370000045, -111.9375448399997)",26,220,80,19,18,3176
,Ellis R. Shipp,801-963-7335,,,,,,West Valley Area,"4535 South 5600 West West Valley City UT 84120
(40.67197086700048, -112.02467462999971)",26,98,65,21,22,3176
,Fort Duchesne WIC Office,435-724-0351,,,,WIC,,Fort Duchesne Area,Fort Duchesne UT 84026,,,,,,
,Tri-County Dental Clinic ,435-781-0875,435-781-0975,,"T,W,H     8:00am-12:30pm   2:00pm-4:00pm",Dental Services,"Dependant on Services Covered by Medicaid, PCN, or CHIP","Daggett, Duchesne, Uintah, Vernal Counties","198 West 200 North Vernal UT 84078
(40.45854753500049, -109.53218074899968)",10,141,178,29,54,3181
,Box Elder County,435-257-3318,,,,,,Tremonton Area,"125 South 100 West Tremonton UT 84337
(41.710302382000464, -112.16740432099971)",14,9,143,2,2,2985
Tooele County Health Department,Tooele,435-843-2300,435-843-2304,www.tooelehealth.org,M-F 8:00am-5:00pm Closed holidays,"Cancer Screening, Diabetes, Early Intervention, Immunizations, Infant Development, Infectious Disease Control, School Health, WIC, Family Health, Cholesterol Screening & Blood Pressure Checks, HIV Testing and Counseling",Dependant on Services Provided,Tooele County,"151 North Main Street Tooele UT 84070
(40.533412874000476, -112.2985591959997)",11,137,230,28,43,3180
,Park Valley,435-871-4411 or                  435-871-4157,,,,,,Pine Valley Area,PO Box 57 Park Valley UT 84329,,,,,,
Salt Lake Valley Health Department,Salt Lake County,801-468-2700,801-468-2748,www.slvhealth.org,M-F 8:00am-5:00pm Closed holidays,"Baby your Baby, Cancer Screening, Diabetes, Family Planning, Immigration Physicals, Immunizations, Infant Development, Infectious Desease Control, Prenatal Care, School Health, Well Child Physicals, WIC Family Health, Cholesterol Screening, Blood Pressure Checks, & Adult Physical Exams",Dependant on Services Provided,Salt Lake County,"2001 South State Street, #S-2500 Salt Lake City, UT 84190",,,,,,
,East Millard,435-743-5723,435-896-4353,,,,,Fillmore Area,"55 South 400 West POB 745 Fillmore UT 84631
(38.968125501000486, -112.33481609599971)",2,250,202,16,55,898
,Bountiful Area,801-451-3315,,,,,,Bountiful Area,"596 West 750 South Woods Cross UT 84010
(40.88197307600046, -111.89561099999969)",22,43,81,6,17,811
,Vernal WIC Office,435-781-5480,,,,WIC,,Vernal Area,"147 East Main Street Vernal UT 84078
(40.45577744900049, -109.52545142299971)",10,141,178,29,54,3181
,West Jordan,801-569-4360,,,,,,South West Side of Salt Lake County,"1740 West 7800 South, West Jordan UT 84088
(40.609560419000445, -111.93996537399971)",26,245,59,22,62,3176
,Grand County,435-259-5602,,,,,,Grand County,"471 South Main Suite 4, PO Drawer E, Moab UT 84532",,,,,,
,Daggett County,435-784-3494,,,,,,Daggett County Area,"Flaming Gorge Community Health Center, Manilla UT 84046",,,,,,
,Salt Lake City,801-534-4666,,,,,,Downtown Area,"610 South 200 East, Salt Lake City UT 84111
(40.755770562000464, -111.8854063929997)",26,220,70,19,24,3176
,West Millard,435-896-3612,435-896-4353,,,,,Delta Area,428 East Topaz Blvd Suite D POB 176 Delta UT 84624,,,,,,
Wasatch County Health Department,Heber City,435-654-2700,,www.co.wasatch.ut.us/health/,M-F 8:00am-5:00pm Closed holidays,"Baby your Baby, Cancer Screening, Cardiovascular Health, Travel Immunizations, Immunizations, 0-5 Home Visits, Infectious Disease Control, Maternal and Child Health, School Health, WIC, Dental Care Services for High Risk Children, Food Services, Waste Water, Drinking Water and Solid Water Control",Dependant on Services Provided,Wasatch County Area,"55 South 500 East Heber City UT 84032
(40.50834108900045, -111.40479656099967)",19,200,274,33,53,3199
,Garfield County,435-676-8800,435-676-8865,,,,,Garfield County,"609 North Main PO Box 374 Panguitch UT 84759
(37.83218835200046, -112.43582321699967)",13,60,299,9,37,2991
