"company","mailing_address","phone","license","license_expiration_date","location_1"
"VISION CLEANING SERVICES","1412 WEST 3090 SOUTH","801-540-8455","H16911","2015-06-28T00:00:00.000","
SYRACUSE, UT 84075
(41.086217506000025, -112.06638740799997)"
"A-1 FIRE SPRINKLERS","P O BOX 27782","801 265-1374","H3830","2015-02-18T00:00:00.000","
SALT LAKE CITY, UT 84127
(40.72590792500006, -111.94012589299996)"
"AVERUS WEST LLC","1425 TRI STATE PKWY #16","855-900-2837","H3100","2015-05-21T00:00:00.000","
GURNEE, IL 60031
(42.374789717000056, -87.93700766499995)"
"AQUA JET, INC.","1202 MICHAELSEN WAY","801-330-0398","H2610","2015-02-05T00:00:00.000","
WEST JORDAN, UT 84088
(40.595488240000066, -111.96099929999997)"
"KWIK CLEAN OF UTAH","P O BOX 711","801-815-0269","H3830","2014-11-08T00:00:00.000","
WEST JORDAN, UT 84084
(40.62101949200007, -111.95890935199998)"
"INDUSTRIAL HOOD CLEANING","5246 S STOCKTON STREET","801-969-3272","H3490","2014-08-20T00:00:00.000","
KEARNS, UT 84118
(40.652286151000055, -112.00951997599998)"
"ALLIANCE FIRE & SAFETY, LLC","615 N 3050 E #A9","435 669-4039","H2294","2015-01-03T00:00:00.000","
ST. GEORGE, UT 84790
(37.08085674100005, -113.55843622699996)"
"J'S POWER WASHING","386 E 6600 S","435-881-4358","H3150","2015-05-29T00:00:00.000","
HYRUM, UT 84319
(41.63170687600007, -111.84826813199999)"
"STATE FIRE DC SPECIALITIES","240 WEST 3680 SOUTH","801 288-2100","E243","2015-04-01T00:00:00.000","
SALT LAKE CITY, UT 84115
(40.715458186000035, -111.88832908299997)"
"PRESSURE CLEAN","3200 WEST 7800 SOUTH #571","801-967-6312","H2607","2014-11-20T00:00:00.000","
WEST JORDN, UT 84084
(40.62101949200007, -111.95890935199998)"
"A+ FIRE SYSTEMS","1350 WEST 1200 NORTH","435-668-6560","H13421","2015-03-04T00:00:00.000","
ST. GEORGE, UT 84770
(37.115977420000036, -113.60079568499998)"
"TWO GUYS HOOD CLEANING","11980 SOUTH 3600 WEST","801-696-8127","H2457","2014-10-22T00:00:00.000","
RIVERTON, UT 84065
(40.51054772700007, -111.94858996399995)"
"INTERSTATE FIRE PROTECTION","P O BOX 7216","702-810-7335","H25","2015-08-07T00:00:00.000","
BUNKERVILLE, NV 89007
(36.771127369000055, -114.12665866599997)"
"FIRE SUPPESSION SERVICES","3802 SOUTH 2300 EAST","801-277-6464","H5","2015-01-01T00:00:00.000","
SALT LAKE CITY, UT 84109
(40.70412641200005, -111.81487676499995)"
"UTAH HOOD CLEANING","1050 WEST RED HILLS PKWY  #6","801-717-8773","H16471","2015-04-17T00:00:00.000","
WASHINGTON, UT 84780
(37.12577975200003, -113.50132981999997)"
"SUREFIRE SUPPRESSION","P O BOX 572031","801-252-6188","H14701","2015-05-05T00:00:00.000","
MURRAY, UT 84107
(40.661658328000044, -111.88116851399997)"
"FREEDOM FIRE SYSTEMS","40 NORTH 300 EAST #203","435-319-0289","H4830","2015-08-19T00:00:00.000","
ST. GEORGE, UT 84770
(37.115977420000036, -113.60079568499998)"
"CLEANER HOODS, INC.","3832 W. MOUNTAINTOP CIRCLE","801 785-1849","E11391","2015-04-21T00:00:00.000","
CEDAR HILLS, UT 84062
(40.37518777100007, -111.74238903799994)"
"THE HOOD GUY, LLC","914 NORTH 300 WEST","801-763-0762","H4820","2015-08-18T00:00:00.000","
AMERICAN FORK, UT 89003
(36.90577908900008, -116.76463750999994)"
"FIRE GUYS","10260 NORTH 6000 WEST","801-815-7941","E16071","2015-03-08T00:00:00.000","
HIGHLAND, UT 84003
(40.39478809000008, -111.79577612099996)"
"TONG'S FIRE - ELSINORE BRANCH","P.O. BOX 135","435-590-3500","E377B","2015-04-16T00:00:00.000","
ELSINORE, UT 84724
(38.66554976700007, -112.14352863599998)"
"CLARK'S HOME FIRE SAFETY","PO BOX 821","435 650-0554","E14411","2015-04-02T00:00:00.000","
WELLINGTON, UT 84542
(39.542975832000025, -110.72797798399995)"
"BOSS FIRE PROTECTION","7127 SOUTH 400 WEST #5","801-301-8022","H10231","2015-03-27T00:00:00.000","
MIDVALE, UT 84047
(40.617148092000036, -111.88374944699996)"
"MAXWELL CLEANING","1245 WEST 700 SOUTH","801-782-2700","E14621","2015-07-11T00:00:00.000","
MARRIOTT-SLATER, UT 84404
(41.26585741300005, -111.98805999399997)"
"TAYLOR BROTHERS OF UTAH, INC","2163 West 2200 South","801-972-1188","E13521","2014-11-03T00:00:00.000","
WEST VALLEY CITY, UT 84119
(40.69923828100008, -111.94877679899997)"
"DIRECT ATTACK FIRE AND SAFETY","815 S ANNABELLA RD","435-979-0313","H15921","2014-10-16T00:00:00.000","
RICHFIELD, UT 84701
(38.76948664300005, -112.07845783299996)"
