"number","county","name","nr","copy_of_application_url","copy_of_digitized_photo","location_1"
"87001339","Garfield                ","Bryce Canyon Lodge and Deluxe Cabins                                                                                    ","19870528","http://pdfhost.focus.nps.gov/docs/nhls/text/87001339.PDF","http://pdfhost.focus.nps.gov/docs/nhls/photos/87001339.PDF","SR 63
Bryce Canyon National Park, UTAH "
"7000432","Millard                 ","Central Utah Relocation Center (Topaz) Site                                                                             ","20070329","http://pdfhost.focus.nps.gov/docs/nhls/text/07000432.PDF","http://pdfhost.focus.nps.gov/docs/nhls/photos/07000432.PDF","10500 West 500 North
Delta, UTAH 
(39.36007914900006, -112.64228900699999)"
"66000741","Tooele                  ","Danger Cave                                                                                                             ","19661015","http://pdfhost.focus.nps.gov/docs/nhls/text/66000741.PDF","http://pdfhost.focus.nps.gov/docs/nhls/photos/66000741.PDF","Address Restricted
Wendover, UTAH 
(40.73633017000003, -114.04094809999998)"
"86003401","Uintah                  ","Quarry Visitor Center                                                                                                   ","19861219","http://pdfhost.focus.nps.gov/docs/nhls/text/86003401.PDF","http://pdfhost.focus.nps.gov/docs/nhls/photos/86003401.PDF","US 40
Dinosaur National Monument, UTAH "
"66000738","Salt Lake               ","Temple Square                                                                                                           ","19661015","http://pdfhost.focus.nps.gov/docs/nhls/text/66000738.PDF","http://pdfhost.focus.nps.gov/docs/nhls/photos/66000738.PDF","Temple Sq.
Salt Lake City, UTAH 
(40.62954767600007, -111.92924284299994)"
"66000736","Salt Lake               ","Bingham Canyon Open Pit Copper Mine                                                                                     ","19661113","http://pdfhost.focus.nps.gov/docs/nhls/text/66000736.PDF","http://pdfhost.focus.nps.gov/docs/nhls/photos/66000736.PDF","16 mi. SW of Salt Lake City on UT 48
Salt Lake City, UTAH 
(40.65968998000005, -111.91300138699995)"
"66000737","Salt Lake               ","Emigration Canyon                                                                                                       ","19661015","http://pdfhost.focus.nps.gov/docs/nhls/text/66000737.PDF","http://pdfhost.focus.nps.gov/docs/nhls/photos/66000737.PDF","E edge of Salt Lake City on UT 65
Salt Lake City, UTAH 
(40.65968998000005, -111.91300138699995)"
"71000846","Salt Lake               ","Council Hall                                                                                                            ","19710514","http://pdfhost.focus.nps.gov/docs/nhls/text/71000846.PDF","http://pdfhost.focus.nps.gov/docs/nhls/photos/71000846.PDF","Capitol Hill at head of State St.
Salt Lake City, UTAH 
(40.65968998000005, -111.91300138699995)"
"11000562","Washington              ","Mountain Meadows Massacre Site                                                                                          ","20110623","http://pdfhost.focus.nps.gov/docs/nhls/text/11000562.PDF","http://pdfhost.focus.nps.gov/docs/nhls/photos/11000562.PDF","West of SR 18, approximately 3 miles North of Central
Central, UTAH 
(37.41696394200005, -113.63054808799995)"
"66000739","Salt Lake               ","Young, Brigham, Complex                                                                                                 ","19661015","http://pdfhost.focus.nps.gov/docs/nhls/text/66000739.PDF","http://pdfhost.focus.nps.gov/docs/nhls/photos/66000739.PDF","63--67 E. South Temple St.
Salt Lake City, UTAH 
(40.65968998000005, -111.91300138699995)"
"66000740","San Juan                ","Alkali Ridge                                                                                                            ","19661015","http://pdfhost.focus.nps.gov/docs/nhls/text/66000740.PDF","http://pdfhost.focus.nps.gov/docs/nhls/photos/66000740.PDF","Address Restricted
Monticello, UTAH 
(37.870474339000054, -109.34290759999999)"
"70000628","Salt Lake               ","Fort Douglas                                                                                                            ","19700615","http://pdfhost.focus.nps.gov/docs/nhls/text/70000628.PDF","http://pdfhost.focus.nps.gov/docs/nhls/photos/70000628.PDF","Fort Douglas Military Reservation
Salt Lake City, UTAH 
(40.65968998000005, -111.91300138699995)"
"68000057","Carbon                  ","Desolation Canyon                                                                                                       ","19681124","http://pdfhost.focus.nps.gov/docs/nhls/text/68000057.PDF","http://pdfhost.focus.nps.gov/docs/nhls/photos/68000057.PDF","Address Unknown
Green River, UTAH 
(38.99551444200006, -110.15883953399998)"
"75001831","Utah                    ","Smoot, Reed, House                                                                                                      ","19751014","http://pdfhost.focus.nps.gov/docs/nhls/text/75001831.PDF","http://pdfhost.focus.nps.gov/docs/nhls/photos/75001831.PDF","183 E. 100 South
Provo, UTAH 
(40.23236844100006, -111.65550081999999)"
