"reference_period","type_of_service","aggregation_level","county","state_fips","county_fips","number_of_fee_for_service_beneficiaries","number_of_providers","average_number_of_users_per_provider","percentage_of_users_out_of_ffs_beneficiaries","average_number_of_providers_per_county","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_0_to_2_providers","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_3_to_4_providers","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_5_to_9_providers","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_10_to_19_providers","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_20_or_more_providers","location_1"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Weber","49","57","23684","12","165.5","8.40","12","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","San Juan","49","37","1991","3","33","5","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Non-Emergency)","COUNTY","Utah","49","49","32112","15","31.9","1.50","15","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Wayne","49","55","593","1","33","5.60","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","Emery","49","15","1890","3","21","3.30","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Uintah","49","47","3162","2","113","7.15","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Sanpete","49","39","4109","5","55.6","6.80","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Kane","49","25","1801","2","18.5","2.05","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Sanpete","49","39","4109","4","72.3","7","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","STATE","--ALL--","49",,"254258","31","326.39999999999998","4","13.1","5.10","7.80","12.20","42","32.90","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Iron","49","21","5729","7","542.29999999999995","66.30","7","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Non-Emergency)","COUNTY","Grand","49","19","1852","1","33","1.80","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","Summit","49","43","3760","0",,"2.20","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Duchesne","49","13","2415","1","37","1.50","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Garfield","49","17","1092","0",,"1.01","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Non-Emergency)","COUNTY","Juab","49","23","1537","2","21","2.70","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Wayne","49","55","599","1","36","6.01","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Cache","49","5","7561","4","55.3","2.90","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Beaver","49","1","1089","1","72","6.61","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Garfield","49","17","1092","1","74","6.80","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
