AnalysisName,Notes,SamplingFeatureName,SamplingFeatureType,OtherSiteID,SpecimenID,Label,SpecimenDescription,SpecimenCollectionDate,SpecimenCollectionMethod,OtherAnalyticalData,DrilledDepth_ft,FluidTemperature_C,Discharge,DischargeUnits,County,LatDegree,LongDegree,SRS,LocationUncertaintyStatement,PLSSMeridians,Township,Range,Section_,SectionPart,Elevation_ft_msl,Source,SourceURI,MetadataURI,AnalysisDateTime,Laboratory,AnalyticalProcedure,Ca_mgL,Cl_mgL,F_mgL,K_mgL,Mg_mgL,Na_mgL,Na_K_mgL,SiO2_mgL,SO4_mgL,cation_total,anion_total,Alkalinity_mgL,Alkalinity_method,chargeBalance_pct,Hardness_CaCO2,Hardness_method,Location 1,Counties
Major Dissolved Constituents for E. Wayment well,(B-06-03)04dab,E. Wayment,well,UGS:WE-018,792,Major Dissolved Constituents for E. Wayment well,aqueous,10/09/1968 12:00:00 AM,Missing,,,21,14.8,l/min,Weber,41.285600000000002,-112.18300000000001,EPSG:4326,Missing,SLB&M,6N,3W,4,SE NE NW,-99999,USGS National Water Information System; accessed 1993,,,,,,4,28,2,4.8,3.4,197,,25,4.2,9.171670000000001,9.177604,,,-0.00032,,,"Utah
(39.36070123200005, -111.58712831499997)",900
Major Dissolved Constituents for L. Defries well,(B-06-02)27dcd,L. Defries,well,UGS:WE-016,790,Major Dissolved Constituents for L. Defries well,aqueous,11/18/1959 12:00:00 AM,Missing,,,20,,,Weber,41.229199999999999,-112.05,EPSG:4326,Missing,SLB&M,6N,2W,27,SE SW SE,-99999,"Bolke, E.L., and Waddell, K.M., 1972, Ground-water conditions in the East Shore area, Box Elder, Davis, and Weber Counties, Utah, 1960-1969: Utah Department of Natural Resources Technical Publication 35, 59 p.",,,,,,42,48,,,10,41,,19,9.1,4.7022,4.706812,,,-0.00049,,,"Utah
(39.36070123200005, -111.58712831499997)",900
Major Dissolved Constituents for E. Cragun well,(B-07-02)25ddd,E. Cragun,well,UGS:WE-024,797,Major Dissolved Constituents for E. Cragun well,aqueous,08/16/1984 12:00:00 AM,Missing,,,20,,,Weber,41.308300000000003,-112.008,EPSG:4326,Missing,SLB&M,7N,2W,25,SE SE SE,-99999,USGS National Water Information System; accessed 2000,,,,,,43,9.6,0.1,1.6,7.6,21,,20,9.1,3.726445,3.497692,,,0.031665,,,"Utah
(39.36070123200005, -111.58712831499997)",900
Major Dissolved Constituents for GSLM & C Corp. No. 14 well,(B-07-03)31aac,GSLM & C Corp. No. 14,well,UGS:WE-026,799,Major Dissolved Constituents for GSLM & C Corp. No. 14 well,aqueous,09/27/1968 12:00:00 AM,Missing,,,39,212,l/min,Weber,41.305,-112.223,EPSG:4326,Missing,SLB&M,7N,3W,31,NE NE SW,-99999,"Murphy, P.J., and Gwynn, J.W., 1979, Geothermal investigations at selected thermal systems of the northern Wasatch Front, Weber and Box Elder Counties, Utah: Utah Geological and Mineral Survey Report of Investigation 141, 50 p.",,,,,,15,104,0.7,9.4,4.4,148,,24,1,7.789028,7.990458,,,-0.01277,,,"Utah
(39.36070123200005, -111.58712831499997)",900
Major Dissolved Constituents for Washington Terrace well,(B-05-01)17ddd,Washington Terrace,well,UGS:WE-003,778,Major Dissolved Constituents for Washington Terrace well,aqueous,09/12/1984 12:00:00 AM,Missing,,,21,4996.7,l/min,Weber,41.167200000000001,-111.968,EPSG:4326,Missing,SLB&M,5N,1W,17,SE SE SE,-99999,USGS National Water Information System; accessed 1993,,,,,,56,21,0.2,3,17,20,,16,22,5.140607,5.420718,,,-0.02652,,,"Utah
(39.36070123200005, -111.58712831499997)",900
Major Dissolved Constituents for Bona Vista WTRD well,(B-06-02)01acd,Bona Vista WTRD,well,UGS:WE-013,787,Major Dissolved Constituents for Bona Vista WTRD well,aqueous,09/05/1984 12:00:00 AM,Missing,,,21.5,,,Weber,41.285600000000002,-112.012,EPSG:4326,Missing,SLB&M,6N,2W,1,NE SW SE,-99999,USGS National Water Information System; accessed 2000,,,,,,38,8,0.1,1.2,6.8,13,,17,5.1,3.052398,3.041476,,,0.001792,,,"Utah
(39.36070123200005, -111.58712831499997)",900
Major Dissolved Constituents for A. Vaughn well,(B-05-03)12ddd,A. Vaughn,well,UGS:WE-007,782,Major Dissolved Constituents for A. Vaughn well,aqueous,08/15/1984 12:00:00 AM,Missing,,,20,,,Weber,41.178100000000001,-112.122,EPSG:4326,Missing,SLB&M,5N,3W,12,SE SE SE,-99999,USGS National Water Information System; accessed 2000,,,,,,44,13,0.2,2,12,20,,19,18,4.134323,3.866118,,,0.033524,,,"Utah
(39.36070123200005, -111.58712831499997)",900
Major Dissolved Constituents for H. Richards well,(B-05-04)21cbb,H. Richards,well,UGS:WE-009,784,Major Dissolved Constituents for H. Richards well,aqueous,11/02/1964 12:00:00 AM,Missing,,,20,7.6,l/min,Weber,41.1511,-112.319,EPSG:4326,Missing,SLB&M,5N,4W,21,SW NW NW,-99999,"Bolke, E.L., and Waddell, K.M., 1972, Ground-water conditions in the East Shore area, Box Elder, Davis, and Weber Counties, Utah, 1960-1969: Utah Department of Natural Resources Technical Publication 35, 59 p.",,,,,,146,1930,1.1,56,68,990,,7.8,,57.378599999999999,56.666679999999999,,,0.006242,,,"Utah
(39.36070123200005, -111.58712831499997)",900
Major Dissolved Constituents for GSLM & C Corp. No.  9 well,(B-07-03)31dda,GSLM & C Corp. No.  9,well,UGS:WE-037,810,Major Dissolved Constituents for GSLM & C Corp. No.  9 well,aqueous,09/10/1969 12:00:00 AM,Missing,,,29,,,Weber,41.296700000000001,-112.22,EPSG:4326,Missing,SLB&M,7N,3W,31,SE SE NE,-99999,"Bolke, E.L., and Waddell, K.M., 1972, Ground-water conditions in the East Shore area, Box Elder, Davis, and Weber Counties, Utah, 1960-1969: Utah Department of Natural Resources Technical Publication 35, 59 p.",,,,,,14,96,,,8.800000000000001,147,,33,0.8,7.817252,7.805716,,,0.000738,,,"Utah
(39.36070123200005, -111.58712831499997)",900
Major Dissolved Constituents for D. Prevedel well,(B-06-02)33ddc,D. Prevedel,well,UGS:WE-017,791,Major Dissolved Constituents for D. Prevedel well,aqueous,05/07/1969 12:00:00 AM,Missing,,,20,,,Weber,41.205599999999997,-112.068,EPSG:4326,Missing,SLB&M,6N,2W,33,SE SE SW,-99999,"Bolke, E.L., and Waddell, K.M., 1972, Ground-water conditions in the East Shore area, Box Elder, Davis, and Weber Counties, Utah, 1960-1969: Utah Department of Natural Resources Technical Publication 35, 59 p.",,,,,,42,18,,,12,20,,17,9.5,3.95328,3.9344,,,0.002394,,,"Utah
(39.36070123200005, -111.58712831499997)",900
