"service_type","agency_name","health_needs_targeted","street_address","mailing_address_if_different","phone","fax","website","e_mail","hours","description_of_services","fees","eligibility_requirements","area_served","non_english_languages","wheelchair_accessibility"
"Local Health Department","Tooele County Health Department","Public Health","151 North Main Street Tooele UT 84070",,"435-843-2300","435-843-2304","www.tooelehealth.org",,,"Cancer Screening, Diabetes, Early Intervention, Immunizations, Infant Development, Infectious Disease Control, School Health, WIC, Family Health, Cholesterol Screening & Blood Pressure Checks","Dependant on Services Provided",,"Tooele County",,"x"
,"Wendover","Public Health","100 South 9th Street Wendover UT  84083","PO Box 554        Wendover UT 84083-0554","435-665-7004",,,,,,,,"Wendover Area",,"x"
"Hospitals/ Clinics","Community Nursing Service, Hospice","Home Health Nursing and Hospice","601 N Main St       Tooele UT 84074",,"435-882-3913 or toll free 1-866-882-3913","435-882-6209","www.cnsvna.org","Access on web site",,"Home Health Care, including rehab, home nursing, IV services, immunizations, home health education, Hospice Care","Dependant on services provided","Home health care must be ordered by attending physician","Tooele County area",,"x"
,"Mountain West Medical Center","Hospital Care","2055 N Main St     Tooele UT 84074",,"435-843-3600",,"www.mountainwestmc.com","Access on web site","24 Hour Emergency, Other departments vary","Serves Range of Health Care Needs","Dependant on services provided",,"Statewide","Yes","x"
,"Wendover Community Health Center","Primary Medical Care","925 Wells Ave     West Wendover NV 89883","PO Box 3520    West Wendover NV 89883","775-664-2220","775-664-2965","http://www.nvrhc.org/wendover.htm","Access on web site","Mon - Sat 8:00am - 5:00pm, Emergency care available","Comprehensive primary health care including emergency care, well child clinic, immunizations, family planning, lab, x-ray,  women's health care, pharmacy services.  Health education including STD/HIV education.","Sliding Fee scale",,"West Wendover, NV and East Wendover, UT","yes","x"
"Mental Health/ Counseling","Valley Mental Health-Tooele ","Mental Health & Substance Abuse Services","100 S 1000 W      Tooele UT 84074",,"435-843-3520",,"http://www.vmh.com/tooele/","Access on web site","By Appointment. Call 435-649-834.","Outpatient Mental Health Services, Substance Abuse services, Prevention Services for Adults and Youth, New Reflections Clubhouse","Private or Medicaid insurance, sliding fee scale","Eligibility for services determined at intake procedure, guidelines for eligibility on website","Tooele County area",,"x"
"Domestic Violence","Pathways","Domestic Violence Shelter","305 N Main St      Tooele UT  84074",,"435-843-1645 toll free 1-800-833-5515","435-833-7300",,,"24 hours a day, 7 days a week","Provide temporary housing for victims of domestic violence & their children. Shelter operations 24 hours a day, 7 days a week.  Education, support, referral, and individual counseling available.",,"Call for eligibility requirements","Tooele",,
"People With Disabilities","Division of Rehabilitation Services (Voc Rehab) Tooele","Assistance for individuals with disabilities","982 N Main        Tooele UT 84074-1616",,"801-882-1086 or toll free 1-800-734-1086 Voice/TTY",,"www.usor.utah.gov",,"M-F 8:30am - 5:00pm","Assist individuals with disabilities to prepare for and obtain employment and increase their independence",,"Eligibility for services determined at intake procedure, guidelines for eligibility on website","Tooele County area",,"x"
,"Division of Services for People with Disabilities (DSPD) Tooele","Children and Adults with qualifying disabilities","305 N Main St      Tooele UT  84074",,"435-833-7355","435-833-7345","www.hsdspd.state.ut.us",,,"Assistance for Children and Adults with qualifying disabilities",,,"Tooele county",,"x"
"Senior Citizens","Tooele County Division of Aging and Adult Services","Services for Seniors, disabled adults and their caregivers","59 E Vine St       Tooele UT 84074",,"435-882-2870","435-882-6971","www.hsdaas.utah.gov","bdymock@co.tooele.ut.us",,"In-Home Service, Senior Companion Program, Health Insurance Info, Senior Centers, Senior Resource Guide, Caregiver Support, Information & Referral, Ombudsman",,"Resident of Tooele counties ","Tooele County area",,"x"
"Substance Abuse ","Alcoholics Anonymous (AA) ","Group meetings for alcohol dependency","Meets at various locations in Tooele",,"435-484-7871",,"http://www.utahaa.org/",,,"Conduct Open and Closed Group Sessions in a 12 Step Program, Locate local meetings and times by calling 435-484-7871",,,"Tooele County area","Check for Spanish locations on www.utahaa.org","x"
