"age","total","under_5","_5_6","_7_8","_9_10","_11_12","_13_14","_15_20","_21_and_over","unknown"
"Total","2767","23","942","947","354","160","171","133","17","20"
"Under 15","9","0","1","3","3","0","2","0","0","0"
"Total 15 to 19","325","4","81","109","52","22","25","29","1","2"
"15-17","86","1","13","29","17","8","8","9","1","0"
"18-19","239","3","68","80","35","14","17","20","0","2"
"20-24","874","3","275","309","131","53","52","44","1","6"
"25-29","641","6","246","211","75","37","31","23","7","5"
"30-34","475","6","183","152","57","26","25","18","3","5"
"35-39","324","3","106","125","28","17","26","16","2","1"
"40-44","94","1","40","28","6","5","9","2","2","1"
"45 and over","8","0","5","3","0","0","0","0","0","0"
"Unknown","17","0","5","7","2","0","1","1","1","0"
