"county","processed_date","amount","fiscal_year","entity_trans_id","description","ref_id","type","contract_name","contract_number","entity1","entity2","name1","name2","account","name3","fund","subfund"
"Uintah County","2012-07-03T00:02:00.000","91.17","2012","APCK-62.7336","TRAVEL","NULL","Expenditure","NULL","NULL","DINOSAURLAND TOURISM","NULL","NULL","NULL","Travel","NULL","TRANSIENT ROOM TAX","NULL"
"Uintah County","2012-07-03T00:02:00.000","27.75","2012","APCK-62.7596","TRAVEL","NULL","Expenditure","NULL","NULL","DINOSAURLAND TOURISM","NULL","NULL","NULL","Travel","NULL","TRANSIENT ROOM TAX","NULL"
"Uintah County","2012-07-03T00:02:00.000","1517.74","2012","APCK-62.7382","EQUIP SUPPLIES & MAINT","NULL","Expenditure","NULL","NULL","DINOSAURLAND TOURISM","NULL","NULL","NULL","Equip Supplies & Maint","NULL","TRANSIENT ROOM TAX","NULL"
"Uintah County","2012-07-03T00:02:00.000","116.05","2012","APCK-62.7461","TELEPHONE/INTERNET","NULL","Expenditure","NULL","NULL","DINOSAURLAND TOURISM","NULL","NULL","NULL","TELEPHONE/INTERNET","NULL","TRANSIENT ROOM TAX","NULL"
"Uintah County","2012-07-03T00:02:00.000","167.49","2012","APCK-62.7541","TELEPHONE/INTERNET","NULL","Expenditure","NULL","NULL","DINOSAURLAND TOURISM","NULL","NULL","NULL","TELEPHONE/INTERNET","NULL","TRANSIENT ROOM TAX","NULL"
"Uintah County","2012-07-03T00:02:00.000","54.3","2012","APCK-62.7438","TRAVEL","NULL","Expenditure","NULL","NULL","TRI-COUNTY HEALTH","NULL","NULL","NULL","Travel","NULL","TRI-COUNTY HEALTH DEPT.","NULL"
"Uintah County","2012-07-03T00:02:00.000","32","2012","APCK-62.7219","TRAVEL","NULL","Expenditure","NULL","NULL","TRI-COUNTY HEALTH","NULL","NULL","NULL","Travel","NULL","TRI-COUNTY HEALTH DEPT.","NULL"
"Uintah County","2012-07-03T00:02:00.000","46.98","2012","APCK-62.7479","BLDG & GRNDS SUPPLIES & MAINT","NULL","Expenditure","NULL","NULL","WESTERN PARK","NULL","NULL","NULL","BLDG & GRNDS SUPPLIES & MAINT","NULL","WESTERN PARK","NULL"
"Uintah County","2012-07-03T00:02:00.000","154.7","2012","APCK-62.7585","BLDG & GRNDS SUPPLIES & MAINT","NULL","Expenditure","NULL","NULL","WESTERN PARK","NULL","NULL","NULL","BLDG & GRNDS SUPPLIES & MAINT","NULL","WESTERN PARK","NULL"
"Uintah County","2012-07-03T00:02:00.000","64.43","2012","APCK-62.7586","BLDG & GRNDS SUPPLIES & MAINT","NULL","Expenditure","NULL","NULL","WESTERN PARK","NULL","NULL","NULL","BLDG & GRNDS SUPPLIES & MAINT","NULL","WESTERN PARK","NULL"
"Uintah County","2012-07-03T00:02:00.000","1100.7","2012","APCK-62.7236","UTILITIES","NULL","Expenditure","NULL","NULL","WESTERN PARK","NULL","NULL","NULL","UTILITIES","NULL","WESTERN PARK","NULL"
"Uintah County","2012-07-03T00:02:00.000","2264.57","2012","APCK-62.7409","UTILITIES","NULL","Expenditure","NULL","NULL","WESTERN PARK","NULL","NULL","NULL","UTILITIES","NULL","WESTERN PARK","NULL"
"Uintah County","2012-07-03T00:02:00.000","303.72","2012","APCK-62.7410","UTILITIES","NULL","Expenditure","NULL","NULL","WESTERN PARK","NULL","NULL","NULL","UTILITIES","NULL","WESTERN PARK","NULL"
"Uintah County","2012-07-03T00:02:00.000","47.03","2012","APCK-62.7411","UTILITIES","NULL","Expenditure","NULL","NULL","WESTERN PARK","NULL","NULL","NULL","UTILITIES","NULL","WESTERN PARK","NULL"
"Uintah County","2012-07-03T00:02:00.000","4028.76","2012","APCK-62.7436","UTILITIES","NULL","Expenditure","NULL","NULL","WESTERN PARK","NULL","NULL","NULL","UTILITIES","NULL","WESTERN PARK","NULL"
"Uintah County","2012-07-03T00:02:00.000","281.89","2012","APCK-62.7162","TELEPHONE/INTERNET","NULL","Expenditure","NULL","NULL","WESTERN PARK","NULL","NULL","NULL","TELEPHONE/INTERNET","NULL","WESTERN PARK","NULL"
