"hospital_name","provider_number","period","claim_type","avg_spending_per_episode_hospital","avg_spending_per_episode_state","avg_spending_per_episode_nation","percent_of_spending_hospital","percent_of_spending_state","percent_of_spending_nation","measure_start_date","measure_end_date","location_1"
"GARFIELD MEMORIAL HOSPITAL","460033","1 through 30 days After Discharge from Index Hospital Admission","Inpatient","968","2068","2602","8.86","10.09","13.29","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"JORDAN VALLEY MEDICAL CENTER","460051","1 to 3 days Prior to Index Hospital Admission","Outpatient","35","192","113","0.18","0.94","0.58","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LOGAN REGIONAL HOSPITAL","460015","1 through 30 days After Discharge from Index Hospital Admission","Durable Medical Equipment","105","126","107","0.62","0.61","0.55","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ST MARKS HOSPITAL","460047","During Index Hospital Admission","Hospice","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"OGDEN REGIONAL MEDICAL CENTER","460005","1 to 3 days Prior to Index Hospital Admission","Carrier","498","432","488","2.42","2.11","2.49","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"VALLEY VIEW MEDICAL CENTER","460007","1 through 30 days After Discharge from Index Hospital Admission","Home Health Agency","793","939","759","4.97","4.58","3.88","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"JORDAN VALLEY MEDICAL CENTER","460051","1 to 3 days Prior to Index Hospital Admission","Durable Medical Equipment","19","12","9","0.10","0.06","0.05","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LDS HOSPITAL","460006","During Index Hospital Admission","Home Health Agency","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LOGAN REGIONAL HOSPITAL","460015","During Index Hospital Admission","Hospice","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"SEVIER VALLEY MEDICAL CENTER","460026","During Index Hospital Admission","Carrier","815","1464","1511","4.60","7.14","7.72","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
