"hospital_name","provider_id","fiscal_year","domain_1_score","ahrq_psi_90_score","domain_1_start_date","domain_1_end_date","domain_2_score","clabsi_score","cauti_score","domain_2_start_date","domain_2_end_date","total_hac_score","footnotes","location_1"
"PARK CITY MEDICAL CENTER","460057","2015","8","8","2011-07-01T00:00:00.000","########","Not Available","Not Available","Not Available","2012-01-01T00:00:00.000","########","8",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"BRIGHAM CITY COMMUNITY HOSPITAL","460017","2015","2","2","2011-07-01T00:00:00.000","########","Not Available","Not Available","Not Available","2012-01-01T00:00:00.000","########","2",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"LANDMARK HOSPITAL OF SALT LAKE CITY, LLC","460059","2015",,,"2011-07-01T00:00:00.000","########","Not Available","Not Available","Not Available","2012-01-01T00:00:00.000","########",,,"
, UT 
(39.36070123200005, -111.58712831499997)"
"AMERICAN FORK HOSPITAL","460023","2015","9","9","2011-07-01T00:00:00.000","########","5","1","9","2012-01-01T00:00:00.000","########","6.4",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"JORDAN VALLEY MEDICAL CENTER","460051","2015","2","2","2011-07-01T00:00:00.000","########","6.5","4","9","2012-01-01T00:00:00.000","########","4.9249999999999998",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"DIXIE REGIONAL MEDICAL CENTER","460021","2015","8","8","2011-07-01T00:00:00.000","########","4","4","4","2012-01-01T00:00:00.000","########","5.4",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"OGDEN REGIONAL MEDICAL CENTER","460005","2015","8","8","2011-07-01T00:00:00.000","########","8.5","7","10","2012-01-01T00:00:00.000","########","8.3249999999999993",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"INTERMOUNTAIN MEDICAL CENTER","460010","2015","10","10","2011-07-01T00:00:00.000","########","6.5","5","8","2012-01-01T00:00:00.000","########","7.7249999999999996",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS","460009","2015","8","8","2011-07-01T00:00:00.000","########","8.5","8","9","2012-01-01T00:00:00.000","########","8.3249999999999993",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"UINTAH BASIN MEDICAL CENTER","460019","2015","3","3","2011-07-01T00:00:00.000","########","Not Available","Not Available","Not Available","2012-01-01T00:00:00.000","########","3",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN WEST MEDICAL CENTER","460014","2015","7","7","2011-07-01T00:00:00.000","########","6","Not Available","6","2012-01-01T00:00:00.000","########","6.35",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"SEVIER VALLEY MEDICAL CENTER","460026","2015","4","4","2011-07-01T00:00:00.000","########","Not Available","Not Available","Not Available","2012-01-01T00:00:00.000","########","4",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"DAVIS HOSPITAL AND MEDICAL CENTER","460041","2015","4","4","2011-07-01T00:00:00.000","########","9","10","8","2012-01-01T00:00:00.000","########","7.25",,"
, UT 
(39.36070123200005, -111.58712831499997)"
