"submitted_date","case_no","name","postal_code","nbr_immigrants","begin_date","end_date","job_title","dol_decision_date","certified_begin_date","certified_end_date","job_code","approval_status","wage_rate_1","rate_per_1","max_rate_1","part_time_1","prevailing_wage_1","wage_source_1","yr_source_pub_1","other_wage_source_1","wage_rate_2","rate_per_2","max_rate_2","part_time_2","prevailing_wage_2","wage_source_2","yr_source_pub_2","other_wage_source_2","location_1","location_2","location_3"
"2006-08-10T16:20:00.000","I-06222-2748177","Software Technology Group, Inc.","84111","1","2006-08-10T00:00:00.000","2009-08-10T00:00:00.000","Quality Assurance Engineer","8/10/06","2006-08-10T00:00:00.000","2009-08-10T00:00:00.000","33","Certified","65000","Year",,"N","61443","O","2006","Online Wage Library",,,,,,,,,"555 South 300 East
Salt Lake City, UT 
(40.75681913900047, -111.88245424699971)","
Salt Lake City, UT 
(40.66726905100046, -111.92357267799969)",
"2006-09-19T12:43:00.000","I-06262-2809229","UTAH STATE UNIVERSITY","84322-9510","1","2006-12-15T00:00:00.000","2009-12-14T00:00:00.000","RESEARCH SCIENTIST","9/19/06","2006-12-15T00:00:00.000","2009-12-14T00:00:00.000","90","Certified","55000","Year",,"N","30888","S",,,,,,,,,,,"OFFICE OF HUMAN RESOURCES
LOGAN, UT 
(41.736184412000455, -111.83484810699969)","9510 OLD MAIN HILL
LOGAN, UT 
(41.736184412000455, -111.83484810699969)",
"2005-12-12T14:53:00.000","I-05346-2159035","JACK JOHNSON COMPANY LLC","84098","1","2006-05-20T00:00:00.000","2009-05-20T00:00:00.000","ARCHITECTURAL DRAFTSPERSON","12/12/05","2006-05-20T00:00:00.000","2009-05-20T00:00:00.000","17","Certified","16.82","Hour",,"N","13.02","O","2005","OES/SOC WAGES",,,,,,,,,"1777 SUN PEAK DR
PARK CITY, UT 
(40.69228329100048, -111.54467089799971)","
PARK CITY, UT 
(40.64314289900045, -111.49396907499971)",
"2006-06-05T17:31:00.000","I-06156-2612109","IM Flash Technologies, LLC","84043","1","2006-06-19T00:00:00.000","2009-06-18T00:00:00.000","RDA Shift Engineer","6/5/2006 5","2006-06-19T00:00:00.000","2009-06-18T00:00:00.000","1","Certified","65000","Year",,"N","42890","O","2006","OES Wage Data","65000","Year",,"N","55266","O","2006",,"1550 East 3400 North
Lehi, UT 
(40.4317194570005, -111.82544281799971)","
Lehi, UT 
(40.38966199000049, -111.8474694519997)","
Manassas, VA 
(38.75122295700049, -77.47110641099965)"
"2006-04-12T13:44:00.000","I-06102-2397011","Neumont University","84095","1","2006-08-08T00:00:00.000","2009-08-07T00:00:00.000","Systems Analyst and Software Developer","4/12/06","2006-08-08T00:00:00.000","2009-08-07T00:00:00.000","30","Certified","50000","Year",,"N","49067","O","2006","OES Online Wage Library",,,,,,,,,"10701 So. River Front Parkway #300
So. Jordan, UT 
(40.556885569000485, -111.91196648799968)","
South Jordan, UT 
(40.54988071800045, -111.93868613599972)",
"2006-07-14T16:43:00.000","I-06195-2697421","University of Utah","84112-9113","1","2006-08-15T00:00:00.000","2009-08-14T00:00:00.000","Post Doctoral Fellow","7/14/06","2006-08-15T00:00:00.000","2009-08-14T00:00:00.000","90","Certified","42000","Year",,"N","32802","O","2006","OES",,,,,,,,,"c/o U of U International Center, Room 410
SLC, UT 
(40.66726905100046, -111.92357267799969)","200 S Central Campus Drive
Salt Lake City, UT 
(40.76560601700049, -111.84479108999972)",
"2006-05-30T14:06:00.000","I-06146-2573725","Altiris, Inc.","84042","1","2006-10-01T00:00:00.000","2007-09-30T00:00:00.000","Senior Software Consultant","5/30/06","2006-10-01T00:00:00.000","2007-09-30T00:00:00.000","30","Certified","80956","Year",,"N","65707","O","2006","OES Wage Library",,,,,,,,,"588 West 400 South
Lindon, UT 
(40.33035848700047, -111.73090038099969)","Suite 300
Plymouth, MI 
(42.3724502550005, -83.46747786999964)",
"2006-04-27T11:34:00.000","I-06117-2450473","University of Utah","84112-9113","1","2006-08-04T00:00:00.000","2009-08-04T00:00:00.000","Computer Professional","4/27/06","2006-08-04T00:00:00.000","2009-08-04T00:00:00.000","39","Certified","40000","Year",,"N","32718","O","2006","OES",,,,,,,,,"c/o U of U International Center, Room 410
SLC, UT 
(40.66726905100046, -111.92357267799969)","200 S Central Campus Drive
Salt Lake City, UT 
(40.76560601700049, -111.84479108999972)",
"2006-09-28T15:22:00.000","I-06271-2828087","ASC UTAH DBA THE CANYONS","84098","1","2006-10-23T00:00:00.000","2007-04-18T00:00:00.000","SALES & RESERVATIONS SUPERVISOR","9/28/06","2006-10-23T00:00:00.000","2007-04-18T00:00:00.000","187","Certified","670","Week",,"N","670","S",,,,,,,,,,,"4000 THE CANYONS RESORT DRIVE
PARK CITY, UT 
(40.64314289900045, -111.49396907499971)","
PARK CITY, UT 
(40.64314289900045, -111.49396907499971)",
"2006-02-01T13:45:00.000","I-06032-2229125","University of Utah","84132","1","2006-06-01T00:00:00.000","2008-07-27T00:00:00.000","Research Associate","2/1/2006 1","2006-06-01T00:00:00.000","2008-07-27T00:00:00.000","90","Certified","31907","Year","54496","N","31907","S",,,,,,,,,,,"Division of Nephrology, University of Utah Hospital, 30 North, 1900 East.
Salt Lake City, UT 
(40.66726905100046, -111.92357267799969)","
Salt Lake City, UT 
(40.66726905100046, -111.92357267799969)",
