"project_id","project_name","project_description","website","category_id","subcategory_id","district_id","project_stage_id","project_image","project_detail_1_n","project_start_date","project_end_date","icon","initiative_icon","budget","amount_spent","budget_indicator","schedule_indicator","budget_range","budget_indicator_narrative","budget_text","schedule_indicator_narrative","optional_indicator_narrative","schedule_text"
"447-19083","Resurfacing of LANGLEY STREET from Oak Park Drive to Plymouth Avenue and OAK PARK DRIVE from Langley Street to Blossom Street, including Water Main Replacement",,,"Streets",,"3","D",,,"2021-04-12T08:00:00.000","2022-11-30T08:15:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-20026","LED Street Lighting Replacement - Citywide","Citywide Project - Street Lighting Replacement at various locations throughout the city.",,"Streets",,"1, 2, 3",,,,,"2023-06-22T14:00:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-20034","Improvements to Fourth Street Woods, Nagold and Sweet Street Parks","Test - Improvements to FOURTH STREET WOODS, NAGOLD and SWEET STREET PARKS",,"Park",,"1, 2","D",,,"2021-07-01T08:00:00.000","2022-06-28T12:00:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-20033","Improvements to Canal, Heartside, Pekich and Sixth Street Park","Improvements to Canal, Sixth Street, Heartside and Pekich Parks.",,"Park",,"1, 2","D",,,"2021-07-01T08:00:00.000","2022-07-05T12:00:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-20036","Martin Luther King Park Asbestoes Investigation","Test",,"Park",,"3","D",,,,"2022-07-06T12:00:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-20009","Sidewalk Improvements in 44th Street from Eastern Avenue to Trade Drive","Sidewalk Improvements in 44th STREET from Eastern Avenue to Trade Drive",,"Sidewalk",,"3","D",,,"2021-05-03T08:00:00.000","2023-03-17T16:30:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-19123","Reconstruction of FAIRPLAINS CEMETERY Roads - Phase 1",,,"Park",,,"D",,,"2020-05-01T08:00:00.000","2022-01-18T13:30:00.000",,,,,,"Cancelled",,,,,,
"447-19112","Improvements at CAMELOT PARK (Splash Pad)","Splash pad improvements at Camelot Park.",,"Park",,"3","D",,,"2021-04-01T08:00:00.000","2022-02-24T14:45:00.000",,,,,,"In-Progress",,,,,,
"447-17098","300 Monroe ADA enhancements","Review existing conditions and deficiencies of ADA access into 300 Monroe from parking ramp. Develop suggestions and potential options on improving access within existing space.",,"Facilities",,"1, 2, 3","P",,,"2020-07-01T08:00:00.000","2020-03-24T11:05:00.000",,,,"29522.55",,"Completed",,,,,,
"447-17112","Plainfield Avenue Sidewalk I-96 to 390 feet North of Salerno Drive","Sidewalk Improvements in PLAINFIELD AVENUE from I-96 to 390 feet North of Salerno Drive",,"Sidewalk",,"2","P",,,,"2026-06-11T15:45:00.000",,,"1218000.0","0.0",,"In-Progress",,,,,,
"447-19048","Improvements to Rosa Parks Circle","Improvements to Rosa Park Circle",,"Park",,"2","D",,,"2021-04-15T08:00:00.000","2021-11-01T08:45:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-19082","Reconstruction of WOODWARD LANE from Sunnybrook Avenue to Fulton Street and SUNNYBROOK AVENUE from Woodward Lane to Fulton Street and Resurfacing of LYON STREET from Mack Avenue to Fuller Ave","Reconstruction of WOODWARD LANE from Sunnybrook Avenue to Fulton Street and SUNNYBROOK AVENUE from Woodward Lane to Fulton Street and Resurfacing of LYON STREET from Mack Avenue to Fuller Avenue",,"Streets",,"2","C",,,"2020-06-15T08:00:00.000","2023-04-13T10:45:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-19024","Improvements to Garfield Park (Splash Pad)","Improvements to Garfield Park (Splash Pad)",,"Park",,,"D",,,,"2023-12-20T14:00:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-19043","Improvements to Covell Dog, Eastern, Pleasant and Richmond Parks",,,"Park",,"1, 2","C",,,"2020-08-01T08:00:00.000","2027-07-01T14:15:00.000",,,"975000.0","0.0",,"In-Progress",,,,,,
"447-19047","Reconstruction of TREMONT BOULEVARD from Covell Avenue to Mount Mercy Drive",,,"Streets",,"1","C",,,"2020-06-08T08:00:00.000","2023-11-14T16:45:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-19042","Aman, Burton Woods, Caulfield, and Kensington Park Improvements",,,"Park",,"1, 2, 3","C",,,"2020-10-15T08:00:00.000","2026-11-12T11:15:00.000",,,"760000.0","0.0",,"In-Progress",,,,,,
"447-18090","Parks Department relocation to Coldbrook",,,"Park",,"1","D",,,,"2020-08-03T14:15:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-19001","Reconstruction of ALLERTON AVENUE from Adams Street to Hall Street",,,"Streets",,"3","P",,,"2019-09-11T08:00:00.000","2023-09-15T09:30:00.000",,,"937700.0","0.0",,"In-Progress",,,,,,
"447-19081","Resurfacing of Rosewood Avenue from CSXRR to Burton Street, including Water Main Replacement_",,,"Streets",,,"P",,,"2020-06-08T08:00:00.000","2023-05-25T14:45:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-18085","Improvements to Foster, Lexington, Lincoln Place and Mackay-Jaycee Parks",,,"Park",,"1, 2, 3","C",,,"2019-08-01T08:00:00.000","2023-11-20T14:00:00.000",,,"675000.0","0.0",,"In-Progress",,,,,,
"447-18099","HALL STREET - Kalamazoo to Sylvan Reconstruction",,,"Streets",,,"D",,,,"2023-07-14T17:00:00.000",,,"4290250.0","0.0",,"In-Progress",,,,,,
"447-19015","Improvements to Rasberry Field",,,"Park",,"3","P",,,,"2027-12-30T13:45:00.000",,,"247000.0","0.0",,"In-Progress",,,,,,
"447-19110","Street Lighting Improvements - Division Ave side streets","Street Lighting Improvements - Weston from Division to Sheldon, Weston from Commerce to Division, Oakes from Division to Sheldon, Oakes from Commerce to Division",,"Streets",,"3",,,,"2020-04-01T08:00:00.000","2022-08-05T08:30:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-18083","Improvements to Belknap, Joe Taylor, Lookout and Reservoir Parks",,,"Park",,"1, 2, 3","C",,,"2019-07-01T08:00:00.000","2022-02-01T11:00:00.000",,,"750000.0","0.0",,"In-Progress",,,,,,
"447-19064","Roof replacement at Lagrave Fire Station","This project will replace the roofing systems, soffit, and fascia at the LaGrave Fire Station.",,"Facilities",,"3","D",,,"2020-02-03T08:00:00.000","2022-06-24T11:45:00.000",,,"217470.0","188489.13",,"Completed",,,,,,
"447-19018","Reconstruction and Water Main Replacement in GRIGGS STREET from Plymouth Avenue to Hutchinson Avenue",,,"Streets",,"3","P",,,"2020-04-29T08:00:00.000","2023-11-14T15:15:00.000",,,"1050000.0","0.0",,"In-Progress",,,,,,
"447-19059","Facade repairs and waterproofing at City Hall","Inspect and repair granite panels that makeup the facility façade to maintain granite panels in good condition. Inspection has been/in process of being done, repairs to follow",,"Facilities",,"1, 2, 3","D",,,"2021-07-01T08:00:00.000","2021-08-06T08:45:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-19040","Grand River - Site Access Plans","The consultant will work with the City of Grand Rapids staff and stakeholders to perform the following work. All work is to follow the River for All Guidelines and all other applicable plans and guides.

North Monroe Site – 555 Monroe Ave NW  - Interim Site Improvements -
Develop construction plans, specifications, and opinion of probable cost for interim site improvements for the 2-5 years between Phase I and Phase III of the Grand River Revitalization Project, which anticipated to start between 2023 to 2025.
The design shall factor in the needs for recreation on the site and for non-motorized boating and pedestrian access to the river.
Hold one public meeting to engage local stakeholders who are anticipated to include the Monroe North Business Association, DGRI, and downtown residents.
The deliverables will be included in the MDEQ permit application for the Grand River Revitalization project.  
East River Edge – Approximately Blue Bridge to JW Marriott - Site Restoration and Improvements 
Prepare construction plans, specifications, and opinion of probable cost to improve the river edge to accommodate increased use, enhance user experience and repair the undermining of the river pedestrian walkway on the east side of the river.  
The plan shall include native landscaping to enhance and beautify the area and access, such as steps, for river users to access the river at a variety of flood levels.
The deliverables will be included in the MDEQ permit application for the Grand River Revitalization project. Any information pertinent to the MDEQ permit will be provided to the City for inclusion in the MDEQ permit.",,"River",,"1, 2, 3","D",,,,"2021-06-04T09:30:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-19044","Improvements to Ken-O-Sha Park",,,"Park",,"3","C",,,"2020-06-01T08:00:00.000","2025-04-01T10:15:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-18004","Reconstruction of ALGER STREET from Madison Ave to Kalamazoo Ave","This is a reconstruction project. For more detailed project information, click on the link below. 

https://www.grandrapidsmi.gov/Residents/Road-Construction/Alger-St-SE-Madison-Ave-SE-to-Kalamazoo-Ave-SE",,"Streets",,"1, 3","D",,,"2020-03-01T08:00:00.000","2026-01-09T16:30:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-19127","Reconstruction of Ottawa Avenue from Hastings Street to Mason Street",,,"Streets",,"2",,,,"2020-04-01T08:00:00.000","2022-09-16T08:30:00.000",,,,,,"In-Progress",,,,,,
"447-20015","Improvements in Weston Street SE Corner of Weston Street and Division Avenue (Portland Loo)",,,"Streets",,"1",,,,,"2022-12-02T15:00:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-17061","Pathway Improvements at Various Parks",,,"Park",,"1, 2, 3","C",,,,"2019-05-31T17:00:00.000",,,,,,"In-Progress",,,,,,
"447-17087","Improvements to Plaster Creek Family Park",,,"Park",,"3","C",,,"2019-05-14T08:00:00.000","2023-10-10T09:08:24.000",,,"973000.0",,,"In-Progress",,,,,,
"447-14056","Weston - Sheldon to LaGrave","Reconstruction of WESTON STREET from Sheldon Boulevard to LaGrave Avenue and Pavement Marking Improvements from Division Avenue to Jefferson Avenue",,"Streets",,"1","P",,,"2018-06-09T08:00:00.000","2023-10-19T14:30:00.000",,,,,,"In-Progress",,,,,,
