"race_ethnicity","gender","year","clients_served","nurse_referrals","blood_glucose","blood_pressure","pregnancy","immunizations","hiv","vision","dental","health_information","health_presentations","units_of_service","satisfaction_survey"
"Black","Male","2017","654","48","241","477","0","0","41","0","0","69","152","980","0"
"Black","Female","2017","1004","56","229","519","0","0","44","0","0","68","432","1292","0"
"Black","Transgender","2017","0","0","0","3","0","0","0","0","0","0","2","5","0"
"White","Male","2017","203","13","84","167","0","0","15","0","0","37","16","319","0"
"White","Female","2017","252","17","106","191","0","0","10","0","0","23","38","368","0"
"White","Transgender","2017","0","0","0","0","0","0","4","0","0","0","1","5","0"
"Hispanic","Male","2017","389","37","192","341","0","6","39","4","0","31","9","622","0"
"Hispanic","Female","2017","623","29","321","497","0","19","34","2","0","64","65","1002","0"
"Hispanic","Transgender","2017","0","0","4","5","0","0","0","0","0","0","0","9","0"
"Asian","Male","2017","259","8","165","219","0","64","2","0","0","20","3","473","0"
"Asian","Female","2017","350","11","216","299","0","65","0","0","0","23","3","606","0"
"Asian","Transgender","2017","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other","Male","2017","90","1","28","59","0","17","17","1","0","10","3","135","0"
"Other","Female","2017","94","2","14","24","0","46","0","0","0","16","14","114","0"
"Other","Transgender","2017","0","0","0","0","0","0","0","0","0","0","4","4","0"
"ALL","ALL","2017","3918","222","1600","2801","0","217","206","7","0","361","742","5934","1661"
