"tcad_or_wcad_property_id_s","auditor","company","duct_system_1_type","duct_system_2_type","duct_system_1_rvalue","duct_system_2_rvalue","duct_system_1_return_sizing","duct_system_2_return_sizing","duct_system_1_leakage","duct_system_2_leakage","system_1_location_air_handler","system_2_location_air_handler","system_1_air_handler_type","system_2_air_handler_type","system_1_age_years","system_2_age_years","system_1_eer","system_2_eer","system_1_sqft_ton","system_2_sqft_ton","water_heater_fuel_type","water_heating_tank_type","toilet_type","programmable_thermostat_present","window_screen_area_recommended_sqft","furnace_fuel_type","audit_date","attic_r_value","recommended_additional_r_value","year_built","bedrooms","conditioned_sqft","attic_sqft","home_type","as_of","location_1"
"285122","Andy Pell","1 EARTH ENERGY AUDITS",,,,,,,,,,,,,,,,,,,"Gas","Tank","Standard","N","0","Gas","2010-06-07T00:00:00.000","11","27","1947","2","684","684","Single Family","2014-05-20T00:00:00.000","6313 CRUMLEY LN
Austin, Tx 78741
(30.240678449000484, -97.69217838499969)"
"742906","Andy Pell","1 EARTH ENERGY AUDITS",,,,,,,,,,,,,,,,,,,"Elec","Tank","Water_Saving","Y","0","Elec","2013-02-13T00:00:00.000",,,"1997","1","422",,"Condo","2014-05-20T00:00:00.000","304 E 33RD ST 9
Austin, Tx 78705
(30.29637649300048, -97.73355810199968)"
"772801","Chad Roesch","A-1 ENERGY AUDITS",,,,,,,,,,,,,,,,,,,"Gas","Tank","Standard","N","0","Elec","2010-08-02T00:00:00.000",,,"1936","4","1100",,"Single Family","2014-05-20T00:00:00.000","1151 PERRY RD
Austin, Tx 78721
(30.260265029000436, -97.6842653439997)"
"501759","James Davis","ENERGY AUDIT MASTERS",,,,,,,,,,,,,,,,,,,"Gas","Tank","Water_Saving","N","134","Gas","2013-06-03T00:00:00.000","3","35","1955","2","1139","1100","Single Family","2014-05-20T00:00:00.000","11500 TEDFORD
Austin, Tx 78753
(30.383477972000435, -97.68365537399967)"
"136391","James Davis","ENERGY AUDIT MASTERS","Mylar_Flex",,"5",,"Adequate",,"50.2",,"Attic",,"Horizontal",,"14",,"10.5",,"581",,"Gas","Tank","Water_Saving","Y","92","Gas","2010-02-03T00:00:00.000","20","18","1990","3","2325","1000","Single Family","2014-05-20T00:00:00.000","4805 CANDLE RIDGE DR
Austin, Tx 78731
(30.360122379000472, -97.77711596399968)"
"156439","Steve Doxey","PRECISION INSPECTION","Grey_Flex","Grey_Flex","6","6","Adequate","Adequate","21","16","Attic","Attic","Horizontal","Horizontal","7","5","8","8","510","510","Elec","Tank","Standard","N","0","Elec","2009-08-22T00:00:00.000","35",,"1991","3","2553","1275","Single Family","2014-05-20T00:00:00.000","5806 PAINTED VALLEY DR
Austin, Tx 78759
(30.408157513000447, -97.76056737699969)"
"325429","Ben Stark","AUSTIN AUDITORS","Grey_Flex",,"6",,"Adequate",,"14.7",,"Attic",,"Horizontal",,"10",,"11",,"576",,"Elec","Tank","Water_Saving","Y","15","Elec","2012-06-29T00:00:00.000",,"0","1967","3","864","864","Single Family","2014-05-20T00:00:00.000","5711 BLYTHEWOOD DR
Austin, Tx 78745
(30.20562703200045, -97.78184292699967)"
"114705","James Davis","ENERGY AUDIT MASTERS",,,,,"Adequate",,"4.7",,"Closet",,"Up Flow",,,,"8.5",,"442",,"Gas","Tank","Standard","Y","92","Gas","2009-10-06T00:00:00.000",,,"1955","2","1327",,"Single Family","2014-05-20T00:00:00.000","1803 EXPOSITION BLVD
Austin, Tx 78703
(30.293004478000455, -97.77051523299968)"
"733527","Jeff Geissen","AUSTIN GREEN & CONSERVATION","Mylar_Flex",,"8",,"Adequate",,"8",,"Attic",,"Horizontal",,"6",,"7",,"625",,"Gas","Tank","Water_Saving","Y","0","Gas","2009-09-28T00:00:00.000","27",,"2008","3","1563","1563","Single Family","2014-05-20T00:00:00.000","7701 STEPHANYTAYLOR CV
Austin, Tx 78745
(30.188880665000454, -97.79956879999969)"
"118300","Greg Schroeder","GREEN ZONE HOME","Mylar_Flex",,"6",,"Adequate",,"9.3",,"Attic",,"Horizontal",,"15",,"9",,"572",,"Gas","Tank","Water_Saving","Y","0","Gas","2013-02-12T00:00:00.000","28","10","1999","3","1715","1565","Single Family","2014-05-20T00:00:00.000","2800 OAKMONT BLVD
Austin, Tx 78703
(30.302524763000463, -97.75772716399968)"
"101076","Roland Huettel","ECO.INSPECTIONS, INC","Sheet_Metal",,"2",,"Adequate",,,,"Closet",,"Up Flow",,"16",,,,,,"Elec","Tank","Water_Saving","Y","0","Gas","2013-11-20T00:00:00.000","19","19","1975","3","3093","3093","Duplex","2014-05-20T00:00:00.000","2007 WESTRIDGE DR APT B
Austin, Tx 78704
(30.25421151200044, -97.77976784099968)"
"426034","Jay Hill","ADVANCED ENERGY SOLUTIONS","Sheet_Metal",,"4",,"Adequate",,"23",,"Closet",,"Up Flow",,"9",,"9",,"310",,"Elec","Tank","Water_Saving","N","0","Gas","2013-10-31T00:00:00.000","11","27","1968","1","620",,"Condo","2014-05-20T00:00:00.000","5601 WOODROW AVE 102
Austin, Tx 78756
(30.327714785000467, -97.73354507399966)"
"242093","Wayne Morgan","A-1 AUSTIN AUDITS AND CONSULTING","Sheet_Metal",,"6",,"Inadequate",,"13",,"Closet",,"Up Flow",,"3",,,,"580",,"Gas","Tank","Standard","Y","0","Gas","2010-02-19T00:00:00.000","22","16","1970","4","1740","1295","Single Family","2014-05-20T00:00:00.000","1405 BRIGHTON CIRCLE
Austin, Tx 78753
(30.353974330000483, -97.67603962099969)"
"248680","Efrain Ramirez","EARTH ANGELS ENERGY AUDITS, LLC","Sheet_Metal",,"4",,"Adequate",,"15",,"Closet",,"Up Flow",,,,"7",,"426",,"Gas","Tank","Water_Saving","Y","0","Gas","2012-09-19T00:00:00.000","7","31","1966","3","1064","1064","Single Family","2014-05-20T00:00:00.000","3103 CANDLELIGHT CT
Austin, Tx 78757
(30.36757372000045, -97.7352790489997)"
"303348","James Davis","ENERGY AUDIT MASTERS","Sheet_Metal",,"3",,"Adequate",,"14.5",,"Garage","Closet","Up Flow",,,,"11",,"504",,"Gas","Tank","Water_Saving","Y","0","Gas","2012-03-12T00:00:00.000","30","8","1950","3","1767","1767","Single Family","2014-05-20T00:00:00.000","2508 PARAMOUNT AVENUE
Austin, Tx 78794
(30.247876105000444, -97.78033635699967)"
"246120","James Davis","ENERGY AUDIT MASTERS","Duct_Board",,"4",,"Adequate",,"34.3",,"Closet",,"Up Flow",,,,"10",,"392",,"Gas","Tank","Water_Saving","Y","84","Gas","2012-08-08T00:00:00.000","19","19","1964","3","980","900","Single Family","2014-05-20T00:00:00.000","8310 WEYBURN DR
Austin, Tx 78757
(30.36241680100045, -97.72519617099965)"
"347926","William Sherman","AXIS GREEN SERVICES","Grey_Flex",,"6",,"Inadequate",,"8",,"Closet",,"Up Flow",,"21",,"4",,"565",,"Gas","Tank","Standard","N","222","Gas","2013-09-24T00:00:00.000","26","12","1993","3","1696","840","Single Family","2014-05-20T00:00:00.000","824 SWEETWATER RIVER DR
Austin, Tx 78748
(30.163181346000442, -97.81550029299967)"
"499768","Chad Roesch","A-1 ENERGY AUDITS","Grey_Flex",,"6",,"Adequate",,"21",,"Closet","Attic","Up Flow","Horizontal","12",,"12",,"457",,"Gas","Tank","Standard","N","0","Gas","2012-04-06T00:00:00.000","17.6","20.4","1983","2","913","913","Duplex","2014-05-20T00:00:00.000","6708 WENTWORTH B
Austin, Tx 78724
(30.293917658000453, -97.63101547499969)"
"585705","Gary Cremeans","FOX SERVICE COMPANY","Sheet_Metal",,"4",,"Adequate",,"11",,"Closet",,"Up Flow",,"17",,"10",,"564",,"Elec","Tank","Water_Saving","Y","0","Elec","2013-07-02T00:00:00.000","18","20","1968","4","2820","2820","Single Family","2014-05-20T00:00:00.000","12010 W COW PATH
Austin, Tx 78727
(30.423149769000474, -97.74099264099965)"
"156568","Dennis Williams","QUALITY HOME INSPECTIONS","Duct_Board","Duct_Board","4","4","Adequate","Adequate","20","34","Closet","Attic","Up Flow","Horizontal","11","20",,,"499","499","Gas","Tank","Water_Saving","Y","0","Gas","2013-10-12T00:00:00.000","34",,"1982","3","2746","1373","Single Family","2014-05-20T00:00:00.000","10506 FLORAL PARK DR
Austin, Tx 78759
(30.409717381000462, -97.76334600199965)"
"317244","Beau Delozier","GREENLIFE ENERGY SOLUTIONS","Mylar_Flex",,"6",,"Inadequate",,"16",,"Closet",,"Up Flow",,"17",,,,"440",,"Gas","Tank","Water_Saving","N","46","Gas","2010-05-06T00:00:00.000","17","21","1972","4","1320","1000","Single Family","2014-05-20T00:00:00.000","5238 MEADOW CREEK DR
Austin, Tx 78745
(30.215886387000467, -97.78713013099969)"
"202605","Brady Zaitoon","1 EARTH ENERGY AUDITS","Mylar_Flex",,"6",,"Adequate",,"10",,"Attic",,"Horizontal",,"14",,"9.5",,"456",,"Gas","Tank","Water_Saving","N","65","Gas","2010-04-16T00:00:00.000","12","26","1945","2","1140","1140","Single Family","2014-05-20T00:00:00.000","1701 PEREZ ST
Austin, Tx 78721
(30.282446652000488, -97.69262964499967)"
"553387","Brady Zaitoon","SQUARE HOUSE","Duct_Board",,"6",,"Adequate",,"11",,"Attic",,"Horizontal",,"11",,"10",,"597",,"Gas","Tank","Water_Saving","Y","110","Gas","2013-05-24T00:00:00.000","22","0","1997","3","1793","1793","Single Family","2014-05-20T00:00:00.000","5666 OAK BLVD
Austin, Tx 78735
(30.238274097000442, -97.84708020499966)"
"323729","Scott Lawton Phillips","ENERGY ACTION","Duct_Board",,"4",,"Adequate",,"21",,"Attic",,"Horizontal",,"17",,"9.5",,"477",,"Gas","Tank","Water_Saving","N","60","Elec","2010-05-17T00:00:00.000",,"26","1973","3","1192","1192","Single Family","2014-05-20T00:00:00.000","6606 BOLEYNWOOD DR
Austin, Tx 78745
(30.207466420000458, -97.8103528479997)"
"242696","John Strand","STRAND BROTHERS","Sheet_Metal",,"4",,"Adequate",,"26.1",,"Closet",,"Up Flow",,"20",,"6.5",,"470",,"Elec","Tank","Standard","N","0","Gas","2009-10-18T00:00:00.000","6","32","1965","2","1176","1176","Single Family","2014-05-20T00:00:00.000","1300 CLEARFIELD DR
Austin, Tx 78758
(30.357486104000486, -97.71285817499967)"
"126696","Jay Hill","ADVANCED ENERGY SOLUTIONS","Mylar_Flex","Mylar_Flex","6","6","Adequate","Adequate","12.5","9.8","Attic","Attic","Up Flow","Up Flow","16","20","10.5","11.5","453","453","Elec","Tank","Water_Saving","Y","0","Elec","2014-02-04T00:00:00.000","38",,"1998","5","5076",,"Single Family","2014-05-20T00:00:00.000","5504 RAVINE RIDGE CV
Austin, Tx 78746
(30.335427660000448, -97.79469258599966)"
"136052","James Davis","ENERGY AUDIT MASTERS","Mylar_Flex","Mylar_Flex","6","6","Adequate","Adequate","19.1","17.9","Attic","Attic","Horizontal","Horizontal",,,"10","13","644","387","Gas","Tank","Water_Saving","Y","316","Gas","2012-08-09T00:00:00.000","30","8","1999","4","3414","1100","Single Family","2014-05-20T00:00:00.000","5402 N SCOUT ISLAND CIR
Austin, Tx 78731
(30.355903732000456, -97.78625248299966)"
"244283","Roland Huettel","ECO.INSPECTIONS, INC","Sheet_Metal",,,,"Adequate",,"10",,"Attic",,"Horizontal",,,,,,"730",,"Gas","Tank","Water_Saving","Y","0","Gas","2011-08-29T00:00:00.000","30",,"1966","3","2557","2557","Single Family","2014-05-20T00:00:00.000","8013 PARKDALE DR
Austin, Tx 78757
(30.36158416100045, -97.7328450869997)"
"246777","Jon Beard","CONSERVATION SPECIALISTS OF AUSTIN, LLC","Sheet_Metal",,"2",,"Adequate",,"18",,"Garage",,"Up Flow",,"23",,"7",,"500",,"Elec","Tank","Water_Saving","Y","0","Elec","2013-06-04T00:00:00.000","8","30","1969","4","2488","1160","Single Family","2014-05-20T00:00:00.000","1000 FLORADALE DR
Austin, Tx 78753
(30.364546369000436, -97.67846884399967)"
