"fiscal_year","resident_district","event_district","discipline","race_code","contractor","sponsored_project","type_of_contract","award","city_facility","total_audience"
"2017",,"7",,"White","14/48",,"Community Initiative","3000.00",,"184"
"2017",,"2",,"Hispanic/Latino","Athena Silversmith",,"Community Initiative","5000.00",,"1200"
"2017",,"3",,"White","Austin Angers Creative",,"Community Initiative","5000.00","City Hall, Republic Square Park","1910"
"2017",,"6",,"Asian","Austin Chinese Choir",,"Community Initiative","5000.00",,"250"
"2017",,"3",,"White","Austin Creative Alliance/ Almost Real Things, LLC",,"Community Initiative","3750.00",,"1200"
"2017",,"9",,"White","Austin Creative Alliance/ ATX6 Showcase",,"Community Initiative","5000.00",,"100"
"2017",,,,"White","Austin Creative Alliance/ Austin Samba School",,"Community Initiative","5000.00",,"610"
"2017",,"1",,"Black/African American","Austin Creative Alliance/ Ballet Afrique",,"Community Initiative","5000.00",,"120"
"2017",,"1",,"White","Austin Creative Alliance/ Beerthoven",,"Community Initiative","3907.00",,"289"
"2017",,,,"Hispanic/Latino","Austin Creative Alliance/ BoCCa",,"Community Initiative","5000.00",,"0"
"2017",,"9",,"White","Austin Creative Alliance/ Con Moto",,"Community Initiative","5000.00",,"87"
"2017",,"3",,"Black/African American","Austin Creative Alliance/ dadageek",,"Community Initiative","5000.00",,"270"
"2017",,"8",,"White","Austin Creative Alliance/ Gender Portraits",,"Community Initiative","3750.00",,"318"
"2017",,"9",,"Asian","Austin Creative Alliance/ Jun Shen",,"Community Initiative","5000.00",,"180"
"2017",,"4",,,"Austin Creative Alliance/ Project Bridge",,"Community Initiative","5000.00",,"20"
"2017",,,,"White","Austin Creative Alliance/ Tangerine",,"Community Initiative","5000.00",,"106"
"2017",,"5",,,"Austin Creative Alliance/ Tarik Daniels",,"Community Initiative","3750.00",,"150"
"2017",,"10",,"White","Austin Creative Alliance/ Tetractys",,"Community Initiative","5000.00",,"600"
"2017",,,,"White","Austin Creative Alliance/ Verge Art Events",,"Community Initiative","5000.00",,"396"
"2017",,"3",,,"Austin Latino/a Lesbian & Gay Org DBA allgo/ Pink Elephant Festival",,"Community Initiative","3750.00",,"150"
"2017",,"3",,,"Austin Latino/a Lesbian & Gay Org DBA allgo/ Tonya Lyles",,"Community Initiative","5000.00",,"255"
"2017",,"1",,,"Austin Museum Partnership Inc",,"Community Initiative","3750.00",,"25000"
"2017",,,,"Black/African American","Austin Revitalization Authority /Apex Explosion Music Festival",,"Community Initiative","2000.00",,"77"
"2017",,,,"Black/African American","Austin Revitalization Authority/ KAZI",,"Community Initiative","5000.00",,"77"
"2017",,"1",,"Black/African American","Austin Revitalization Authority/ Return & Discover 12th Street Spring Festival",,"Community Initiative","3750.00",,"536"
"2017",,"1",,"Black/African American","Austin Urban Hip Hop Night",,"Community Initiative","5000.00","Carver","150"
"2017",,"1",,"White","Big Medium/ Allyson Lipkin",,"Community Initiative","5000.00",,"80"
"2017",,"3",,"White","Big Medium/ Elise Powell",,"Community Initiative","5000.00",,"242"
"2017",,"1",,"White","Big Medium/ fields",,"Community Initiative","5000.00",,"1100"
"2017",,"3",,,"Big Medium/ Ryan Hawk",,"Community Initiative","5000.00",,"800"
"2017",,"1",,"Black/African American","Cap City Cares",,"Community Initiative","5000.00","Givens Park & Rec Center","150"
"2017",,"3",,"Black/African American","Capitol View Arts/ First Saturdays",,"Community Initiative","5000.00",,"550"
"2017",,"1",,"Black/African American","Caribbean Day Festival",,"Community Initiative","5000.00",,"300"
"2017",,,,"White","Center for Women & Their Work/ Jayson Oaks",,"Community Initiative","5000.00",,
"2017",,"2",,"White","Center for Women & Their Work/ Shay Ishii Dance Company",,"Community Initiative","5000.00",,"185"
"2017",,"5",,"White","Co-Lab/ Art of the Brew",,"Community Initiative","3750.00",,"1900"
"2017",,"1",,,"Corpocrite",,"Community Initiative","5000.00",,"0"
"2017",,"1",,,"Dana Younger",,"Community Initiative","5000.00",,"250"
"2017",,"8",,"White","Dance Waterloo",,"Community Initiative","5000.00","Waller Creek & Austin BMX Skate Park","766"
"2017",,"3",,,"Dorothy O'Shea Overbey",,"Community Initiative","3750.00",,"312"
"2017",,"7",,"Asian","Film Society of Austin/Seadrift",,"Community Initiative","5000.00",,"22"
"2017",,"5",,"White","Flash Collective",,"Community Initiative","3750.00",,"131"
"2017",,"5",,"Hispanic/Latino","Francisco Chavez",,"Community Initiative","5000.00",,"500"
"2017",,"9",,"White","German-Texan Heritage Society",,"Community Initiative","5000.00",,"649"
"2017",,"9",,"White","GO Workshop",,"Community Initiative","3750.00",,"200"
"2017",,,,"White","groundswell theatre",,"Community Initiative","5000.00",,"192"
"2017",,"1",,"White","HE",,"Community Initiative","5000.00",,"212"
"2017",,"10",,,"Indie Meme",,"Community Initiative","5000.00",,"1134"
"2017",,"3",,"White","Jean Leider",,"Community Initiative","3750.00",,"200"
"2017",,"10",,"White","Johnny Luce",,"Community Initiative","5000.00",,"1539"
"2017",,"1",,"Black/African American","Jump On It",,"Community Initiative","3750.00",,"6000"
