"site_identification","location_1","assistance_type","period","status","proposed_redevelopment","acres","ftp_folder"
"Turner - Landfill",,"ESA I ESA II","1993","Completed"," ",,"1"
"Turner - Landfill",,"ESA I","2000-2002","Completed","Sold","10.37","1"
"Turner - Landfill",,"ESA II","2000-2002","Completed","Sold",,"1"
"Turner - Landfill",,"Additional Sampling","2001","Completed","Dollar General",,"1"
"Turner - Landfill",,"Deliniation Report","2006","Completed","Dollar General",,"1"
"Seaholm",,"ESA I/ ESA II","2001-2002","Completed","The Gables Plaza","0.8","4"
,,"ESA II","2001-2002","Completed","Planned reuse as Transfer Station","4","5"
"Mabel Davis Park ","9427 Parker Ln
,  ","BCRLF-REMEDIATION ","2003-2004","Completed","Skateboard Park","50.2","19"
"2412 Cesar Chavez St.","2412 Cesar Chavez St
,  ","UST - ESA I","2006-2007","Completed","Completed","0.17","28"
"1189 Springdale Rd",,"UST - ESA I","2006-2007","Completed","Pending TCEQ tank removal assistance","0.25","31"
"Newby Towing",,"UST - ESA II","2007-2008","Completed","Pending TCEQ tank removal assistance",,"31"
"1022 E 12th St",,"Limited Subsurface Report",,,,,"34"
"2511 E. Hwy 71",,"UST -LSI","2007-2008","Completed","For Sale","0.9313","36"
"Hwy 71 Station",,"UST Risk Assmnt","2008-2009","Completed","For Sale",,"36"
"Hwy 71 Station",,"Tank Closure","2009-2010","Completed","For Sale",,"36"
"Goodwin Webberville",,"BCRLF- ESA I / BCRLF - ESA II/ Water Monitoring/ EPA-TBA post remediation/ ESA III/ Lead Delineation/ File review and final letter","2007-2008","Completed","Affordable housing in progress","7.705","38"
"6705 N. Lamar",,"ESA I EPA-America Reinvenstment Recovery Act","2009-2010","Completed","Completed ",,"50"
"Commercial",,"ESA II/ LEAD BASE PAINT STUDY EPA-America Reinvenstment Recovery Act","2009-2010","In-Progress","Completed ",,"50"
"Plaza Saltillo / CapMetro RR Tracks",,"Leveraged BSA w TCEQESA I","2010-2011",,"RR track relocation & Mixed-use",,"51"
"Plaza Saltillo / CapMetro RR Tracks",,"Leveraged TBA w EPA R-6 ESA II","2011-2012",,"RR track relocation & Mixed-use",,"51"
"Plaza Saltillo / CapMetro RR Tracks",,"Leveraged BSA w TCEQ Supplemental ESA","2012-2013",,"In-progress","10","51"
"Holly Shores/ Festival Beach Food Forest - Comal & Nash Hernandez St",,"Phase I (EPA and TCEQ each completed a Phase II)","2014",,"food forest","8.25","52"
"Colony Park",,"Phase I","2014",,"sustainable community","207","54"
"8500 Highway 71 West",,"Limited Site Investigation","2014",,"foundation communities affordable housing","10","55"
"Levander Loop Tract",,"Phase I","2014",,"mixed use development","2","56"
"Community gardens - 3701 ½ Adelphi Ln,
842 Springdale Rd., 
5618 Bayton Loop,
Intersection S. 1st and 611 Emerald Wood Dr.,
4200 Brookview Dr.",,"Limited Site investigation NOT GRANT FUNDED","2015",,"Community gardens - done for Office of Sustainability","3.5","57"
"611 Emerald Wood",,"Phase I NOT GRANT FUNDED","2015",,"community garden","1","59"
"1001 Shady Lane",,"Phase I","2015",,"market with restaurants","1.626","60"
"14109 FM 969",,"Phase I","2016",,"Canceled sale - flooded!",,"61"
"1407 -1411 E 4th St",,"Phase I","2016",,"affordable housing","0.5","62"
"4216 S. Congress",,"Phase I ESA, haz; LSI -RLF","2016",,"affordable housing","10","63"
"Scenic Point -Habitat","14 acre piece of property that is subdivided into 67 parcels that comprise the Scenic Point Subdivision located on Johnny Morris Road
north of the Loyola Lane and Johnny Morris Road intersection in Austin, Texas 78724","Phase I, haz","2016",,"affordable housing","14","64"
"Eilers Park",,"Phase I BCRLF","2016",,"park",,"65"
"Onion Creek park",,"Phase I, op. budg; LBP and Asbestos OB","2016",,"park","390","66"
"Salvation Army Tannehill",,"Phase I ESA, haz; LSI -haz","2016",,"affordable housing","7.55","67"
"Pecan Tillery","Seven parcels totaling approximately 5 acres; comprised of the following tracts: 1127 Tillery Street; 1129 Tillery Street; 1129 ½ Tillery Street; 1131 Tillery Street; 1202 Henninger Street; 1204 Henninger Street
,  ","Phase I, op. budg","2016",,"affordable housing","5","68"
