"organization","title","oct_dec_numerator","jan_mar_numerator","apr_jun_numerator","jul_sep_numerator","total_numerator","oct_dec_denominator","jan_mar_denominator","apr_jun_denominator","jul_sep_denominator","total_denominator","total_rate","fiscal_year","fiscal_year_start","fiscal_year_end"
"APH Communicable Disease Unit","CDU - ESG Rapid ReHousing","8","1","3","12","24","12","3","4","16","35","0.6857","FY17","2016-10-01T00:00:00.000","2017-09-30T00:00:00.000"
"Caritas","Best Single Source Plus Homeless","60","47","51","80","238","78","62","73","123","336","0.7083","FY17","2016-10-01T00:00:00.000","2017-09-30T00:00:00.000"
"Casa Marianella","Casa Marianella Shelter Program","43","32","46","57","178","47","38","51","58","194","0.9175","FY17","2016-10-01T00:00:00.000","2017-09-30T00:00:00.000"
"Downtown Austin Community Court","DACC - ESG Rapid ReHousing","7","4","2","2","15","9","5","5","5","24","0.625","FY17","2016-10-01T00:00:00.000","2017-09-30T00:00:00.000"
"Downtown Austin Community Court","Intensive Case Management","10","12","12","11","45","84","13","17","14","118","0.3814","FY17","2016-10-01T00:00:00.000","2017-09-30T00:00:00.000"
"Foundation For the Homeless","Family Rehousing Initiative","6","8","3","6","23","7","9","4","8","28","0.8214","FY17","2016-10-01T00:00:00.000","2017-09-30T00:00:00.000"
"Front Steps","ARCH","13","32","28","32","105","24","56","60","53","193","0.544","FY17","2016-10-01T00:00:00.000","2017-09-30T00:00:00.000"
"Front Steps","Front Steps ESG Rapid ReHousing","8","12","8","1","29","9","13","9","1","32","0.9063","FY17","2016-10-01T00:00:00.000","2017-09-30T00:00:00.000"
"Front Steps","Front Steps HHSP","8","12","12","1","33","9","13","13","1","36","0.9167","FY17","2016-10-01T00:00:00.000","2017-09-30T00:00:00.000"
"Salvation Army","Passages","1","0","6","4","11","1","1","7","5","14","0.7857","FY17","2016-10-01T00:00:00.000","2017-09-30T00:00:00.000"
"Salvation Army","Pathways","71","82","75","81","309","93","117","100","109","419","0.7375","FY17","2016-10-01T00:00:00.000","2017-09-30T00:00:00.000"
"Salvation Army","SA HHSP Pathways","0","0","3","5","8","0","0","3","6","9","0.8889","FY17","2016-10-01T00:00:00.000","2017-09-30T00:00:00.000"
"Salvation Army","Women and Children's Shelter","15","17","16","9","57","19","21","18","10","68","0.8382","FY17","2016-10-01T00:00:00.000","2017-09-30T00:00:00.000"
"The Safe Alliance","SafePlace Victim Services","41","60","74","62","237","42","67","77","63","249","0.9518","FY17","2016-10-01T00:00:00.000","2017-09-30T00:00:00.000"
"APH Communicable Disease Unit","CDU - ESG Rapid ReHousing","9","11","11","13","44","10","12","13","19","54","0.8148","FY18","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"Caritas","Best Single Source Plus Homeless","62","47","63","59","231","79","68","69","72","288","0.8021","FY18","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"Casa Marianella","Casa Marianella Shelter Program","51","43","64","57","215","58","47","70","59","234","0.9188","FY18","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"Downtown Austin Community Court","DACC - ESG Rapid ReHousing","1","4","2","5","12","1","4","2","9","16","0.75","FY18","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"Downtown Austin Community Court","Intensive Case Management","12","10","7","17","46","90","13","18","10","115","0.40","FY18","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"Ending Chronic Homelessness Organization","Homeless Navigator","0","0","31","26","57","0","0","34","29","63","0.9048","FY18","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"Foundation For the Homeless","Family Rehousing Initiative","12","6","9","7","34","12","6","10","7","35","0.9714","FY18","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"Front Steps","ARCH","21","22","18","10","71","42","41","44","20","147","0.483","FY18","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"Front Steps","Front Steps ESG Rapid ReHousing","2","6","5","3","16","3","6","6","5","20","0.80","FY18","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"Front Steps","Front Steps HHSP","0","9","5","1","15","0","10","6","3","19","0.7895","FY18","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"Salvation Army","Passages","0","7","2","7","16","0","8","3","7","18","0.8889","FY18","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"Salvation Army","Pathways","61","77","84","70","292","85","97","115","91","388","0.7526","FY18","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"Salvation Army","SA HHSP Pathways","11","14","17","12","54","17","19","21","16","73","0.7397","FY18","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"Salvation Army","Women and Children's Shelter","0","0","7","7","14","0","0","7","10","17","0.8235","FY18","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"The Safe Alliance","SafePlace Victim Services","55","44","49","22","170","56","45","58","29","188","0.9043","FY18","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"APH Communicable Disease Unit","CDU - ESG Rapid ReHousing","7","12","4","0","23","8","14","3","1","26","0.8846","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Caritas","Best Single Source Plus Homeless","45","67","47","55","214","58","85","66","87","296","0.723","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Casa Marianella","Casa Marianella Rapid Rehousing","18","21","26","29","94","18","21","26","29","94","1.00","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Casa Marianella","Casa Marianella Shelter Program","63","45","59","49","216","66","51","71","60","248","0.871","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Downtown Austin Community Court","DACC - ESG Rapid ReHousing","3","3","3","4","13","5","5","5","4","19","0.6842","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Downtown Austin Community Court","Intensive Case Management","11","11","10","11","43","104","27","33","41","189","0.2275","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Ending Chronic Homelessness Organization","Homeless Navigator","28","6","1","1","36","30","11","2","4","47","0.766","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Family Eldercare","Family Eldercare Rapid Rehousing","9","18","12","7","46","11","21","12","9","53","0.8679","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Foundation For the Homeless","Family Rehousing Initiative","12","12","0","17","41","12","12","4","14","42","0.9762","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Front Steps","ARCH","19","20","16","10","65","27","34","23","23","107","0.6075","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Front Steps","Front Steps ESG Rapid ReHousing","5","10","7","6","28","6","10","6","6","28","1.00","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Front Steps","Front Steps HHSP","0","19","6","5","30","0","20","7","6","33","0.9091","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Salvation Army","Passages","3","3","3","7","16","3","4","3","7","17","0.9412","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Salvation Army","Pathways","80","99","111","80","370","110","125","134","112","481","0.7692","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Salvation Army","SA - HHSP Pathways","0","4","17","5","26","0","4","20","5","29","0.8966","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Salvation Army","Women and Children's Shelter","20","24","19","24","87","28","29","24","30","111","0.7838","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"The Safe Alliance","SafePlace Victim Services","57","121","65","62","305","58","123","66","65","312","0.9776","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Youth and Family Services","LifeWorks-Housing CIC","19","17","16","24","76","33","27","20","28","108","0.7037","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Youth and Family Services","LifeWorks-Rapid Rehousing","36","25","19","3","83","36","27","22","7","92","0.9022","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Austin Travis County Mental Health & Mental Retardation Ctr","Rapid Recovery - Shelter to Housing","0","0","0","4","4","0","0","0","4","4","1.00","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Caritas of Austin","Best Single Source Plus Collaborative","39","43","75","61","218","47","67","84","75","273","0.7985","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Casa Marianella","Casa Marianella Shelter","62","45","47","23","177","73","52","51","24","200","0.885","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Casa Marianella","Open Doors Rapid Rehousing","23","26","28","14","91","23","26","28","14","91","1.00","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Communicable Disease Unit","ESG Rapid Rehousing","15","3","1","0","19","17","8","4","0","29","0.6552","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Downtown Austin Community Court","ESG Rapid Rehousing DACC","0","4","4","4","12","0","7","5","5","17","0.7059","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Downtown Austin Community Court","Intensive Case Management","7","9","17","27","60","127","12","23","28","190","0.3158","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Ending Community Homelessness Coalition, Inc.","Homeless Navigation","2","2","6","7","17","3","9","8","10","30","0.5667","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Family Eldercare, Inc.","Rapid Rehousing Older Adults","13","13","8","7","41","13","15","9","7","44","0.9318","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Foundation for the Homeless, Inc.","Family Rehousing Initiative","13","2","1","4","20","13","3","3","4","23","0.8696","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Front Steps, Inc.","ARCH","30","12","15","9","66","38","33","22","36","129","0.5116","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Front Steps, Inc.","ESG Rapid Rehousing Front Steps","5","1","9","2","17","8","8","3","3","22","0.7727","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Salvation Army, A Georgia Corporation (The)","Austin Shelter for Women and Children","16","17","24","13","70","23","25","34","26","108","0.6481","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Salvation Army, A Georgia Corporation (The)","HHSP - Salvation Army","0","0","1","16","17","0","0","1","32","33","0.5152","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Salvation Army, A Georgia Corporation (The)","Passages Child Care Voucher","4","2","4","4","14","4","2","4","5","15","0.9333","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Salvation Army, A Georgia Corporation (The)","Pathways and Partnerships: Emergency Shelter","72","69","17","45","203","102","84","98","54","338","0.6006","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Salvation Army, A Georgia Corporation (The)","Rathgeber Center","0","0","12","15","27","0","0","15","19","34","0.7941","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"The SAFE Alliance","Victim Services","52","63","58","67","240","53","64","67","67","251","0.9562","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Youth and Family Alliance","HHSP Homeless Youth Set-Aside","0","12","0","32","44","0","15","0","38","53","0.8302","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Youth and Family Alliance","Housing - CIC","25","17","16","10","68","27","19","19","12","77","0.8831","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Youth and Family Alliance","Youth Rapid Rehousing Collaborative","90","8","17","26","141","90","9","18","28","145","0.9724","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Youth and Family Alliance","EHF","0","0","0","11","11","0","0","0","14","14","0.7857","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Front Steps, Inc.","HHSP","0","23","-9","2","16","0","23","-9","2","16","1.00","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Austin Travis County Mental Health & Mental Retardation Ctr","Rapid Recovery - Shelter to Housing","4","1","3","1","9","5","2","4","8","19","0.4737","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
"Caritas of Austin","Best Single Source Plus Collaborative","59","47","60","40","206","75","74","73","69","291","0.7079","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
"Casa Marianella","Casa Marianella Shelter","27","30","40",,"97","33","33","44",,"110","0.8818","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
"Casa Marianella","Open Doors Rapid Rehousing","11","19","44","20","94","11","19","44","20","94","1.00","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
"Communicable Disease Unit","ESG Rapid Rehousing","2","2","5","2","11","3","2","8","2","15","0.7333","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
"Communicable Disease Unit","ESG-CV Rapid Rehousing CDU","1","3","6","2","12","1","3","7","6","17","0.7059","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
"Downtown Austin Community Court","ESG Rapid Rehousing DACC","4","1","2",,"7","12","1","4",,"17","0.4118","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
"Downtown Austin Community Court","ESG-CV Rapid Rehousing DACC","0","6","16","10","32","0","7","26","10","43","0.7442","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
"Downtown Austin Community Court","Intensive Case Management","24","11","8","5","48","74","18","12","19","123","0.3902","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
"Ending Community Homelessness Coalition, Inc.","Homeless Navigation","4","5","0","43","52","4","5","0","69","78","0.6667","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
"Family Eldercare, Inc.","Rapid Rehousing Older Adults","12","14","17","24","67","14","17","17","26","74","0.9054","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
"Foundation for the Homeless, Inc.","Family Rehousing Initiative","8","10","3","7","28","9","12","4","8","33","0.8485","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
"Front Steps, Inc.","ARCH","25","7","27","8","67","32","9","89","8","138","0.4855","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
"Front Steps, Inc.","ESG Rapid Rehousing Front Steps","3","6","5","2","16","3","6","5","2","16","1.00","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
