"recreation_centers","zip_code","phone_number","website","class_schedule","session","location_1"
"Dove Springs Recreation Center","78744",,"http://www.austintexas.gov/DoveSprings","Tuesday and Thursday","Session 1:  Oct. 23- Nov. 30 (Sculpture); Session 2: Dec. 4- Jan. 19 (Culinary); Session 3: Jan.23-Feb.23 (Painting); Session 4: Feb 26-April 5 (Photo/Film)","5801 Ainez Dr.
Austin,  
(30.187717, -97.739513)"
"Montopolis Recreation Center","78741",,"http://www.austintexas.gov/department/montopolis-recreation-center","Tuesday and Thursday","Session 1:  Oct. 23- Nov. 30 (Painting); Session 2: Dec. 4- Jan. 19 (Photo/Film); Session 3: Jan.23-Feb.23 (Sculpture); Session 4: Feb 26-April 5 (Culinary)","1200 Montopolis Dr.
Austin,  
(30.231914, -97.699009)"
"Parque Zaragoza Recreation Center","78702",,"http://www.austintexas.gov/department/parque-zaragoza-recreation-center","Tuesday and Thursday","Session 1:  Oct. 23- Nov. 30 (Painting); Session 2: Dec. 4- Jan. 19 (Photo/Film); Session 3: Jan.23-Feb.23 (Sculpture); Session 4: Feb 26-April 5 (Culinary)","2608 Gonzales St.
Austin,  
(30.261364, -97.712134)"
"Turner-Roberts Recreation Center","78724",,"http://www.austintexas.gov/department/turner-roberts-recreation-center","Monday and Wednesday","Session 1:  Oct. 23- Nov. 30 (Photo/Film); Session 2: Dec. 4- Jan. 19 (Sculpture); Session 3: Jan.23-Feb.23 (Culinary); Session 4: Feb 26-April 5 (Painting)","7201 Colony Loop Dr.
Austin,  
(30.302601, -97.637029)"
"South Austin Recreation Center","78704",,"http://www.austintexas.gov/department/south-austin-recreation-center","Monday and Wednesday","Session 1:  Oct. 23- Nov. 30 (Culinary); Session 2: Dec. 4- Jan. 19 (Painting); Session 3: Jan.23-Feb.23 (Photo/Film); Session 4: Feb 26-April 5 (Sculpture)","1100 Cumberland Rd.
Austin,  
(30.241006, -97.768842)"
"Oswaldo A. B. Cantu/Pan American Recreation Center","78702",,"http://www.austintexas.gov/department/oswaldo-ab-cantupan-american-recreation-center","Tuesday and Thursday","Session 1:  Oct. 23- Nov. 30 (Painting); Session 2: Dec. 4- Jan. 19 (Photo/Film); Session 3: Jan.23-Feb.23 (Sculpture); Session 4: Feb 26-April 5 (Culinary)","2100 E. 3rd St.
Austin,  
(30.257841, -97.72081)"
"Hancock Recreation Center","78751",,"http://www.austintexas.gov/department/hancock-recreation-center","Tuesday and Thursday","Session 1:  Oct. 23- Nov. 30 (Photo/Film); Session 2: Dec. 4- Jan. 19 (Sculpture); Session 3: Jan.23-Feb.23 (Culinary); Session 4: Feb 26-April 5 (Painting)","811 E. 41st St.
Austin,  
(30.300477, -97.723959)"
"Gustavo ""Gus"" L. Garcia Recreation Center","78753",,"http://www.austintexas.gov/department/gus-garcia-recreation-center","Tuesday and Thursday","Session 1:  Oct. 23- Nov. 30 (Culinary); Session 2: Dec. 4- Jan. 19 (Painting); Session 3: Jan.23-Feb.23 (Photo/Film); Session 4: Feb 26-April 5 (Sculpture)","1201 E. Rundberg Ln.
Austin,  
(30.354041, -97.681518)"
"Dittmar Recreation Center","78745",,"http://www.austintexas.gov/Dittmar","Monday and Wednesday","Session 1:  Oct. 23- Nov. 30 (Sculpture); Session 2: Dec. 4- Jan. 19 (Culinary); Session 3: Jan.23-Feb.23 (Painting); Session 4: Feb 26-April 5 (Photo/Film)","1009 W. Dittmar Rd.
Austin,  
(30.185674, -97.801794)"
"Givens Recreation Center","78721",,"http://www.austintexas.gov/department/givens-recreation-center","Monday and Wednesday","Session 1:  Oct. 23- Nov. 30 (Painting); Session 2: Dec. 4- Jan. 19 (Photo/Film); Session 3: Jan.23-Feb.23 (Sculpture); Session 4: Feb 26-April 5 (Culinary)","3811 E. 12th St.
Austin,  
(30.278388, -97.690662)"
