"rin","primary_key","date_occurred","time_occurred","location","area_command","nature_of_contact","reason_desc","r2r_level","master_subject_id","subject_sex","subject_race","subject_ethnicity","subject_conduct_desc","subject_resistance","weapon_used_1","weapon_used_2","weapon_used_3","weapon_used_4","weapon_used_5","number_shots","effect_on_officer","officer_organization_desc","officer_commission_date","officer_yrs_of_service","x_coordinate","y_coordinate","council_district","census_tract","zip","county","county_desc"
"7502060","20191101891","2019-04-20T00:00:00.000",,"3501 E 7TH ST","CH","4-DISPATCHED CALL [non MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","3","459008394: 20191101891","F","W","N","SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","PASSIVE RESISTANCE","CED - DRIVE STUN-ENTER # CYCLES (use #shots field)",,,,,"2","NO COMPLAINT OF INJURY/PAIN","CHARLIE 800 REG III PATROL","2015-03-20T00:00:00.000","4","3126918","10066963","3","-","78702","1","TRAVIS COUNTY"
"7515242","20191360125","2019-05-16T00:00:00.000",,"1500 S LAMAR BLVD","DA","2-WARRANT SERVICE [non-MV Stop]","IN CUSTODY, MAINTAINING CONTROL","3","459465084: 20191360125","M","B","N","SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","PASSIVE RESISTANCE; DEFENSIVE RESISTANCE; PREPARATORY RESISTANCE","CED - DRIVE STUN-ENTER # CYCLES (use #shots field)",,,,,"1","NO COMPLAINT OF INJURY/PAIN","ADAM 300 REG II PATROL","2016-07-08T00:00:00.000","3","3107587","10064955","5","-","78704","1","TRAVIS COUNTY"
"7519794","20191460165","2019-05-26T00:00:00.000","0122","E 6TH ST / SAN JACINTO BLVD","GE",,"NECESSARY TO DEFEND ANOTHER","3","1215378: 20191460165",,,,,"AGGRESSIVE RESISTANCE","CHEMICAL AGENT - O C SPRAY",,,,,,"NO COMPLAINT OF INJURY/PAIN","GEORGE 400 REG I EVENING","2015-10-30T00:00:00.000","4","3115084","10070527","9","-","78701","1","TRAVIS COUNTY"
"7522110","20191501592","2019-05-30T00:00:00.000","1822","1030 NORWOOD PARK BLVD","ID",,"NECESSARY TO EFFECT ARREST / DETENTION","4","459084165: 20191501592","M","B","N",,"DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","ACADEMY CADET TRAINING REG II","2019-05-10T00:00:00.000","0","3129996","10096983","4","-","78753","1","TRAVIS COUNTY"
"7536728","20191730043","2019-06-22T00:00:00.000","0030","710 W 7TH ST","GE",,"NECESSARY TO EFFECT ARREST / DETENTION","4","459820967: 20191730043","M","W","N","SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","GEORGE 500 REG I EVENING","2014-12-12T00:00:00.000","5","3112081","10071853","9","11.00","78701","1","TRAVIS COUNTY"
"7540296","20191841762","2019-07-03T00:00:00.000","1951","6809 ATHLETIC DR","ID","4-DISPATCHED CALL [non MV Stop]","IN CUSTODY, MAINTAINING CONTROL","3","290457032: 20191841762","M","W","H","SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","ACADEMY CADET TRAINING REG II","2019-05-10T00:00:00.000","0","3130637","10090815","1","18.11","78752","1","TRAVIS COUNTY"
"7541415","20191880225","2019-07-07T00:00:00.000",,"302 E 6TH ST","GE",,,"4",,,,,"SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,,"PUBLIC INFORMATION OFFICE","1998-10-23T00:00:00.000","21","3115180","10070609","9","11","78701","1","TRAVIS COUNTY"
"7541415","20191880225","2019-07-07T00:00:00.000",,"302 E 6TH ST","GE",,"OTHER (DOCUMENT IN SUPPLEMENT)","3","1220937: 20191880225",,,,"SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","PASSIVE RESISTANCE; DEFENSIVE RESISTANCE; PREPARATORY RESISTANCE","CHEMICAL AGENT - O C SPRAY",,,,,,,"GEORGE 600 REG I EVENING","2008-06-20T00:00:00.000","11","3115180","10070609","9","11","78701","1","TRAVIS COUNTY"
"7550506","20192050065","2019-07-24T00:00:00.000",,"S MOPAC EXPY SVRD SB / BEE CAVES RD","DA","1-TRAFFIC STOP [Motor Vehicle Stop]","NECESSARY TO EFFECT ARREST / DETENTION","4","435093884: 20192050065","M","W","N","SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","PREPARATORY RESISTANCE",,,,,,,,"DWI TEAM 1 REG III HWY ENFORCEMENT","2015-03-20T00:00:00.000","4","3101694","10069796","8","-","78746","1","TRAVIS COUNTY"
"7564365","20192322063","2019-08-20T00:00:00.000","0016","10815 LAMBERT CIR","ED","4-DISPATCHED CALL [non MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","4","459739608: 20192322063","F","W","N","EDP/MENTALLY UNSTABLE","DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","EDWARD 300 REG II PATROL","2014-03-21T00:00:00.000","5","3126628","10112832","4","18.21","78758","1","TRAVIS COUNTY"
