"pool_name","status","open_date","weekday","weekend","closure_days","pool_type","phone","location_1","website"
"Baily Splashpad","Open","2022-05-25T00:00:00.000","9:00AM-8:00PM","9:00AM-8:00PM",,"Splash Pad","512-974-9331","1201 W 33rd St
Austin, TX 
(30.302605251000045, -97.74689354299994)","Bailey Splash Pad (http://www.austintexas.gov/department/bailey-splash-pad)"
"Rosewood Splashpad","Open","2022-05-25T00:00:00.000","9:00AM-8:00PM","9:00AM-8:00PM",,"Splash Pad","512-974-9331","2300 Rosewood Ave
Austin, TX 
(30.271339, -97.713836)","Rosewood Splash Pad (http://www.austintexas.gov/department/rosewood-splash-pad)"
"Balcones","Closed",,"Closed","Closed",,"Neighborhood","512-974-9331","12017 Amherst Dr
Austin, TX 
(30.41340406100005, -97.72085543099996)","http://www.austintexas.gov/department/balcones-pool"
"Govalle","Closed",,"Closed","Closed",,"Neighborhood","512-974-9331","5200 Bolm Rd
Austin, TX 
(30.258835826000052, -97.69156788399994)","Govalle Pool (http://www.austintexas.gov/department/gillis-pool)"
"Westenfield","Closed",,"Closed","Closed",,"Neighborhood","512-974-9331","2000 Enfield Rd
Austin, TX 
(30.286483287000067, -97.76496863899996)","Westenfield website (http://www.austintexas.gov/department/westenfield-pool)"
"Metz Splashpad","Closed","2022-05-25T00:00:00.000","9:00AM-8:00PM","9:00AM-8:00PM",,"Splash Pad","512-974-9331","2407 Canterbury St
Austin, TX 
(30.252683793000074, -97.71813028399998)","Metz Splash Pad (http://www.austintexas.gov/department/metz-splash-pad)"
"Montopolis","Closed",,"Closed","Closed",,"Neighborhood","512-974-9331","1200 Montopolis Dr
Austin, TX 
(30.231947330000025, -97.69905656299994)","Montopolis Pool (http://www.austintexas.gov/department/montopolis-pool)"
"Liz Carpenter Splashpad","Open",,"9:00AM-10:00PM","9:00AM-10:00PM",,"Splash Pad","512-974-9331","200 Dawson Rd
Austin, TX 
(30.260196671000074, -97.75523145399995)","http://austintexas.gov/department/liz-carpenter-fountain"
"Pease Splashpad","Operated by Pease Park Conservancy",,,,,"Splash Pad","512-974-9331","1100 Kingsbury St
Austin, TX 
(30.28291173100007, -97.75437819199999)","Pease Splash Pad (http://www.austintexas.gov/department/pease-splash-pad)"
"Bartholomew Splashpad","Open","2022-05-25T00:00:00.000","9:00AM-8:00PM","9:00AM-8:00PM",,"Splash Pad","512-974-9331","5201 Berkman Dr
Austin, TX 
(30.305630359000077, -97.69783935199996)","Bartholomew Splash Pad (http://www.austintexas.gov/department/bartholomew-splash-pad)"
"Brentwood","Closed",,"Closed","Closed",,"Neighborhood","512-974-9331","6710 Arroyo
Seco Austin, TX 
(30.340441576000046, -97.73037097399998)","Brentwood Pool (http://www.austintexas.gov/department/brentwood-pool)"
"Metz","Closed",,"Closed","Closed",,"Neighborhood","512-974-9331","2309 Canterbury St
Austin, TX 
(30.252683793000074, -97.71813028399998)","Metz Pool (http://www.austintexas.gov/department/metz-pool)"
"Springwoods","Open",,"3:00PM-8:00PM","12:00PM-7:00PM","N/A","Regional","512-258-8082","13320 Lyndhurst St
Austin, TX 78729
(30.466694790000076, -97.78281477599995)","http://austintexas.gov/department/springwoods-pool"
"Mabel Davis","Open",,,"12:00PM-7:00PM",,"Regional","512-441-5247","3427 Parker Lane
Austin, TX 
(30.22025858300003, -97.74271075999997)","Mabel Davis (http://www.austintexas.gov/department/mabel-davis-pool)"
"Reed","Closed",,"Closed","Closed",,"Neighborhood","512-974-9331","2614 Pecos St
Austin, TX 
(30.303090361000045, -97.77087252699994)","Reed Pool (http://www.austintexas.gov/department/reed-pool)"
"Patterson","Closed",,"Closed","Closed",,"Neighborhood","512-974-9331","4200 Brookview Dr
Austin, TX 
(30.296592644000043, -97.71400165799997)","Patterson Pool (http://www.austintexas.gov/department/patterson-pool)"
"Northwest","Open",,"Closed","12:00PM-7:00PM",,"Regional","512-453-0194","7000 Ardath St
Austin, TX 
(30.348728787000027, -97.73985425299998)","Northwest Pool (http://www.austintexas.gov/department/northwest-pool)"
"Shipe","Closed",,"Closed","Closed",,"Neighborhood","512-974-9331","4400 Ave
G Austin, TX 
(30.306847952000055, -97.72711577799998)","Shipe Pool (http://www.austintexas.gov/department/shipe-pool)"
"Parque Zaragoza","Closed",,"Closed","Closed",,"Neighborhood","512-974-9331","2611 Webberville Rd
Austin, TX 
(30.262200781000047, -97.71307661199995)","Parque Zaragoza Pool (http://www.austintexas.gov/department/parque-zaragoza-pool)"
"Deep Eddy","Open",,"8:00AM-8:00PM","8:00AM-8:00PM","First Tuesday of the Month","Regional","512-472-8546","401 Deep Eddy Ave
Austin, TX 
(30.277590365000037, -97.77288902099997)","http://www.austintexas.gov/department/deep-eddy-pool"
"Garrison","Open",,"Closed","12:00PM-7:00PM",,"Regional","512-442-4048","6001 Menchaca Rd
Austin, TX 
(30.212930071000073, -97.80184931899998)","http://www.austintexas.gov/department/garrison-pool"
"Dick Nichols","Closed",,"Closed","Closed",,"Community","512-974-9331","8011 Beckett Rd
Austin, TX 
(30.21486475200004, -97.86331548799996)","Dick Nichols Pool (http://www.austintexas.gov/department/dick-nichols-pool)"
"Dottie Jordan","Closed",,"Closed","Closed",,"Neighborhood","512-974-9331","2803 Loyola Ln
Austin, TX 
(30.314319348000026, -97.67341137899996)","Dottie Jordan Pool (http://www.austintexas.gov/department/dottie-jordan-pool)"
"Gillis","Closed",,"Closed","Closed",,"Neighborhood","512-974-9331","2410 Durwood Ave
Austin, TX 
(30.239795595000032, -97.75878452399996)","Gillis Pool (http://www.austintexas.gov/department/gillis-pool)"
"Eastwoods Splashpad","Open","2022-05-25T00:00:00.000","9:00AM-8:00PM","9:00AM-8:00PM",,"Splash Pad","512-974-9331","3001 Harris Park Blvd
Austin, TX 
(30.291143504000047, -97.73212589899998)","Eastwoods Splash Pad (http://www.austintexas.gov/department/eastwoods-splash-pad)"
"Chestnut Splashpad","Open","2022-05-25T00:00:00.000","9:00AM-8:00PM","9:00AM-8:00PM",,"Splash Pad","512-974-9331","2205 E 16th St
Austin, TX 
(30.27750823100007, -97.73795600299997)","Chestnut Splash Pad (http://www.austintexas.gov/department/bailey-splash-pad)"
"Murchison","Closed",,"Closed","Closed",,"Neighborhood","512-974-9331","7022 Hart Ln
Austin, TX 
(30.35336556900006, -97.75870788799995)","Murchison Pool (http://www.austintexas.gov/department/murchison-pool)"
