"organization","title","oct_dec_numerator","jan_mar_numerator","apr_jun_numerator","jul_sep_numerator","total_numerator","oct_dec_denominator","jan_mar_denominator","apr_jun_denominator","jul_sep_denominator","total_denominator","total_rate","fiscal_year","fiscal_year_start","fiscal_year_end"
"Austin Latino/a Lesbian & Gay Organization","LGTBQ People of Color Sexual Health and Wellness","8","20","11","14","53","8","20","11","14","53","100","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
"Austin Revitalization Authority","AOCSC African American Women Healthy Love Project","25","28","0","24","77","25","28","0","24","77","100","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
"Catholic Charities of Central Texas","Immigration Legal Services and Counseling","63","66","67","122","318","71","74","74","131","350","90.86","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
"Family Eldercare","Living Well! Partnership","0","205","21","147","373","0","305","42","239","586","63.65","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
"Meals on Wheels and More, Inc.","Health Equity - MOWAM","145","81","89","46","361","221","114","139","46","520","69.42","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
"Northwest Austin Universal Health Clinic","AAHI","0","0","0","0","0","0","0","1","0","1","0","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
"Sickle Cell Texas Marc Thomas Foundation","Health Equity-SC","137","137","53","24","351","148","148","64","32","392","89.54","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
"The University of Texas at Austin","AAAHCT Health Program","19","17","21","14","71","23","19","21","15","78","91.03","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
"The University of Texas at Austin","Mama Sana/Vibrant Woman Maternal Equity Program","8","12","5","15","40","8","18","6","15","47","85.11","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
"Asian American Resource Center","AACHI","0","0","0","63","63","0","0","0","75","75","84","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
"Out Youth","LGBTQIA+ Mental Health","42","30","7","21","100","53","31","9","22","115","86.96","FY21","2020-10-01T00:00:00.000","2021-09-30T00:00:00.000"
"Austin Latino/a Lesbian & Gay Organization","LGTBQ People of Color Sexual Health and Wellness","22","4","0","5","31","22","4","0","5","31","100","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Austin Revitalization Authority","AOCSC African American Women Healthy Love Project","26","22","24","22","94","26","22","24","22","94","100","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Catholic Charities of Central Texas","Immigration Legal Services and Counseling","84","83","35","15","217","110","119","57","21","307","70.68","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Family Eldercare","Living Well! Partnership","245","55","54","110","464","278","68","57","115","518","89.58","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Meals on Wheels and More, Inc.","Health Equity - MOWAM","37","206","362","293","898","171","288","492","435","1386","64.79","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Northwest Austin Universal Health Clinic","AAHI","6","3","18","0","27","14","5","5","0","24","112.5","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Sickle Cell Texas Marc Thomas Foundation","Health Equity-SC","52","52","87","50","241","54","52","89","51","246","97.97","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"The University of Texas at Austin","AAAHCT Health Program","18","18","21","17","74","19","20","22","19","80","92.5","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"The University of Texas at Austin","Mama Sana/Vibrant Woman Maternal Equity Program","13","23","10","8","54","15","24","11","8","58","93.1","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Asian American Resource Center","AACHI","0","0","0","49","49","0","0","0","56","56","87.5","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Out Youth","LGBTQIA+ Mental Health","0","0","13","14","27","0","0","14","14","28","96.43","FY20","2019-10-01T00:00:00.000","2020-09-30T00:00:00.000"
"Asian American Resource Center","Community Health Navigators","0","0","0","131","131","0","0","0","149","149","87.92","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Austin Latino/a Lesbian & Gay Organization","LGBTQ People of Color Sexual Health and Wellness","26","4","29","21","80","29","4","30","22","85","94.12","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Austin Revitalization Authority","AOCSC African American Women Healthy Love Project","18","34","22","28","102","18","34","22","28","102","100","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Catholic Charities of Central Texas","Immigration Legal Services and Counseling","155","154","88","104","501","165","171","123","137","596","84.06","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Family Eldercare","Living Well! Partnership","61","0","270","47","378","66","0","371","47","484","78.1","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Meals on Wheels and More, Inc.","Health Equity - MOWAM","32","31","349","312","724","40","37","487","419","983","73.65","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Sickle Cell Texas Marc Thomas Foundation","Health Equity-SC","96","16","68","43","223","96","16","88","58","258","86.43","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"The University of Texas at Austin","AAAHCT Health Program","8","14","12","13","47","9","16","13","13","51","92.16","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"The University of Texas at Austin","Mama Sana/Vibrant Woman Maternal Equity Program","19","13","17","18","67","19","15","20","20","74","90.54","FY19","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000"
"Austin Latino/a Lesbian & Gay Organization","LGBTQ People of Color Sexual Health and Wellness","0","56","12","17","85","0","56","13","18","87","97.7","FY18","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"Austin Revitalization Authority","AOCSC African American Women Healthy Love Project","33","17","17","20","87","33","17","17","20","87","100","FY18","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"Catholic Charities of Central Texas","Immigration Legal Services and Counseling","188","162","162","132","644","217","194","181","163","755","85.3","FY18","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"Latino Healthcare Forum","Rundberg Community Health Workers","0","37","43","47","127","0","54","79","61","194","65.46","FY18","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"Latino Healthcare Forum","Rundberg Community Health and Senior Services","0","0","4","0","4","0","0","7","0","7","57.14","FY18","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"Meals on Wheels and More, Inc.","Health Equity - MOWAM","32","28","27","33","120","37","36","34","40","147","81.63","FY18","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"Sickle Cell Texas Marc Thomas Foundation","Health Equity-SC","82","78","18","60","238","86","110","18","60","274","86.86","FY18","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"The University of Texas at Austin","AAAHCT Health Program","15","13","0","16","44","17","14","0","18","49","89.8","FY18","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"The University of Texas at Austin","Mama Sana/Vibrant Woman Maternal Equity Program","16","23","17","20","76","17","29","19","23","88","86.36","FY18","2017-10-01T00:00:00.000","2018-09-30T00:00:00.000"
"Austin Latino/a Lesbian & Gay Organization","LGBTQ People of Color Sexual Health and Wellness","0","35","0","0","35","0","58","0","0","58","60.34","FY17","2016-10-01T00:00:00.000","2017-09-30T00:00:00.000"
"Austin Revitalization Authority","AOCSC African American Women Healthy Love Project","15","35","29","26","105","15","35","29","26","105","100","FY17","2016-10-01T00:00:00.000","2017-09-30T00:00:00.000"
"Catholic Charities of Central Texas","Immigration Legal Services and Counseling","8","4","9","9","30","54","15","15","15","99","30.3","FY17","2016-10-01T00:00:00.000","2017-09-30T00:00:00.000"
"Meals on Wheels and More, Inc.","Health Equity - MOWAM","387","210","0","0","597","590","310","0","0","900","66.33","FY17","2016-10-01T00:00:00.000","2017-09-30T00:00:00.000"
"Sickle Cell Texas Marc Thomas Foundation","Health Equity-SC","122","84","36","36","278","122","100","36","36","294","94.56","FY17","2016-10-01T00:00:00.000","2017-09-30T00:00:00.000"
"The University of Texas at Austin","AAAHCT Health Program","4","6","7","0","17","12","3","12","0","27","62.96","FY17","2016-10-01T00:00:00.000","2017-09-30T00:00:00.000"
"The University of Texas at Austin","Mama Sana/Vibrant Woman Maternal Equity Program","15","15","0","22","52","18","16","0","24","58","89.66","FY17","2016-10-01T00:00:00.000","2017-09-30T00:00:00.000"
