"row_id","fiscal_year","rank","problem","incident_count"
"1","FY2015","1","Traffic Injury Pri 4F","12039"
"2","FY2015","2","Fall Pri 4","7410"
"3","FY2015","3","Altered Mentation Pri 2","6044"
"4","FY2015","4","Sick Pri 5","5720"
"5","FY2015","5","Assault Pri 4","4713"
"6","FY2015","6","Chest Pain Pri 2","4673"
"7","FY2015","7","Respiratory Pri 2","4399"
"8","FY2015","8","Unconscious Pri 1","3631"
"9","FY2015","9","Sick Pri 4","3629"
"10","FY2015","10","Unknown Pri 4","3547"
"11","FY2016","1","Traffic Injury Pri 4F","12910"
"12","FY2016","2","Fall Pri 4","7649"
"13","FY2016","3","Altered Mentation Pri 3","7147"
"14","FY2016","4","Chest Pain Pri 2","6807"
"15","FY2016","5","Respiratory Pri 2","5420"
"16","FY2016","6","Sick Pri 5","5379"
"17","FY2016","7","Assault Pri 4","4841"
"18","FY2016","8","Unknown Pri 3","4323"
"19","FY2016","9","Unconscious Pri 1","3864"
"20","FY2016","10","Sick Pri 4","3567"
"21","FY2017","1","Traffic Injury Pri 4F","11044"
"22","FY2017","2","Fall Pri 4","7757"
"23","FY2017","3","Altered Mentation Pri 3","7085"
"24","FY2017","4","Chest Pain Pri 2","6705"
"25","FY2017","5","Sick Pri 5","5618"
"26","FY2017","6","Respiratory Pri 2","5556"
"27","FY2017","7","Unknown Pri 3","4904"
"28","FY2017","8","Assault Pri 4","4795"
"29","FY2017","9","Unconscious Pri 1","3977"
"30","FY2017","10","Sick Pri 4","3812"
"33","FY2018","3","Altered Mentation Pri 3","7285"
"34","FY2018","4","Chest Pain Pri 2","6556"
"31","FY2018","1","Traffic Injury Pri 4F","7969"
"40","FY2018","10","Sick Pri 4","3508"
"38","FY2018","8","Unknown Pri 3","4293"
"35","FY2018","5","Respiratory Pri 2","5441"
"37","FY2018","7","Assault Pri 4","4414"
"32","FY2018","2","Fall Pri 4","7490"
"36","FY2018","6","Sick Pri 5","5379"
"39","FY2018","9","Unconscious Pri 1","3606"
