"projectid","projectname","projectdescription","category","subcategory","_2018_bond_proposition","status","phase","budget_appropriation","amountcommitted","contact","contactphone","contactemail","councildistricts","projectimage","website","icon","budgetrange","budgetindicator","budgetindicatornarrative","budgettext","scheduleindicator","scheduleindicatornarrative","scheduletext","optionalindicatornarrative","subcategory_1","constructionphasestart","projectstartdate","projectenddate","initiativeicon","availalbe_budget","fy19_appropriation_plan"
"788.002","Yarborough Branch Library Roof Replacement and HVAC Upgrade","Project will provide for the roof replacement and upgrades to the existing HVAC system at the Yarborough Branch Library. <br><a href=mailto:Heidi.Tse@austintexas.gov?subject=Project%20ID%20788.002>Contact us</a> for more information about the project.","Facilities","Libraries","Libraries, Museums and Cultural Arts Facilities","Anticipated","Forecasting","0","0","Heidi Tse",,"Heidi.Tse@austintexas.gov","7","https://i.ibb.co/2YxgNvH/Project-Image.jpg",,,,,,,,,,,,,,,,,
"896.003","Dougherty Arts Center - Co-Developed Facility","This project includes the development of a replacement facility for the existing Dougherty Arts Center, whether new construction or rehabilitation of the existing building. <br><a href=mailto:Kevin.Johnson@austintexas.gov?subject=Project%20ID%20896.003>Contact us</a> for more information about the project.","Facilities","Cultural Arts Facilities and Museums","Libraries, Museums and Cultural Arts Facilities","Active","Preliminary Phase","0","0","Kevin Johnson",,"Kevin.Johnson@austintexas.gov","9","https://i.ibb.co/2YxgNvH/Project-Image.jpg",,,,,,,,,,,,,,,,"3277309","744000000"
"1289.002","Ruiz Branch (Roof Replacement)","Roof Replacement (Built Up Roof) <br><a href=mailto:John.Daniels@austintexas.gov?subject=Project%20ID%201289.002>Contact us</a> for more information about the project.","Facilities","Libraries","Libraries, Museums and Cultural Arts Facilities","Anticipated","Forecasting","0","0","John Daniels",,"John.Daniels@austintexas.gov","3","https://i.ibb.co/2YxgNvH/Project-Image.jpg",,,,,,,,,,,,,,,,,
"1291.004","Spicewood Springs Roof Replacement (Built Up Roof)","Removal and replacement of the existing of roofing system. <br><a href=mailto:John.Daniels@austintexas.gov?subject=Project%20ID%201291.004>Contact us</a> for more information about the project.","Facilities","Libraries","Libraries, Museums and Cultural Arts Facilities","Anticipated","Forecasting","0","0","John Daniels",,"John.Daniels@austintexas.gov","6","https://i.ibb.co/2YxgNvH/Project-Image.jpg",,,,,,,,,,,,,,,,,
"1292.002","Carver Branch Library Roof and Mechanical Replacement","The project calls for the removal and replacement of the existing modified bitumin roofing system.  The work includes removing and reinstalling the existing, rooftop photovoltaic system, upgrading roof drainage and retrofit of rooftop HVAC units. <br><a href=mailto:John.Daniels@austintexas.gov?subject=Project%20ID%201292.002>Contact us</a> for more information about the project.","Facilities","Libraries","Libraries, Museums and Cultural Arts Facilities","Anticipated","Forecasting","0","0","John Daniels",,"John.Daniels@austintexas.gov","1","https://i.ibb.co/2YxgNvH/Project-Image.jpg",,,,,,,,,,,,,,,,,
"5201.007","Mexican American Cultural Center - Zocalo Shade Structures","Installation of Zocalo shade structures, as identified in the facility Master Plan <br><a href=mailto:Steven.Linett@austintexas.gov?subject=Project%20ID%205201.007>Contact us</a> for more information about the project.","Facilities","Cultural Arts Facilities and Museums","Libraries, Museums and Cultural Arts Facilities","Anticipated","Forecasting","0","0","Steven Linett",,"Steven.Linett@austintexas.gov",,"https://i.ibb.co/2YxgNvH/Project-Image.jpg",,,,,,,,,,,,,,,,,
"5217.031","Town Lake Metro Park - Seaholm Intake Facility Partnership","PARD will partner with the Austin Parks Foundation and the Trail Foundation to develop a new process that will result in a programming plan, phasing plan and financing plan for the Seaholm Intake Building. <br><a href=mailto:Kevin.Johnson@austintexas.gov?subject=Project%20ID%205217.031>Contact us</a> for more information about the project.","Facilities","Parks","Parks and Recreation","Active","Design Phase","0","0","Kevin Johnson",,"Kevin.Johnson@austintexas.gov","9","https://i.ibb.co/2YxgNvH/Project-Image.jpg",,,,,,,,,,,,,,,,"375580",
"5217.039","Town Lake Metro Park - Historic Norwood Estate Rehabilitation Phase II","The project will rehabilitate the 1920's era Arts and Craft bungalow and associated grounds and provide new facilities to support the site as an event and history education center. <br><a href=mailto:D'Anne.Williams@austintexas.gov?subject=Project%20ID%205217.039>Contact us</a> for more information about the project.","Facilities","Parks","Parks and Recreation","Anticipated","Forecasting","0","0","D'Anne Williams",,"D'Anne.Williams@austintexas.gov","9","https://i.ibb.co/2YxgNvH/Project-Image.jpg",,,,,,,,,,,,,,,,"997000",
"5261.003","Northern Walnut Creek Hike and Bike Trail Phase 2","This project consists of the design and construction of a new trail on the Walnut Creek Greenbelt from Walnut Creek Metro Park to IH-35. The trail is approximately 1.8 miles in length and will consist of a 10' wide concrete trail with 2' shoulders. <br><a href=mailto:Genest.Landry@austintexas.gov?subject=Project%20ID%205261.003>Contact us</a> for more information about the project.","Mobility Infrastructure","Active Mobility","Parks and Recreation","Anticipated","Forecasting","0","0","Genest Landry",,"Genest.Landry@austintexas.gov","7","https://i.ibb.co/2YxgNvH/Project-Image.jpg",,,,,,,,,,,,,,,,"3840336","78200000"
"5730.008","Colony District Park - General Park Improvements","General park improvements consistent with park master plan to include but not limited to multi-purpose field, baseball field, trails, playscapes and picnic pavilion. <br><a href=mailto:Fred.Fuller@austintexas.gov?subject=Project%20ID%205730.008>Contact us</a> for more information about the project.","Park Amenities",,"Parks and Recreation","Anticipated","Forecasting","0","0","Fred Fuller",,"Fred.Fuller@austintexas.gov","1","https://i.ibb.co/2YxgNvH/Project-Image.jpg",,,,,,,,,,,,,,,,"941584","144000000"
"5730.009","Colony District Park - Pool Development","Development of a new pool in Colony District Park <br><a href=mailto:Steven.Linett@austintexas.gov?subject=Project%20ID%205730.009>Contact us</a> for more information about the project.","Facilities","Parks","Parks and Recreation","Anticipated","Forecasting","0","0","Steven Linett",,"Steven.Linett@austintexas.gov",,"https://i.ibb.co/2YxgNvH/Project-Image.jpg",,,,,,,,,,,,,,,,,
"5754.046","Barton Creek – Oak Acres Creek Flood Risk Reduction Project","Model and map the flood risk along the Gaines Tributary of Barton Creek, assess potential solutions for flooding in the Oak Park and Oak Acres subdivisions, and implement solutions that reduce the risk of flooding in the Oak Acres neighborhood. <br><a href=mailto:Tony.Lopez@austintexas.gov?subject=Project%20ID%205754.046>Contact us</a> for more information about the project.","Water","Stormwater","Flood Mitigation, Open Space, and Water Quality Protection","Active","Design Phase","0","0","Tony Lopez",,"Tony.Lopez@austintexas.gov","8","https://i.ibb.co/2YxgNvH/Project-Image.jpg",,,,,,,,,,,,,,,,"1047962","53750000"
"5754.089","Walnut Creek - McNeil Drive Low Water Crossing Improvements","This project is to improve the flood safety of the McNeil Drive crossing at Walnut Creek Tributary 9. This crossing is one of only two access points for the neighborhood and overtops by 3 feet in the 2-year storm. <br><a href=mailto:Tomas.Rodriguez@austintexas.gov?subject=Project%20ID%205754.089>Contact us</a> for more information about the project.","Water","Stormwater","Flood Mitigation, Open Space, and Water Quality Protection","Anticipated","Forecasting","0","0","Tomas Rodriguez",,"Tomas.Rodriguez@austintexas.gov","7","https://i.ibb.co/2YxgNvH/Project-Image.jpg",,,,,,,,,,,,,,,,"876818","11000000"
