"master_subject_id","subject_sex","apd_race","subject_resistance","subject_effects","council_district","date_occurred","zip","census_tract","location","x_coordinate","y_coordinate","county"
"459642195: 20193652135","F","H","DEFENSIVE RESISTANCE","COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED","7","2019-12-31T00:00:00.000","78727","-","2300 BLOCK CINDY LN","3127429","10126768","1"
"459887652: 20193650958","M","W","AGGRESSIVE RESISTANCE","COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED","9","2019-12-31T00:00:00.000","78701","12","710 W CESAR CHAVEZ ST","3111496","10069981","1"
"459887666: 20193652137","M","W","AGGRESSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","9","2019-12-31T00:00:00.000","78701","11","E 6TH ST / TRINITY ST","3115415","10070416","1"
"459292223: 20193650206","M","H","AGGRESSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","9","2019-12-31T00:00:00.000","78701","7","1300 LAVACA ST","3114254","10073670","1"
"170134580: 20193650884","M","W","DEFENSIVE RESISTANCE","COMPLAINT OF INJURY/PAIN","5","2019-12-31T00:00:00.000","78748","-","8600 KIMONO RIDGE DR","3092418","10039982","1"
"459445967: 20193640574","F","B","DEFENSIVE RESISTANCE","COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED","10","2019-12-30T00:00:00.000","78759","17","8200 NEELY DR","3108312","10110308","1"
"459889397: 20193640222","M","B","DEFENSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","3","2019-12-30T00:00:00.000","78741","23","1603 E OLTORF ST","3115463","10058091","1"
"458909149: 20193640330","M","W","DEFENSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","10","2019-12-30T00:00:00.000","78731","-","7303 WOOD HOLLOW DR","3111103","10102934","1"
"459809469: 20193640125","M","W","AGGRESSIVE RESISTANCE","MINOR INJURY","3","2019-12-30T00:00:00.000","78702","8","2800 LYONS RD","3125478","10069546","1"
"384502364: 20193641118","M","B","AGGRESSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","1","2019-12-30T00:00:00.000","78702","-","1190 AIRPORT BLVD","3127440","10073640","1"
"459621969: 20193641045","M","H","DEFENSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","7","2019-12-30T00:00:00.000","78660","18.40","14201 N IH 35 SVRD NB","3136074","10131163","1"
"459276156: 20193640071","M","H","DEFENSIVE RESISTANCE","COMPLAINT OF INJURY/PAIN","7","2019-12-30T00:00:00.000","78660","18.40","508 E HOWARD LN","3140917","10124604","1"
"459706599: 20193640962","F","W","DEFENSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","3","2019-12-30T00:00:00.000","78741","23.14","2101 WICKERSHAM LN","3121768","10057726","1"
"459866331: 20193630318","M","W","AGGRESSIVE RESISTANCE","COMPLAINT OF INJURY/PAIN","5","2019-12-29T00:00:00.000","78745","-","7017 MANCHACA RD","3094609","10046228","1"
"17445412: 20193631348","M","B","DEFENSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","4","2019-12-29T00:00:00.000","78753","18","8128 N IH 35 SVRD SB","3127901","10098807","1"
"459292223: 20193631218","M","H","DEFENSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","9","2019-12-29T00:00:00.000","78701","11","500 E 7TH ST","3115951","10070759","1"
"17105267: 20193631472","M","W","DEFENSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","6","2019-12-29T00:00:00.000","78729","-","13000 HYMEADOW DR","3098058","10140935","2"
"384053606: 20193630137","F","B","DEFENSIVE RESISTANCE","COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED","9","2019-12-29T00:00:00.000","78701","11","302 E 6TH ST","3115180","10070609","1"
"459866332: 20193630318","F","W","AGGRESSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","5","2019-12-29T00:00:00.000","78745","-","7017 MANCHACA RD","3094609","10046228","1"
"459150066: 20193630604","M","B","DEFENSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","1","2019-12-29T00:00:00.000","78753","18.32","11441 N IH 35 SVRD NB","3135375","10111677","1"
"459230266: 20193630322","M","B","DEFENSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","9","2019-12-29T00:00:00.000","78722","-","2100 MANOR RD","3121377","10076797","1"
"216007193: 20193620309","F","B","DEFENSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","1","2019-12-28T00:00:00.000","78723","-","6600 ED BLUESTEIN BLVD SB","3139606","10084977","1"
"232653061: 20193621248","M","H","DEFENSIVE RESISTANCE","MINOR INJURY","3","2019-12-28T00:00:00.000","78741","23.17","1401 S PLEASANT VALLEY RD","3122310","10060612","1"
"165058928: 20193621205","M","H","DEFENSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","6","2019-12-28T00:00:00.000","78613","203.18","11200 LAKELINE MALL DR","3092523","10143915","2"
"459716426: 20193610565","M","H","DEFENSIVE RESISTANCE","MINOR INJURY","9","2019-12-27T00:00:00.000","78701","12","710 W CESAR CHAVEZ ST","3111496","10069981","1"
"459060800: 20193610113","M","B","AGGRESSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","9","2019-12-27T00:00:00.000","78701","11","400 RIO GRANDE ST","3112006","10070884","1"
"459834494: 20193610185","F","H","AGGRESSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","2","2019-12-27T00:00:00.000","78744","-","2008 NOGALES TRL","3107384","10039407","1"
"459763858: 20193611053","M","B","DEFENSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","7","2019-12-27T00:00:00.000","78757","15","6812 N LAMAR BLVD","3120762","10095851","1"
"167513356: 20193610105","M","H","DEFENSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","7","2019-12-27T00:00:00.000","78759","17.54","11113 RESEARCH BLVD SVRD NB","3112945","10120642","1"
