"month","incident_number","date_of_incident","day_of_week","number_of_victims_under_18","number_of_victims_over_18","number_of_offenders_under","number_of_offenders_over","race_ethnicity_of_offenders","offense_s","offense_location","bias","notes"
"January","2022-5001986","2022-01-13T00:00:00.000","Thursday","0","1","0","1","White/Non-Hispanic","Assault by Contact","Grocery/Supermarket","Anti-Lesbian (Female)",
"January","2022-5004180","2022-01-23T00:00:00.000","Sunday","0","1","0","1","Black or African American/Non-Hispanic","Assault with Injury","Transportation (Air/Bus/Train Terminals)","Anti-Transgender",
"January","2022-230302","2022-01-23T00:00:00.000","Sunday","0","1","0","1","White/Hispanic","Aggravated Assault","Residence/Home","Anti-Transgender",
"January","2022-5003782","2022-01-30T00:00:00.000","Sunday","0","1","0","Unknown","Unknown","Criminal Mischief","Park/Playground","Anti-Black","White supremacy stickers on playground equipment"
"February","2022-5004355","2022-02-11T00:00:00.000","Friday","0","1","0","1","White/Non-Hispanic","Harassment","Government/Public Building","Anti-Jewish","Harassment of city council member"
"March","2022-860143","2022-03-27T00:00:00.000","Sunday","0","2","0","1","White/Non-Hispanic","Assault with Injury","Bar/Night Club","Anti-Gay (Male)",
"April","2022-1020259","2022-04-11T00:00:00.000","Monday","0","1","0","1","Black or African American/Non-Hispanic","Assault by Threat","Bar/Night Club","Anti-Other Race/Ethnicity/Ancestry",
"April","2022-1080623","2022-04-18T00:00:00.000","Monday","0","1","0","1","White/Non-Hispanic","Bomb Threat","Bar/Night Club","Anti-Lesbian/Gay/Bisexual/Transgender (Mixed Group)",
"May","2022-1471643","2022-05-27T00:00:00.000","Friday","0","1","0","1","Black or African American/Non-Hispanic","Assault by Threat","Park/Playground","Anti-Hispanic or Latino",
"June","2022-1560010","2022-06-05T00:00:00.000","Sunday","0","1","0","1","Black or African American/Non-Hispanic","Assault with Injury","Parking/Drop Lot/Garage","Anti-Hispanic or Latino",
"June","2022-1581536","2022-06-08T00:00:00.000","Wednesday","1","0","0","1","White/Non-Hispanic","Assault with Injury","Hwy/Road/Alley/Street/Sidewalk","Anti-Gay (Male)",
"June","2022-1651133","2022-06-14T00:00:00.000","Tuesday","0","1","0","1","Black or African American/Non-Hispanic","Aggravated Assault","Air/Bus/Train Terminal","Anti-Gay (Male)",
"June","2022-1660217","2022-06-15T00:00:00.000","Wednesday","0","1","0","Unknown","Unknown","Criminal Mischief","Hwy/Road/Alley/Street/Sidewalk","Anti-Lesbian/Gay/Bisexual/Transgender (Mixed Group)",
"June","2022-8010889","2022-06-17T00:00:00.000","Friday","0","1","0","Unknown","Unknown","Criminal Mischief","Residence/Home","Anti-Jewish",
"June","2022-1781674","2022-06-27T00:00:00.000","Monday","0","1","0","2","Black or African American/Non-Hispanic","Aggravated Assault","Residence/Home","Anti-Bisexual",
"July","2022-1821448","2022-07-01T00:00:00.000","Friday","0","1","0","1","Black or African American/Non-Hispanic","Assault with Injury","Convenience Store","Anti-White",
"July","2022-1891122","2022-07-08T00:00:00.000","Friday","0","2","0","1","Asian/Non-Hispanic","Aggravated Assault","Residence/Home","Anti-Hispanic or Latino",
"July","2022-1901342","2022-07-09T00:00:00.000","Saturday","1","1","0","1","Black or African American/Non-Hispanic","Aggravated Assault","Park/Playground","Anti-White",
"July","2022-5020674","2022-07-13T00:00:00.000","Wednesday","0","2","0","1","White/Non-Hispanic","Harassment","Commercial/Office Building","Anti-Jewish",
