"department_name","measure_id","measure_name","frequency","fiscal_year","actual_value","amended_value","long_term_goal","data_as_of_date","frequency_of_goal","supports_goal_value","supports_goal","dashboard_indicator_value","dashboard_indicator","legend"
"Animal Services","1838","Number of animals sterilized in the community","Annual","2010","6718","3500",,"2010-09-30T00:00:00.000","Annual","0","No","0","No",
"Animal Services","1838","Number of animals sterilized in the community","Annual","2011","5019","6100",,"2011-09-30T00:00:00.000","Annual","0","No","0","No",
"Animal Services","1838","Number of animals sterilized in the community","Annual","2012","6692","5000",,"2012-09-30T00:00:00.000","Annual","0","No","0","No",
"Animal Services","1838","Number of animals sterilized in the community","Annual","2013","6625","6200",,"2013-09-30T00:00:00.000","Annual","1","Yes","0","No",
"Animal Services","1838","Number of animals sterilized in the community","Annual","2014","7636","7500",,"2014-09-30T00:00:00.000","Annual","1","Yes","0","No",
"Animal Services","1838","Number of animals sterilized in the community","Annual","2015","10182","7500",,"2015-09-30T00:00:00.000","Annual","1","Yes","0","No",
"Animal Services","1850","Number of spay/neuters performed at the Animal Center","Annual","2010","3364","4000",,"2010-09-30T00:00:00.000","Annual","0","No","0","No",
"Animal Services","1850","Number of spay/neuters performed at the Animal Center","Annual","2011","6036","4000",,"2011-09-30T00:00:00.000","Annual","0","No","0","No",
"Animal Services","1850","Number of spay/neuters performed at the Animal Center","Annual","2012","6091","6000",,"2012-09-30T00:00:00.000","Annual","0","No","0","No",
"Animal Services","1850","Number of spay/neuters performed at the Animal Center","Annual","2013","6492","6500",,"2013-09-30T00:00:00.000","Annual","0","No","0","No",
"Animal Services","1850","Number of spay/neuters performed at the Animal Center","Annual","2014","6140","7500",,"2014-09-30T00:00:00.000","Annual","1","Yes","0","No",
"Animal Services","1850","Number of spay/neuters performed at the Animal Center","Annual","2015","6065","5800",,"2015-09-30T00:00:00.000","Annual","1","Yes","0","No",
"Animal Services","8409","Percent of shelter live outcomes","Annual","2011","88","83",,"2011-09-30T00:00:00.000","Annual","0","No","0","No",
"Animal Services","8409","Percent of shelter live outcomes","Annual","2012","90","90",,"2012-09-30T00:00:00.000","Annual","0","No","0","No",
"Animal Services","8409","Percent of shelter live outcomes","Annual","2013","92.58","90",,"2013-09-30T00:00:00.000","Annual","0","No","0","No",
"Animal Services","8409","Percent of shelter live outcomes","Annual","2014","94.1","90",,"2014-09-30T00:00:00.000","Annual","0","No","0","No",
"Animal Services","8409","Percent of shelter live outcomes","Annual","2015","94.12","90",,"2015-09-30T00:00:00.000","Annual","0","No","0","No",
"Animal Services","8411","Percent of sheltered animals returned-to-owner","Annual","2011","17",,,"2011-09-30T00:00:00.000","Annual","0","No","0","No",
"Animal Services","8411","Percent of sheltered animals returned-to-owner","Annual","2012","18",,,"2012-09-30T00:00:00.000","Annual","0","No","0","No",
"Animal Services","8411","Percent of sheltered animals returned-to-owner","Annual","2013","15.8","20",,"2013-09-30T00:00:00.000","Annual","0","No","0","No",
"Animal Services","8411","Percent of sheltered animals returned-to-owner","Annual","2014","16.4","18",,"2014-09-30T00:00:00.000","Annual","0","No","0","No",
"Animal Services","8411","Percent of sheltered animals returned-to-owner","Annual","2015","19.23","15.5",,"2015-09-30T00:00:00.000","Annual","0","No","0","No",
"Animal Services","8415","Shelter intake per capita","Annual","2011","1.67",,,"2011-09-30T00:00:00.000","Annual","0","No","0","No",
"Animal Services","8415","Shelter intake per capita","Annual","2012","1.77",,,"2012-09-30T00:00:00.000","Annual","0","No","0","No",
"Animal Services","8415","Shelter intake per capita","Annual","2013","1.65","2",,"2013-09-30T00:00:00.000","Annual","0","No","0","No",
"Animal Services","8415","Shelter intake per capita","Annual","2014","1.51","2",,"2014-09-30T00:00:00.000","Annual","0","No","0","No",
"Animal Services","8415","Shelter intake per capita","Annual","2015","1.54","2",,"2015-09-30T00:00:00.000","Annual","0","No","0","No",
"Austin Code","7022","Average number of days from when code compliance complaints are first assigned to inspectors until first response","Annual","2010","5.69","2",,"2010-09-30T00:00:00.000","Annual","0","No","0","No",
"Austin Code","7022","Average number of days from when code compliance complaints are first assigned to inspectors until first response","Annual","2011","5.13","2",,"2011-09-30T00:00:00.000","Annual","1","Yes","0","No",
"Austin Code","7022","Average number of days from when code compliance complaints are first assigned to inspectors until first response","Annual","2012","3.13","2",,"2012-09-30T00:00:00.000","Annual","1","Yes","0","No",
"Austin Code","7022","Average number of days from when code compliance complaints are first assigned to inspectors until first response","Annual","2013","3.38","2",,"2013-09-30T00:00:00.000","Annual","1","Yes","0","No",
"Austin Code","7022","Average number of days from when code compliance complaints are first assigned to inspectors until first response","Annual","2014","4.52","2",,"2014-09-30T00:00:00.000","Annual","1","Yes","0","No",
"Austin Code","7022","Average number of days from when code compliance complaints are first assigned to inspectors until first response","Annual","2015","3.11","3.45","2","2015-09-30T00:00:00.000","Annual","1","Yes","0","No",
"Austin Code","6501","Average number of days from when Nuisance Abatement complaints are first reported until non-judicial compliance","Annual","2010","29.4","45",,"2010-09-30T00:00:00.000","Annual","0","No","0","No",
"Austin Code","6501","Average number of days from when Nuisance Abatement complaints are first reported until non-judicial compliance","Annual","2011","19.7","45",,"2011-09-30T00:00:00.000","Annual","0","No","0","No",
"Austin Code","6501","Average number of days from when Nuisance Abatement complaints are first reported until non-judicial compliance","Annual","2012","13.61","45",,"2012-09-30T00:00:00.000","Annual","0","No","0","No",
"Austin Code","6501","Average number of days from when Nuisance Abatement complaints are first reported until non-judicial compliance","Annual","2013","14.34","45",,"2013-09-30T00:00:00.000","Annual","0","No","0","No",
"Austin Code","6501","Average number of days from when Nuisance Abatement complaints are first reported until non-judicial compliance","Annual","2014","15.21","45",,"2014-09-30T00:00:00.000","Annual","0","No","0","No",
"Austin Code","6501","Average number of days from when Nuisance Abatement complaints are first reported until non-judicial compliance","Annual","2015","36.3","45",,"2015-09-30T00:00:00.000","Annual","0","No","0","No",
"Austin Code","7225","Average number of days from when Substandard Structure complaints are first reported until non-judicial compliance","Annual","2011","115.58","60",,"2011-09-30T00:00:00.000","Annual","0","No","0","No",
