"name_of_hauler","type_of_hauler","phone","website"
"1-800-GOT-Junk of Central Texas / Flywheel Austin, Inc","Landfill, Recycle","513-388-6116","http://www.1800gotjunk.com/austin"
"1-800-JunkPro","Landfill","760-730-2874","http://www.junk.pro"
"50K Professional Lawn Services, LLC","Organics","844-505-5296","http://www.50klawn.com"
"ABC Home And Commercial Services-Lawn","Recycle, Organics","512-837-9500","https://www.abchomeandcommercial.com/"
"Abescape Group, LLC","Landfill","915-307-2648","http://www.abescape.com"
"Absolute Demolition","Landfill, Recycle","512-515-0705","http://www.absolutedemolition.com/"
"A&E Trees","Recycle, Organics","512-203-6164","http://www.aetrees.com"
"ALC Demo & Construction","Landfill","512-913-2575",
"Alex's Tree Services","Recycle","254-251-1049","http://www.alexstreeservices.com"
"All American Recycling / Borders Brothers","Recycle","512-243-1183","http://www.allamericanrecycle.com/"
"ATEX Dumpsters","Landfill","512-627-9787","http://www.atexdumpsters.com"
"At Your Disposal","Landfill, Recycle, Organics","512-272-5400","http://www.aydwaste.com/"
"AusTex Dumpsters, LLC","Landfill, Recycle, Organics","512-292-3867","http://www.austexdumpsters.com"
"Austin Beautiful Trees, LLC","Recycle, Organics","512-655-9401","http://www.austinbeautifultrees.com"
"Austin Metal & Iron","Recycle","512-477-4640","http://www.austinmetalandiron.net/"
"Austin Southwest Roofing, Inc","Landfill, Recycle","512-926-3039","http://www.aswroofing.com"
"Austin Wood Recycling","Landfill, Organics","512-259-7430","http://www.austinwoodrecycling.com/"
"AV Irrigation, LLC","Organics","512-385-7339",
"Balcones Resources","Recycle","512-472-3355","http://www.balconesresources.com/"
"Bartlett Tree Experts / Tree Clinic","Organics","512-385-6604","http://www.bartlett.com"
"Bartlett Tree Experts / Tree Clinic (Howard Ln Office)","Organics","512-310-7545","http://www.bartlett.com"
"Break It Down, LLC","Recycle, Organics","512-423-9559","http://breakitdownaustin.com"
"Briones Landscaping","Recycle","512-775-9973",
"Bruce's Recycling","Recycle","512-917-8552",
"Builders And Landscaping Services","Recycle","512-930-9975",
"Capital Disposal, LLC","Landfill","512-229-1969","http://www.capitaldumpsterrental.com"
"Captain Hook Austin - Inc","Landfill, Recycle, Organics","512-719-4172","http://www.captainhookaustin.com/"
"Central Texas Refuse","Landfill, Recycle","512-243-2833","http://centraltexasrefuse.com/"
"Central Waste & Recycling","Landfill, Recycle","512-267-9290","http://www.centralwasteinc.com"
"Certified Arbor Care, Inc","Recycle, Organics","512-671-8733","http://www.certifiedarborcar.net"
"Cherokee Welding, Inc","Landfill, Recycle","512-243-0002",
"CMC Recycling","Recycle","512-442-2384","http://www.cmcrecyclingaustin.com/locations/austinsouth"
"Complete Landscapes, Inc","Recycle/Compest","512-252-0141",
"Cutting Edge Lawn Care, Inc","Organics","512-835-4144","http://www.cuttinglawns.com"
"D.A.R. Construction","Recycle","512-453-4646","http://www.dardemolition.com"
"DE Ramert Associates","Recycle","512-480-8909",
"Duckbox Dumpsters","Landfill","512-529-4872","http://www.duckboxdumpsters.com"
"Dumposaurus","Landfill, Recycling, Organics","512-774-5666","http://www.dumposaurus.com"
"Dumpster Dogs TX, LLC","Landfill","512-962-2586","http://www.dumpsterdogstx.com"
"Easter Seals Central Texas","Landfill, Recycle, Organics","512-440-7819","http://www.easterseals.org/centraltx/"
"Ecosystems Landscape Services / Austin Eco Systems, Inc","Organics","512-977-0052","http://www.austineco.com"
"Empire Roofing Companies, LLC","Landfill, Recycle","512-989-7663","http://www.empireroofing.com"
"Five Star Landscapes, Inc","Recycle","512-259-1558",
"Flores-Shepard, LLC","Recycle, Organics","512-775-6060","http://www.flores-shepard.com"
"Flynn Construction, Inc","Landfill","512-440-7643","http://www.flynnconstruction.com"
"Frontera Services","Organics","512-689-5409",
"Frontier Waste Solutions","Landfill","888-854-2905","http://www.frontierwaste.com"
"Gardner Metal Recycling","Recycle","512-292-1022","http://www.gardnermetals.com/"
"G.I. Haul of ATX, LLC","Landfill, Recycle","512-348-7230","http://www.gihaul.com"
"Goodwill Industries / Austin Goodwill","Recycle","512-637-7100","http://www.goodwillcentraltexas.org/"
"Green Rhino Tree Care","Recycle","512-619-4206","http://www.greenrhinotreecare.com"
"Green Thumb Compost / Green Thumb Complete Waste Solutions","Landfill, Recycle, Organics","512-369-0998","https://www.greenthumbcompost.com/"
