"the_geom","objectid","ancillaryrole","enabled","drainage_id","jtx_jobid","rotation","comments","date_built","year_built","year_source","year_abandoned","created_by","created_date","modified_by","modified_date","checked_by","watershed","map_index","mapsco","place_id","ownership","maintenance","dimen_source","elev_source","location_source","gps_x","gps_y","gps_source","gps_quality","top_elevation","surface_elevation","at_grade","material","sump","curb_op","height","depressed","depression_a","st_length","st_width","width","inlet_loc","depth_to_bottom","manhole","inlet_type","marked","globalid","edit_status","fme_date","status","observation","modeled","collected_by","last_date_visited","measured_by","photolink","gutter_break","gps_pdop","gps_satqual","marked_date","catch_basket","gps_date","gps_time","unit","dem_calculated_sump","maximo_asset_number","maximo_site_id"
"POINT (-97.766563851853 30.451835728106)","4953517","0","1","187342","1451426","127",,"2000-04-27T00:00:00.000Z","2000","APPLANEL",,"ACOLEMAN","2016-07-07T16:10:25.000Z","DWARDEN","2016-07-28T17:21:58.000Z","DWARDEN","LKC","H38","434Q","1159541","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3105274.0263","10137394.5456","DIG08","SUB-M",,"880.44000244","N","CONCRETE","876.57000732","126","5","T","3","121","48","19","GRADE","37","PRESENT","G1","GOOD","c42d6477-d76a-4271-94b0-f9f188417d46","ENTERED","2022-02-08T14:52:54.000Z","ACTIVE","2",,"HEATHER DAVIS",,,"09242008_2_012.jpg","0",,,"2012-01-16T00:00:00.000Z","0",,,,,"1092286","WPD"
"POINT (-97.689813240617 30.279356909973)","4959024","0","1","74868","64612","78","broken lip","1957-12-23T00:00:00.000Z","1957","PLANNOEL",,"DDAVIS","2008-12-30T00:00:00.000Z","SJOHNSON","2010-03-26T00:00:00.000Z","DLEWIS","TAN","L23","586P","3222735","CITY","CITY","PHYS_INSP","SSM","GPS","3130941.2021","10075250.06","DIG07","SUB-M",,"490.38000488","N","CONCRETE","487.22000122","70","7","T","8","60","26","17","GRADE","40","PRESENT","G1","GOOD","f4152db8-a9d4-4274-bd55-540be19f3e88","ENTERED","2022-02-08T14:52:49.000Z","ACTIVE","3","N","RMOELLMER","2008-11-04T00:00:00.000Z",,"06272007_1_056.jpg","0",,,"2013-01-15T00:00:00.000Z","0",,,,,"1075834","WPD"
"POINT (-97.751530122249 30.294213882036)","4951871","0","1","81253","1058130","74",,"1937-04-29T00:00:00.000Z","1937","PLANNOEL",,"JLOEFFLER","2010-04-13T00:00:00.000Z","DWARDEN","2022-02-15T15:25:05.000Z","DDAVIS","SHL","H24","584D","3309451","CITY","CITY","PHYS_INSP","DEM","GPS","3111340.5657","10080196.905","DIG07","SUB-M",,"575.20001221","N","CONCRETE","570.61999512","111","4","T","2","102","40","18","SAG","55","PRESENT","S1","GOOD","c3cf5b55-3975-43bf-87a6-f82e4ad11623","ENTERED","2022-02-16T21:04:02.000Z","ACTIVE","2","N","DLEWIS","2008-10-28T00:00:00.000Z",,"08082007_2_035.jpg","0",,,"2022-01-15T00:00:00.000Z","0",,,,,"1080462","WPD"
"POINT (-97.78365915489 30.444252353482)","4977658","0","1","1951647","2172691","244",,"2012-09-21T00:00:00.000Z","2012","APPLANEL",,"KGALLUSCIO","2020-05-22T10:24:25.000Z","KGALLUSCIO","2020-05-22T12:15:35.000Z",,"LKC","G37","434S","308582","OTHER","OTHER","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","NODATA",,,,"N",,"48","48",,"NODATA",,"NODATA","S4","NODATA","8e8fd738-a96f-480b-bbf4-7d2a131501b9","ENTERED","2022-02-08T14:52:55.000Z","ACTIVE","0",,,,,,,,,,"0",,,,,,
"POINT (-97.819915906074 30.442399678559)","4931226","0","1","185064","1777810","210",,"1998-08-17T00:00:00.000Z","1998","ASBLTEL",,"ACOLEMAN","2016-08-04T09:27:15.000Z","SSTONE","2017-09-06T15:37:30.000Z","DWARDEN","BUL","E37","433X","230538","CITY","CITY","PHYS_INSP","ASBLTEL","GPS","3088545.3156","10133579.83","DIG08","SUB-M",,"911.2800293","N","CONCRETE","903.29998779","362","6","F","0","58","58",,"SAG","71","PRESENT","S4","GOOD","c082c76d-e48a-4909-9ec3-d8f8cb0aaba6","ENTERED","2022-02-08T14:52:54.000Z","ACTIVE","2",,"ISAAC MUNIZ",,,"08202008_1_043.jpg","0",,,"2017-02-15T00:00:00.000Z","0",,,,,"1088243","WPD"
"POINT (-97.719015334194 30.367292229992)","4972529","0","1","76536","698455","79","vertical inlet   l 6  c   6   r  6","1994-06-28T00:00:00.000Z","1994","ASBLTEL",,"GDELANO","2013-08-14T17:27:05.000Z","GDELANO","2013-08-14T17:28:25.000Z","SBURZYNSKI","LWA","K30","525D","200324","OTHER","TXDOT","PHYS_INSP","DEM","GPS","3120974.5323","10107004.506","DIG07","SUB-M",,"750.2800293","N","CONCRETE","745.95001221","120","4","T","4","126",,"16","GRADE","52","NOTPRESENT","G1","NOTMARKED","f4fda9a6-68b4-4a3d-9f84-253cca893be7","ENTERED","2022-02-08T14:52:55.000Z","ACTIVE","2","N","DLEWIS","2008-10-21T00:00:00.000Z",,"07162007_3_047.jpg","0",,,,"0",,,,,"1077100","WPD"
"POINT (-97.829742622975 30.206531040359)","4974632","0","1","843929","2136866","119",,"2012-03-19T00:00:00.000Z","2012","APPLANEL",,"DWARDEN","2014-10-21T14:26:30.000Z","JBALDERAS","2019-11-06T09:11:09.000Z","TBARRINGTON","WMS","E17","643N","383691","OTHER","OTHER","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","NODATA",,,,"N",,"48","48",,"NODATA",,"NODATA","S4","NODATA","50b6339f-8ce6-4c34-8484-11735ce0322c","ENTERED","2022-02-08T14:52:55.000Z","ACTIVE","0",,,,,,,,,,"0",,,,,,
"POINT (-97.738916726201 30.388832155061)","4941398","0","1","76353","551957","232",,"1991-02-22T00:00:00.000Z","1991","APPLANEL",,"GDELANO","2013-03-29T14:24:54.000Z","GDELANO","2013-04-10T11:29:12.000Z","RODAVILA","SHL","J32","495K","198227","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3114517.3671","10114689.223","DIG07","SUB-M","843.09997559","843.01000977","N","CONCRETE","838.95001221","176","5","T","4","180","33","30","GRADE","50","PRESENT","G1R","NOTMARKED","0efaa643-1d25-49e5-a329-8a3c758b1bc8","ENTERED","2022-02-08T14:52:51.000Z","ACTIVE","2","N","RODAVILA","2008-10-29T00:00:00.000Z",,"07032007_3_067.jpg","14",,,,"0",,,,,"1077668","WPD"
"POINT (-97.764642166356 30.29551294174)","4945486","0","1","79575","1815890","286",,,,"NO_SOURCE",,"DDAVIS","2008-02-25T00:00:00.000Z","GDELANO","2018-10-31T12:32:48.000Z","DWARDEN","JOH","H24","584C","336380","CITY","CITY","PHYS_INSP","DEM","GPS","3107193.9934","10080575.657","DIG07","SUB-M",,"600.04998779","N","CONCRETE","596.79998779","60","5","T","3","60","23","18","GRADE","39","COVERED","G1","GOOD","d029a709-c364-42aa-866d-5fcdf2e62343","ENTERED","2022-02-08T14:52:48.000Z","ACTIVE","2","N","DLEWIS","2008-10-28T00:00:00.000Z",,"08022007_2_062.jpg","0",,,"2012-06-15T00:00:00.000Z","0",,,,,"1081235","WPD"
"POINT (-97.762891106371 30.293160396487)","4961139","0","1","81447","2123732","195",,,"1945","SSM",,"DLEWIS","2009-01-29T00:00:00.000Z","JAMARTINEZ","2019-08-27T14:17:17.000Z","DDAVIS","JOH","H24","584C","619185","CITY","CITY","PHYS_INSP","DEM","GPS_AERIAL","3107762.478","10079735.313","DIG07","SUB-M",,"557.02001953","N","CONCRETE","553.27001953","118","6","T","6","118","24","17","GRADE","45","PRESENT","G1","GOOD","344dc339-4440-46c0-9be9-ca64df55bc08","ENTERED","2022-02-08T14:52:48.000Z","ACTIVE","2","N","DLEWIS","2008-10-29T00:00:00.000Z",,"08082007_2_009.jpg","0",,,"2012-10-15T00:00:00.000Z","0",,,,,"1081306","WPD"
