"term","definition","language"
"Activity","An activity can be an event, series, or season of work.","English"
"Americans with Disabilities Act (ADA)","The Americans with Disabilities Act (ADA) is a federal civil rights law that prohibits discrimination against people with disabilities in everyday activities. The ADA guarantees that people with disabilities have the same opportunities as everyone else to enjoy employment opportunities, purchase goods and services, and participate in state and local government programs","English"
"Annual Receipts","This is the “total income” (or “gross income”) plus the “cost of goods sold.” These numbers can normally be found on a business’s IRS tax return forms. Receipts are averaged over a business’s latest three complete fiscal years or (except in the Business Loan and Disaster Loan Programs) five complete fiscal years to determine the average annual receipts. If a business hasn’t been operational for five years, multiply its average weekly revenue by 52 to determine its average annual receipts.  The SBA calculates annual receipts in accordance with 13 CFR 121.104.","English"
"Artist","An artist is someone who uses their imagination and creative process to manifest something original, regardless of the medium, type of practice, purpose, or outcome of that creation.","English"
"Arts and Culture Organization","An organization that either has Federal 501 (c) status or is incorporated within the State of Texas, with a primary mission to produce, present or promote arts and culture.","English"
"Arts Service Organization","An organization that provides services related to the presentation, execution, management, and exhibition of the arts.","English"
"Audience Development","Audience Development is an activity undertaken to meet the needs of existing and potential audiences and helps organizations develop relationships with new audiences. It can include marketing, programming, education, customer care, and distribution.","English"
"Black, Indigenous, People of Color (BIPOC)","BIPOC stands for Black, Indigenous, People of Color.","English"
"Capital Expenditures","Money spent by a business or organization on acquiring or maintaining fixed assets, such as land, buildings, and equipment.","English"
"City","A reference to the City of Austin; otherwise, an inhabited place of greater size, population, or importance than a town or village.","English"
"Cohort","A program model in which a group of participants experience a shared learning and networking experience","English"
"Collaborator","A person or entity who works jointly on an activity or project. Collaboration occurs when individuals or entities work together to produce or create something.","English"
"Commercial","Related to or used in the buying and selling of goods and services","English"
"Community-based Entity","Incorporated group, unincorporated group, or non-profit that is representative of a specific community or a significant segment of a specific community; and is engaged in meeting human, educational, environmental, or public safety needs of that community","English"
"Contract Term","The period during which the agreement is effective, subject to earlier termination in accordance with its terms","English"
"Convention Delegates","Attendees of a convention","English"
"Creative Business","A for-profit entity whose primary mission to produce, present or promote arts and culture such as art studios, music studios, galleries, and similar organizations","English"
"Creative Collaboration","An arts project in which two or more collaborators – individuals, organizations, or groups – share both the creative direction and implementation responsibilities","English"
"Creative Economy","The creative economy consists of economic activity that depends on individuals and organizations using their creativity to drive jobs, revenue, community resources, and cultural engagement. Source: American for the Arts, Economic Activity.","English"
"Cultural Appropriation","The unacknowledged or inappropriate adoption of the customs, practices, ideas, etc. of one people or society by members of another and typically more dominant people or society","English"
"Cultural Arts","The conscious use of skill and creative imagination, especially in the production of aesthetic objects and experiences (music, dance, theater, folk art, literature, performance art, visual art, media, etc.)","English"
"Cultural Equity","Cultural equity embodies the values, policies, and practices that ensure that all people — including but not limited to those who have been historically underrepresented based on race/ethnicity, age, disability, sexual orientation, gender, gender identity, socioeconomic status, geography, citizenship status, or religion—are represented in the development of arts policy; the support of artists; the nurturing of accessible, thriving venues for expression; and the fair distribution of programmatic, financial, and informational resources. Source: Americans for the Arts Cultural Equity Statement","English"
"Cultural Production","A planned and managed event or experience that falls under an arts and culture category","English"
"Cultural Tourism","A type of tourism activity in which the visitor’s essential motivation is to learn, discover, experience and consume the tangible and intangible cultural attractions/products in a tourism destination. These attractions/products relate to a set of distinctive material, intellectual, spiritual and emotional features of a society that encompasses arts and architecture, historical and cultural heritage, culinary heritage, literature, music, creative industries and the living cultures with their lifestyles, value systems, beliefs and traditions.Source: United Nations World Tourism Organization","English"
"Culturally specific Organization","A Culturally Specific Organization serves a particular cultural community and is primarily staffed and led by members of that community. These organizations demonstrate intimate knowledge of lived experience of the community, including but not limited to the impact of structural and individual racism or discrimination on the community; knowledge of specific disparities documented in the community and how that influences the structure of their program or service; ability to describe the community’s cultural practices, health and safety beliefs/practices, positive cultural identity/pride/resilience, immigration dynamics, religious beliefs, etc. and how their services have been adapted to those cultural norms.

A Culturally specific Organization may also be an arts organization whose artistic efforts reflect a stewardship of a deeply rooted cultural heritage as reflected in the customs, traditions, language, history, art, and institutions of the represented group.","English"
"Delinquent Status","An Applicant who has failed to comply with or complete all requirements of another Economic Development Department funding program.","English"
"Diversity","The collective sum of individual differences, including but not limited to age, ethnicity, gender identity and expression, abilities, race, religion, sexual orientation, socioeconomic status, and education","English"
"Economic Disadvantage","Economically disadvantaged individuals are socially disadvantaged individuals whose ability to compete in the free enterprise system has been impaired due to diminished capital and credit opportunities as compared to others in the same or similar line of business who are not socially disadvantaged. Source: Code of Federal Regulations","English"
"Economically Vulnerable","Individuals and organizations at higher risk of financial failure during economic disruption caused by external factors","English"
"Educational Institutions","Public or private schools, colleges, and/or universities","English"
"Emerging Professional Musician","Artists beginning their professional careers not yet established as a ""Professional Musician"" as defined in this section.","English"
"Equity","The quality or process of being fair and impartial; actively remedying power imbalances created by and stemming from systemic injustice, colonialism, and oppression; see also Cultural Equity","English"
"Extraterritorial Jurisdiction (ETJ)","Extraterritorial Jurisdiction, which includes the unincorporated land within 5 miles of Austin’s full purpose city limit not within the city limits or ETJ of another city. Austin’s ETJ currently extends into 4 counties including Travis, Williamson, Hays, and Bastrop.","English"
"Fiscal Sponsor","A nonprofit corporation with 501(c) status who applies for financial support on behalf of another organization or individual in order to enable the latter to receive tax exempt status benefits.","English"
