"folderrsn","parentrsn","issuedate","sub_type","permit_status","reason_for_request","fee_required","heritage_tree","public_tree","type_of_work","removal_of_regulated_tree","encroahment_of_root_zone","prune","tree_species","general_tree_conditions","type_of_application","trunk_diameter","appf_removed","non_appf_removed","replanted_mitigation","latitude","longitude"
"11758637",,"2017-07-21T00:00:00.000","Public","Active","Removal of 2 Ash juniper trees in poor condition at Mary Moore Searight Metro Park","No","No","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Ashe juniper, Ashe juniper","4. Dead, diseased, or imminent hazard","Non-Development Related","29, 32.5","61.5","0","0","30.17354472","-97.80752940"
"11762840",,"2017-08-18T00:00:00.000","Commercial","Active","Remove 3 Bradford pear trees at pool.","No","No","No","Not Construction Related but Impacts Regulated Trees","Yes","No","Yes","Bradford Pear, bradford pear, bradford pear","2. Fair","Non-Development Related","15, 10, 16","0","41","9","30.34922300","-97.75501397"
"11767621",,"2017-08-24T00:00:00.000","Commercial","Active","Commercial demo with impact to CRZ of trees. No proposed removals","Yes","Yes","No","Site Plan Exemption Related","No","Yes","No","Pecan, Pecan, Pecan, Mulberry, Cypress, Hackberry, hackberry","1. Good","Development Related","46, 19, 40, 21,26, 34, 19","0","0","0","30.25161103","-97.70668785"
"11767682",,"2017-08-04T00:00:00.000","Public","Active","Removal of a dead 19 inch Ash Juniper","No","No","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Ashe juniper","4. Dead, diseased, or imminent hazard","Non-Development Related","19","19","0","0","30.28117529","-97.75138175"
"11785276",,"2017-10-11T00:00:00.000","Commercial","Active","The scope of work entails removing a 13","Yes","No","No","Site Plan Exemption Related","Yes","No","Yes","Cherry Laurel","2. Fair","Development Related","13","13","0","6","30.25917851","-97.71484838"
"11785449",,"2017-09-06T00:00:00.000","Public","Active","Removal of 2 elm trees in poor condition or dead in parkland.","No","Yes","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","American Elm, Cedar elm","4. Dead, diseased, or imminent hazard","Non-Development Related","28, 26","54","0","0","30.26776386","-97.76790653"
"11579009",,"2016-08-19T00:00:00.000","Commercial","Approved","tree condition","No","Yes","Yes",,"Yes",,"Yes","Pecan","Dead","Non-Development Related","32","32","0","0","30.27662884","-97.72770987"
"11798771",,"2017-10-13T00:00:00.000","Commercial","Active","Removal of (6) Bradford Pear trees. The trees are located just to the right of the front doors. The trees overhang the sidewalk. The trees are overmature and losing large leaders on a regular basis. They are an imminent danger to pedestrians and bystanders.","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Bradford Pear, Bradford Pear, Bradford Pear, Bradford Pear, Bradford Pear, Bradford Pear","4. Dead, diseased, or imminent hazard","Non-Development Related","18.4, 22.2, 18.7, 19.7, 23.5, 24.8","0","127.3","15","30.44424666","-97.70174343"
"11679311",,"2017-02-27T00:00:00.000","Public","Active","Public Safety","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Cedar Elm","3. Poor","Non-Development Related","22.8""","22.8","0","0","30.28117529","-97.75138175"
"11679190",,"2017-02-27T00:00:00.000","Commercial","Active","major decay, lean, up-rooting, hazardous","No","Yes","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Live Oak","3. Poor","Non-Development Related","25","25","0","0","30.42679960","-97.84366338"
"11681752",,"2017-03-03T00:00:00.000","Commercial","Active","Hazard","No","No","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Bradford Pear","3. Poor","Non-Development Related","23","0","23","1.5","30.22364546","-97.77448061"
"11681757",,"2017-03-03T00:00:00.000","Commercial","Active","hazard","No","No","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Bradford Pear","3. Poor","Non-Development Related","18","0","18","1.5","30.22364546","-97.77448061"
"11681761",,"2017-03-03T00:00:00.000","Commercial","Active","hazard","No","No","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Bradford Pear","3. Poor","Non-Development Related","15","0","15","1.5","30.22364546","-97.77448061"
"11681762",,"2017-03-03T00:00:00.000","Commercial","Active","hazard","No","No","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Bradford Pear","3. Poor","Non-Development Related","18","0","18","1.5","30.22364546","-97.77448061"
"11681787",,"2017-03-21T00:00:00.000","Commercial","Active","tree is growing into building and needs...","No","Yes","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Live Oak","1. Good","Non-Development Related","24","24","0","0","30.25833739","-97.75976247"
"11681936",,"2017-04-07T00:00:00.000","Public","Active","public safety","No","No","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Live Oak","3. Poor","Non-Development Related","23.2","23.2","0","0","30.18601927","-97.91399626"
"11685702",,"2017-03-14T00:00:00.000","Public","Active","Non-Development Public","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","hackberry","4. Dead, diseased, or imminent hazard","Non-Development Related","22","22","0","0","30.35908274","-97.70379675"
"11689614",,"2017-03-17T00:00:00.000","Public","Active","NonDev Public - DB","No","No","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Shortleaf Pine","4. Dead, diseased, or imminent hazard","Non-Development Related","19","0","19","0","30.27454087","-97.74957715"
"11689615",,"2017-03-20T00:00:00.000","Commercial","Active","NonDev Comm - DB","No","Yes","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Pecan","4. Dead, diseased, or imminent hazard","Non-Development Related","28","28","0","0","30.44753364","-97.78898608"
"11689618",,"2017-03-17T00:00:00.000","Commercial","Active","Leaning into other trees / failing roots","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Chinaberry","4. Dead, diseased, or imminent hazard","Non-Development Related","10","0","10","0","30.23401620","-97.78350339"
"11692454",,"2017-03-30T00:00:00.000","Commercial","Active","The tree is not in good condition and safety concern","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Oak","4. Dead, diseased, or imminent hazard","Non-Development Related","12","12","0","0","30.22361985","-97.74310639"
"11695384",,"2017-03-31T00:00:00.000","Public","Active","The removal of a mostly dead Ashe juniper tree.","No","No","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Ashe juniper","4. Dead, diseased, or imminent hazard","Non-Development Related","24","24","0","0","30.27208276","-97.77496989"
"11699733",,"2017-04-27T00:00:00.000","Public","Active","remove a 27 inch Red Oak in the ROW at 5408 Shoal Creek Blvd","No","Yes","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Red Oak","4. Dead, diseased, or imminent hazard","Non-Development Related","27""","27","0","0","30.32933839","-97.74615663"
"11703323",,"2017-04-13T00:00:00.000","Commercial","Active","Tree Removal","Yes","No","No","Site Plan Exemption Related","Yes","No","Yes","hackberry, hackberry, hackberry, hackberry, hackberry, hackberry, hackberry, hackberry, hackberry, hackberry, mesquite, mesquite, mesquite, mesquite, mesquite, mesquite, cedar elm, cedar elm, cedar elm, cedar elm, cedar elm, chinaberry, live oak, live oak","1. Good","Development Related","12, 17, 11, 16, 16, 9, 12, 16, 13, 16, 20, 9, 8, 11, 20, 16, 11, 10, 20, 13.5, 14.5, 20, 11, 16","332","0","207","30.13684913","-97.77456052"
"11710236",,"2017-05-24T00:00:00.000","Commercial","Active","Removal of a protected tree","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Arizona ash","4. Dead, diseased, or imminent hazard","Non-Development Related","33.5","0","33.5","0","30.23207316","-97.76572248"
"11709540",,"2017-05-16T00:00:00.000","Commercial","Active","Removal of severely storm damaged Live Oak at the northwest corner of the Saltgrass Steakhouse building. Crown is severely unbalanced and there is evidence of decay moving into the stem union.","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Live Oak","4. Dead, diseased, or imminent hazard","Non-Development Related","27","27","0","0","30.39764508","-97.74707168"
"11709832",,"2017-04-24T00:00:00.000","Commercial","Active","Removal of storm damaged Pear.Behind the first building on the right after the right entry gate","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Pear","4. Dead, diseased, or imminent hazard","Non-Development Related","13","13","0","0","30.40362785","-97.70098177"
"11720249",,"2017-05-17T00:00:00.000","Commercial","Active","Heart Rot in main Trunk - tree has split","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Hackberry","4. Dead, diseased, or imminent hazard","Non-Development Related","21","21","0","0","30.21268774","-97.80658994"
"11720981",,"2017-05-12T00:00:00.000","Public","Active","Dead Tree","No","Yes","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Post oak","4. Dead, diseased, or imminent hazard","Non-Development Related","26","26","0","13","30.29666457","-97.71023855"
"11727799",,"2017-06-09T00:00:00.000","Commercial","Active","Excavation of 95 feet of trench for sewer line replacement. 55 feet of which will be airspade due to the protected Cedar Elm which measures 9 feet in circumference.","Yes","Yes","No","Utility Repair/Replacement","No","Yes","No","Cedar Elm","1. Good","Non-Development Related","34""","0","0","0","30.37695266","-97.68299272"
"11727620",,"2017-05-24T00:00:00.000","Public","Active","Remove dying Arizona Ash in ROW over Gaston Place Dr at 5906 Thames Dr.","No","No","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Arizona Ash","4. Dead, diseased, or imminent hazard","Non-Development Related","22""","0","22","0","30.31213724","-97.68738344"
"11733964",,"2017-06-13T00:00:00.000","Public","Active","Tree Condition","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Arizona Ash","4. Dead, diseased, or imminent hazard","Non-Development Related","39","0","39","1.5","30.24003983","-97.76800593"
"11733950",,"2017-06-13T00:00:00.000","Public","Active","Tree Condition","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Cottonwood","4. Dead, diseased, or imminent hazard","Non-Development Related","29","29","0","0","30.24080055","-97.77014841"
"11733985",,"2017-06-06T00:00:00.000","Public","Active","Tree Condition","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Arizona Ash","4. Dead, diseased, or imminent hazard","Non-Development Related","32","0","32","0","30.24028248","-97.76776271"
"11734936",,"2017-06-13T00:00:00.000","Commercial","Active","Remove declining Arizona ash.","No","No","No","Not Construction Related but Impacts Regulated Trees","Yes","No","Yes","Arizona ash","4. Dead, diseased, or imminent hazard","Non-Development Related","23""","0","23","0","30.32377526","-97.67587121"
"11734655",,"2017-06-06T00:00:00.000","Public","Active","Remove 22 inch Arizona Ash in ROW at 319 S Congress Ave.","No","No","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Arizona Ash","4. Dead, diseased, or imminent hazard","Non-Development Related","22","0","22","0","30.25780553","-97.74634889"
