"response_id","timestamp","how_likely_would_you_be_to_recommend_working_with_the_innovation_office_to_a_friend_or_colleague","feedback","how_would_you_rate_the_time_you_spent_on_this_project","how_satisfied_are_you_with_the_partnership_during_this_project","how_satisfied_are_you_with_the_final_results_of_this_project","did_you_come_to_the_innovation_office_for_the_presentation","respondent_s_organization_optional","engagement","description_of_project_or_event","link_to_more_information_about_the_project_or_event"
"1","2017-04-19T10:27:54.000","10","Great meeting- I love a good sticky note exercise to see where everyone is at with their projects",,,,,,"April 13 OGP Meeting","All teams meeting of Open Government Partnership commitments (April 13, 2017)","https://opengovpartnership.bloomfire.com"
"2","2017-02-20T17:07:56.000","7","I know that there was a lot to cover, but the meeting ran an hour long.",,,,,"Front Steps","ARCH 02.03.17","Facilitated brainstorm session regarding the future of Front Steps and Austin Resource Center for the Homeless (February 3, 2017)",
"3","2017-05-17T12:23:04.000","10","Hope that the exploration continues and that other departments benefit from this tremendous resource!","9","10","8",,"Texas Campaign for the Environment","ARR End of Project Feedback","Retrospective of Recycling Behaviors project with Austin Resource Recovery (May 2017)","http://projects.austintexas.io/resource-recovery/"
"4","2017-05-17T13:01:12.000","10","The information that was collected through resident interviews was incredibly enlightening and will inform many communications decisions in my office going forward. Our group lacks the resources to collect this type of information, so our messaging decisions and outreach efforts have often had to be based on case studies or best practices from other cities, or our best guess about the challenges facing typical Austinites. The insights gained from this research are just invaluable.","10","10","10",,"Office of Sustainability","ARR End of Project Feedback","Retrospective of Recycling Behaviors project with Austin Resource Recovery (May 2017)","http://projects.austintexas.io/resource-recovery/"
"5","2017-05-17T14:02:21.000","10","This was a very fun and exciting project, not to mention incredibly engaging and intriguing! I was so excited at every sprint review to see what was happening, what had changed, and the direction the project was headed. The final products are exactly what we need to move forward and supplement our strategy in the future to help move the needle on zero waste in our community. I wish this was an ongoing endeavor, because I crave more insights, but now the responsibility for seeing this incredible amount of research and product design through lays in our hands. And that is the most exciting part! The only feedback I have is in regards to media, especially television media. Some of the tv media cast a slight shadow on the department and could have used some PIO tweaking, if possible.","10","10","10",,"Austin Resource Recovery","ARR End of Project Feedback","Retrospective of Recycling Behaviors project with Austin Resource Recovery (May 2017)","http://projects.austintexas.io/resource-recovery/"
"6","2017-05-17T15:39:30.000","10",,"10","10","10",,,"ARR End of Project Feedback","Retrospective of Recycling Behaviors project with Austin Resource Recovery (May 2017)","http://projects.austintexas.io/resource-recovery/"
"7","2017-05-17T16:44:04.000","10","Happy to help. ","10","10","10",,"I am a recycling block leader. ","ARR End of Project Feedback","Retrospective of Recycling Behaviors project with Austin Resource Recovery (May 2017)","http://projects.austintexas.io/resource-recovery/"
"8","2017-05-17T22:08:29.000","9",,"10","9","9",,,"ARR End of Project Feedback","Retrospective of Recycling Behaviors project with Austin Resource Recovery (May 2017)","http://projects.austintexas.io/resource-recovery/"
"9","2017-05-18T07:48:27.000","9",,"8","8","8",,"ARR","ARR End of Project Feedback","Retrospective of Recycling Behaviors project with Austin Resource Recovery (May 2017)","http://projects.austintexas.io/resource-recovery/"
"10","2017-05-18T10:19:55.000","6",,"5","5","4",,,"ARR End of Project Feedback","Retrospective of Recycling Behaviors project with Austin Resource Recovery (May 2017)","http://projects.austintexas.io/resource-recovery/"
"11","2017-05-20T16:29:07.000","9","I know there were sever time limitations but in the future, it might be beneficial to target only specific demographics that we know we are not currently reaching. For example, I would have preferred more geographical diversity of test residents.  We did not reach all areas of Austin and I wanted to hear more from UT students, apartment/condominium residents and retirees living in specific sections of town.  ","9","10","8",,"ARR","ARR End of Project Feedback","Retrospective of Recycling Behaviors project with Austin Resource Recovery (May 2017)","http://projects.austintexas.io/resource-recovery/"
"12","2017-05-24T15:20:39.000","8",,"9","9","8",,,"ARR End of Project Feedback","Retrospective of Recycling Behaviors project with Austin Resource Recovery (May 2017)","http://projects.austintexas.io/resource-recovery/"
"13","2016-12-19T15:39:05.000","10","It felt like there was a real effort to examine the issues, the process of discovery and identify solutions. I felt like my feedback was important and not just a ""check the box"" process. ",,,,"Yes","Austin Resource Recovery ","ARR shareout","Share-out of research findings from the Recycling Behaviors project (December 15, 2016)","http://projects.austintexas.io/resource-recovery/"
"14","2016-12-19T15:45:41.000","10","The presentation is informative helps me with my day to day work.  I enjoyed learning more about the design process, as well as getting to participate in coming up with ideas and solutions.  Seeing clips of the interviewees allowed me to learn more about their views.  I also liked that we got to ask questions and have discussions.",,,,"Yes",,"ARR shareout","Share-out of research findings from the Recycling Behaviors project (December 15, 2016)","http://projects.austintexas.io/resource-recovery/"
"15","2016-12-19T15:47:21.000","10","Excellent way to tackle new and innovative ways to reach and communicate with our customers",,,,"Yes","City of Austin - Austin Resource Recovery","ARR shareout","Share-out of research findings from the Recycling Behaviors project (December 15, 2016)","http://projects.austintexas.io/resource-recovery/"
"16","2016-12-19T16:00:47.000","10","It's valuable to get these types of insights from outside our organization.",,,,"Yes",,"ARR shareout","Share-out of research findings from the Recycling Behaviors project (December 15, 2016)","http://projects.austintexas.io/resource-recovery/"
"36","2017-05-13T09:42:36.000","10","I'll repeat what I said at the meeting that for the uninitiated a short description of the process to show how things will converge into a small set of highly desired projects / outcomes would be a good thing to add as a short preamble.",,,,,"Community Tech & Telecomm Commission","CTTC May 10","Workplan retreat for the Community Technology and Telecommunications Commission (May 10, 2017)","https://drive.google.com/drive/folders/0BwfHaaR8uDRJSXNPWmN2M3VTTzQ?usp=sharing"
"58","2016-11-18T15:47:28.000","5","The part of the event where the guy was trying to explain the charts on the wall and then people were supposed to talk in groups was confusing.",,,,,,"Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
