"comp_affordable_housing_id","property_name","address","city","state","zip_code","latitude","longitude","unit_type","census_tract","owner","developer","council_district","phone","email","property_manager_or_landlord","website","students_only","community_elderly","community_disabled","cmty_domestic_abuse_survivor","community_mental","community_veteran","community_military","only_serves_designated_cmtys","cmty_served_descriptions","broken_lease","broken_lease_criteria","eviction_history","eviction_history_criteria","criminal_history","data__criminal_history_criteria","has_waitlist","total_units","total_permanent_support_units","has_permanent_support_units","total_income_restricted_units","has_allocated_ir_units","total_housing_choice_units","accepts_housing_choice","total_accessible_ir_units","has_allocated_acc_ir_units","num_units_mfi_30","num_units_mfi_40","num_units_mfi_50","num_units_mfi_60","num_units_mfi_65","num_units_mfi_70","num_units_mfi_80","num_units_mfi_90","num_units_mfi_100","num_units_mfi_110","num_units_mfi_120","has_0_bed_unit","has_1_bed_unit","has_2_bed_unit","has_3_bed_unit","has_4_bed_unit","has_5_bed_unit","num_ir_0_bed_units","num_ir_1_bed_units","num_ir_2_bed_units","num_ir_3_bed_units","num_ir_4_bed_units","num_ir_5_bed_units","has_playground","has_pool","has_off_street_parking","has_air_conditioning","has_ceiling_fans","washer_dryer_unit","washer_dryer_hookup","washer_dryer_onsite","washer_dryer_other","allows_pet","pet_other","bus_transport_dist","security","elementary_school","middle_school","high_school","affordability_start","affordability_expiration","austin_housing_inventory_id","housing_program","community_development_block_gr","home_program_funding","low_income_housing_tax_credit","source_atc_guide","data__data_source_tdhca","source_ahi","is_duplicate","tdhca_funded","nhcd_funded","haca_funded","hatc_funded","geocoded_column"
"2332","Yellowstone Apartments","1215 E 52nd Street","Austin","TX","78723","30.30859947","-97.70659637","Multifamily",,"1209 East Apartments/Yellow 52 Investments",,"4","512-452-8631",,,"http://yellowstoneap.startlogic.com/","false","false","false","false","false","false","false",,,,,,,,,,"16","0",,"16",,,,,,"0","0","0","16","0",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blanton","Lamar","Reagan","2017-12-16T00:00:00.000","2032-12-16T00:00:00.000","4478",,"0","0",,"false","false","true","0","false","true",,,"POINT (-97.70659637 30.30859947)"
"2925","Greyshire Village-UNDER CONSTRUCTION","3700 Payload Pass","Austin","TX","78704","30.223162","-97.755208","Multifamily",,,,"4",,,,,,,,,,,,,,,,,,,,,"84","0",,"76",,,,,,"16","0","31","29","0",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"true",,,"POINT (-97.755208 30.223162)"
"2963","Quarters at Nueces House","2300 Nueces Street","Austin","TX","78705","30.28679177","-97.74390448","Multifamily",,"Simmons Vedder & Company","Simmons Vedder & Company","9","(512) 531-0123","info@quartersoncampus.com",,"https://quartersoncampus.com/nueces-house/","true","false","false","false","false","false","false",,"N/A","depends",,"depends","N/A","depends",,"false","232","0",,"23",,,"false","3",,"0","0","0","0","0",,"23",,"0",,,,,,,,,"23","0","0","0","0","0","false","true","true","true","true","true","false","false",,"yes","under 35 lbs; $300 one-time fee; $300 deposit; $35/month pet rent",,"Yes - a gated community, with gate fobs for amenities.",,,,"2008-10-28T00:00:00.000","2023-10-28T00:00:00.000","3563",,"0","0",,,,,"0",,"true",,,"POINT (-97.74390448 30.28679177)"
"2959","Block on 28th","701 W 28th Street","Austin","TX","78705","30.29327736","-97.74463321","Multifamily",,"CWS Capital Partners LLC","CWS Capital Partners LLC","9","(512) 478-9811","Info@americancampus.com",,"https://www.americancampus.com/student-apartments/tx/austin/","true","false","false","false","false","false","false",,,"depends","case by case; back rent paid or no?","depends","case by case","depends","No felony convictions; case by case otherwise","true","100","0",,"10",,,"false","2",,"0","0","0","0","0",,"10",,"0",,,,,,,,,"0","10","0","0","0","0","false","false","true","true","true","true","false","false",,"yes","35lbs; no aggressive breeds; $350 fee",,"Yes - a gated community, with gate fobs for amenities.",,,,"2008-11-06T00:00:00.000","2023-11-06T00:00:00.000","3559",,"0","0",,,,,"0",,"true",,,"POINT (-97.74463321 30.29327736)"
"2854","Green Doors","1503 S IH35","Austin","TX","78741","30.24270058","-97.73490143","Single Family",,,,"9","512-469-9130",,,,,"false","false","false","false","true","true",,"Scattered housing for veterans experiencing poverty",,,,,,,,"60",,,"60",,,,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HUD Section 8 and VASH; AHFC (GO Bonds)",,,,"true","false","false","0","false","false",,,"POINT (-97.73490143 30.24270058)"
"2448","Quail Park Village","9920 Quail Blvd","Austin","TX","78758","30.37249947","-97.69979858","Multifamily",,,,"4","844-410-5619","quailpark@hrii.com",,,"false","false","false","false","false","false","false",,,,,,,,,,"142","0",,"142","true",,,,"false",,,,,,,,,,,,"false","true","true","true","false","false","0","52","40","50","0","0","true","false",,"true","true",,,"true",,,,,,"McBee Elementary School","Burnet Middle School","Lanier High School",,,,"Housing Tax Credit Program; HUD Section 8",,,"9","true","true","false","0","true","false",,,"POINT (-97.69979858 30.37249947)"
"2651","5006 West Wind Trail","5006 West Wind Trail","Austin","TX","78745","30.22649956","-97.80449677","FourPlex",,"Frameworks Community Development Corporation","Frameworks Community Development Corporation","5","512-385-1500",,"Frameworks Community Development Corporation","https://frameworkscdc.org/",,,,,,,,,,,,,,,,,"4","0",,"3","true",,,,,"0","0","3","0","0",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunset Valley","Covington","Crockett","2015-01-01T00:00:00.000","2114-01-01T00:00:00.000","3858",,"257775","0",,"false","false","true","0","false","true",,,"POINT (-97.80449677 30.22649956)"
"2884","1202 E 7th","1202 E 7th","Austin","TX","78702","30.26571","-97.729669",,,,,"1",,,,,,,,,,,,,,,,,,,,,"2",,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mathews","O Henry","Austin",,,,,,,,,,,"0",,,,,"POINT (-97.729669 30.26571)"
"2770","The Arnold","1621 E 6th Street","Austin","TX","78702","30.26239967","-97.72619629","Multifamily",,"Transwestern Development Company","Transwestern","3","512-538-1770",,"Greystar","http://arnoldaustin.com/","false","false","false","false","false","false","false",,,"depends","Rental debt should be paid off","depends","Eviction must be more than 7 years old; rental debt must be paid off","depends","Case-by-case","false","346","0",,"66","true",,"false",,,"0","0","0","66","0",,"0",,,,,,"true","true",,,,,,,,,,,"false",,"true",,,,,,"yes",,">1/2 Mile",,"Zavala","Martin","Eastside Memorial","2017-01-01T00:00:00.000","2057-01-01T00:00:00.000","3624","Development Incentives, TOD","0","0",,"true","false","true","0","false","true",,,"POINT (-97.72619629 30.26239967)"
"2354","Carols House","1805 Heatherglen Lane","Austin","TX","78758","30.39520073","-97.7016983","Single Family",,"Accessible Housing Austin!","Accessible Housing Austin!","7","512-974-3100",,,"http://www.austintexas.gov/department/carols-house","false","false","true","false","false","false","false",,,,,,,,,,"1","0",,"1","true",,,,,"0","0","1","0","0",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"River Oaks","Westview","John B Connally","2009-01-01T00:00:00.000","2108-01-01T00:00:00.000","3296",,"0","40810",,"false","false","true","0","false","true",,,"POINT (-97.7016983 30.39520073)"
