"name_common","assettype","assetnote","discipline","discipline_note","live_music","event_venue","coa_facili","web_notes","website","zip","councildistrict","date_updat","map_list","source","location_1"
"Zonana, Deborah M","Business","Graphic Design Services","Graphic Design, Printmaking"," Adv/GD"," "," "," "," "," ","78734","0","2014","map","SIAP","5706 Rittenhouse Shore Dr
Austin, TX 
(30.418733, -97.922278)"
"Zilker Theatre Productions","Organization","Theater Company","Theater Arts"," Theater"," "," "," ","Summer Musical producer, at Zilker Hillside Theater","http://zilker.org","78754","1","2014","map","SIAP","8605 Leisure Dr
Austin, TX 
(30.340753, -97.675376)"
"Zilker Summer Musical","Event/ Festival","Event/ Festival","Theater Arts"," "," "," "," ","The Zilker Summer Musical has been an Austin tradition at The Zilker Hillside Theater since 1959. Audiences come from all over the enjoy admission-free, award-winning musical theater every summer.","zilker.org","78746","8","2016","map","Wikimap","2206 William Barton Drive
Austin, TX 
(30.264418, -97.772364)"
"Zilker Park, Swedish Log Cabin, City Of Austin,  Parks & Recreation","Public Park","Public Park","Other"," "," "," ","COA"," ","http://www.zilkergarden.org/dtgp/2014_Summer/2014_Summer.pdf","78746","8","2014","map","SIAP","2220 Barton Springs Rd
Austin, TX 
(30.266425, -97.768936)"
"Zilker Park Clubhouse","Event Venue","Event Venue","Other"," "," ","Event Venue"," "," "," ","78746","8","2018","map","Brownk","200 Zilker Clubhouse Rd
Austin, TX 
(30.273314, -97.777034)"
"Zilker Nature Preserve, Pistol Range Building","Landmark","Landmark","Other"," "," "," ","COA"," "," ","78746","8","0","map","COA_datamart","2305 Rollingwood Dr.
Austin, TX 
(30.269471, -97.778794)"
"Zilker Nature Preserve, Nature's Way Preschool/Ashford McGill House","Landmark","Landmark","History, Culture, Heritage"," "," "," ","COA"," "," ","78746","8","0","map","COA_datamart","301 Nature Center Dr.
Austin, TX 
(30.271892, -97.774018)"
"Zilker Nature Preserve, Charles Page Zilker Clubhouse","Landmark","Landmark","History, Culture, Heritage"," "," "," ","COA"," "," ","78746","8","0","map","COA_datamart","200 Arnulfo Alonso Way
Austin, TX 
(30.273745, -97.776132)"
"Zilker Metropolitan Park, City of Austin, Parks & Recreation","Public Park","Public Park","Other"," "," "," ","COA","Recognized as  ""Austin's most loved park,"" the Zilker Metropolitan park offers numerous recreational opportunities and hosts special events for the whole family.  The Park features a miniature train, canoe riding, hike and bike trails, a natural spring-f","http://www.ci.austin.tx.us/zilker/","78704","8","2016","map","NPA_org","2100 Barton Springs Road
Austin, TX 
(30.26607, -97.769135)"
"Zilker Metro Park, Zilker Botanical Gardens Taniguchi Tea House","Landmark","Landmark","History, Culture, Heritage"," "," "," ","COA"," "," ","78746","8","0","map","COA_datamart","2220 Barton Springs Rd.
Austin, TX 
(30.268747, -97.77086)"
"Zilker Metro Park, Lou Neff Point Gazebo","Landmark","Landmark","History, Culture, Heritage"," "," "," ","COA"," "," ","78746","8","0","map","COA_datamart","2100 Lou Neff Rd.
Austin, TX 
(30.267213, -97.761767)"
"Zilker Metro Park, Lost Chief Amphitheatre","Theater","Amphitheater","Multidisciplinary"," "," "," ","COA"," "," ","78746","8","0","map","COA_datamart","2311 Andrew Zilker Rd.
Austin, TX 
(30.26571, -97.774834)"
"Zilker Metro Park, Beverly S. Sheffield Hillside Amphitheatre","Theater","Amphitheater","Multidisciplinary"," "," "," ","COA"," "," ","78746","8","0","map","COA_datamart","2206 William Barton Dr.
Austin, TX 
(30.264466, -97.772434)"
"Zilker Metro Park, Bandstand","Landmark","Landmark","Music"," "," "," ","COA"," "," ","78746","8","0","map","COA_datamart","2204 William Barton Dr.
Austin, TX 
(30.264631, -97.771271)"
"Zilker Hillside Theater, City of Austin, Parks & Recreation","Theater","Amphitheater","Theater Arts"," Theater"," "," ","COA","Outdoor theater in Zilker Park","http://www.austintexas.gov/zilkerhillsidetheater","78704","8","2014","map","SIAP","2206 William Barton Dr
Austin, TX 
(30.264969, -97.773148)"
"Zilker Garden Main Entry Gate by Lars Stanley, Louis Jr Herrera","Public Art","Art in Public Places Commission","Visual Arts"," "," "," ","COA","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","78746","8","2016","map","AIPP","2217 Stratford Dr
Austin, TX 
(30.268708, -97.771528)"
"Zilker Botanical Gardens Swedish Log Cabin","Landmark","Landmark","History, Culture, Heritage"," "," "," ","COA"," "," ","78746","8","0","map","COA_datamart","2220 Barton Springs Rd.
Austin, TX 
(30.269307, -97.772152)"
"Zilker Botanical Gardens Esperanza School Bldg","Landmark","Landmark","History, Culture, Heritage"," "," "," ","COA"," "," ","78746","8","0","map","COA_datamart","2220 Barton Springs Rd.
Austin, TX 
(30.269428, -97.772264)"
"Zilker Botanical Garden, City Of Austin,  Parks & Recreation","Public Park","Public Park","Other"," "," "," ","COA","The Zilker Botanical Garden is ideally located in the center of Texas' capital city. The gardens are on parkland that is magnificently endowed by nature with handsome trees, natural grottoes and aquatic features that have been integrated into a design of","https://austintexas.gov/zilkerbotanicalgarden","78746","8","2014","map","SIAP","2220 Barton Springs Rd
Austin, TX 
(30.266425, -97.768936)"
"Zein's Dance Studio","Creative Workspace","Dance Studio","Dance"," Dance"," "," "," "," "," ","78751","9","2014","map","SIAP","5013 Duval St
Austin, TX 
(30.31317, -97.720247)"
"Zarape Productions","Business","Production Company","Film/TV/Media"," "," "," "," ","Zarape Productions is a dedicated, creative and innovative company looking to express the flares of life in different formats, from Video Production to Film, Photography, Theater Production and Music Production . We are one with the client from the creat","http://www.zarapeproductions.com/","78728","0","2016","map","NPA_org","2601 Tracy Tr
Austin, TX 
(30.442971, -97.686593)"
"Zaleski Studio","Business","Photographer/ Photo Studio","Photography"," Photo"," "," "," "," "," ","78751","0","2014","list","SIAP","1005 E 38Th St
Austin, TX 
(0.0, 0.0)"
