"documentid","program","reachcd","title","subtitle","sizekb","yearpub"
"186199","GENERAL","BAR1,BLU1,BLU2,BLU3,BMK1,BMK2,BMK3,BOG1,BOG2,BOG3,BUL2,EBO1,EBO2,EBO3,FOR1,FOR2,FOR3,FOR4,GIL6,HRP1,LBL,LWA1,LWA4,RAT2,SHL1,SHL2,SHL3,SHL4,TAN1,TAN2,TAN3,WBO1,WBO2,WBO3,WLN1,WLN2,WLN3,WLN4,WLN5,WLR1,WLR2,WLR3","Inventory of Urban Nonpoint Source Pollution Control Practices","CM-88-01","43938","1988"
"186319","GENERAL","GENERAL","QA/QC Automated Data Evaluation Procedure Version 2.0","SR-04-10","218","2004"
"196411","ALI","BEE1,BRW1,BUL1,LBE1,LBL,LKA,TRK1,WBL1","Lake Austin Sediment Preliminary Analysis","DR-06-02","1067","2006"
"268807","GENERAL","GENERAL","Integrated Solutions Development Study Watersheds Master Plan Phase II Final Report Volume 2","CN-00-03","93835","2000"
"186139","EII","GENERAL","Green Gardening for Water Quality Protection","CM-01-03","38336","2001"
"186325","AST","BAR1,BAR2,BAR3,BAR4,BAR5,BAR6,BEE3,BER1,BER2,BER3,BLU3,CMF1,CRN1,EAN1,EAN2,LBA1,LBA2,LBA3,LBL,LBR1,LBR2,LKA,ONI1,ONI2,ONI3,ONI4,ONI5,ONI6,SBG1,SBG2,SLA1,SLA2,SLA3,WBO2,WBO3,WMS1,WMS2,WMS3","Response Tier Development Document Barton Springs Salamander Catastrophic Spill Plan","SR-05-01","4653","2005"
"186276","SAL","BUL1,BUL2,BUL3,BUL4,BUL5,LKC1,LKC2,LKC3,RAT1,RAT2,SHL3,SHL4,WBL2,WLN4","Estimation of Jollyville Plateau Salamander Populations Using Surface Counts and Mark-Recapture","CM-08-03","16326","2008"
"228333","AST","GENERAL","Response to Raymond Slade’s Addendum to cause 2015003, Summary of Complaint against Nico Hauwert","DR-15-06 recharge karst evapotranspiration sinkhole uplands Edwards aquifer","555","2014"
"186208","GENERAL","GENERAL","Annual Report: TPDES Storm Water Permit No. WQ0004705000 (NPDES Permit No. TXS000401)","CM-11-01","138700","2011"
"186379","EII","BUL1,BUL2,BUL3,BUL4,BUL5","Bull Creek Watershed Erosion Assessment","CN-97-14","72356","1997"
"269889","GENERAL","GENERAL","Invasive Plant Management from a Water Resources Perspective","SR-16-03","397","2015"
"283713","SAL","BAR1,BUL2,BUL3,BUL4,BUL5,SHL4","Annual Report 2016 on Endangered Species Act Section 10(a)1(A) Scientific Permit for the Study of Barton Springs and Austin Blind salamanders",,"286","2016"
"266622","SAL","BAR1","Monitoring Methods for the Barton Springs and Austin Blind Salamanders 1993 to 2014 and Beyond","SR-16-10","714","2016"
"186129","EII","EBO1,EBO2,EBO3","East Bouldin Creek Watershed Erosion Assessment","CN-97-13","73793","1997"
"186301","EII","BUL1,LKA","Lower Bull Creek District Park Contact Recreation Use Assessment","SR-08-02","2709","2008"
"196404","GENERAL","GENERAL","Growth Trends And Environmental Integrity In Austin","CN-11-06","18056","2011"
"186185","EII","SFB1,BUL1,ONI5,ONI3,WLN1,WLN2,WMS3,WMS1","Base Flow Water Quality Trend Analysis for Austin Creeks","CM-86-05","3632","1986"
"186134","GENERAL","BAR1,WMS1,WMS2","Evaluation of Nonpoint Source Controls, an EPA/TNRCC Section 319 Grant Report Volume I Final Report","CM-97-04","58207","1997"
"266621","SAL","BAR1","Quality Assurance for Database Project 26 Barton Springs Salamander Monitoring","DR-17-01","200","2016"
"186357","GENERAL","GENERAL","State of the Environment Report 2003","CM-03-02","4100","2003"
"196413","EII","BUL1,BUL2,BUL3,BUL4,BUL5,DRN2,LKA,LKC3,SHL3,WBL1","Bull Creek Study Data Report","DR-07-02","4196","2006"
"186149","AST","BAR1,LBL","Report of Barton Springs Area Site Investigation","CN-03-03","89351","2003"
"196418","EII","BAR1,LBL","Evaluation of Elevated Fecal Indicator Bacteria at Main Barton Springs","DR-11-02","598","2011"
"203923","EII","BEE2,BEE3,BLU2,BLU3,LWA1,TYN1,TYS1,WBO3,WLN2,WLN4","Using Leaf-Litter to Determine Ecological Function of Urban Riparian and Stream Systems","SR-13-11","1230","2013"
"186361","GENERAL","GENERAL","State of the Environment Report 2008","CM-08-02","30382","2008"
"203920","GENERAL","GENERAL","State of the Environment Report 2007","CM-07-02","62636","2007"
"223710","GENERAL","BER1,SLA1,SLA2","Transportation, Environmental and Legal Issues associated with SH45SW",,"9796","2014"
"186299","AST","GENERAL","A Look at the Hydrostratigraphic Members of the Edwards Aquifer in Travis and Hays Counties, Texas","TM-95-01","37744","1995"
"196450","GENERAL","GENERAL","Sapling Survival Assessment Prioritizing Native Tree Species to Use in Riparian Zone Restoration","SR-12-11","157","2012"
"192157","GENERAL","GENERAL","State of Our Environment Report 2011","CM-11-01","1371","2012"
"186306","EII","ONI1,ONI2,ONI3,ONI4,ONI5,ONI6","A Study of Diel Dissolved Oxygen on Onion Creek, Austin Texas 2004","SR-06-02","100","2005"
"186264","EII","GENERAL","Effects of Hydrology on Bioassessment in Austin, Texas","SR-00-02","189","2000"
"196437","EII","BUL1,BUL2,BUL3","Bacteria in Sediment on Bull Creek","SR-11-05","477","2010"
"186302","EII","BUL1,BUL2","Lower Bull Creek District Park Contact Recreation Use Assessment Update, January 2011","SR-11-07","2166","2011"
"186296","GENERAL","BER2,BER3","LA-QUAL (Version 8) Modeling of Potential Water Quality Impacts to Bear Creek From Proposed HCWID#1 Wastewater Discharge","SR-08-03","471","2008"
"242790","SAL","GENERAL","Genomic Assessment of Taxonomic Status of Central Texas Eurycea Salamanders","SR-16-02","3295","2015"
"273147","EII","ON5,ONI6","Summary of Water Quality Analyses at Onion Creek near Dripping Springs","DR-16-13","1049","2016"
"289779","GENERAL","SHL3","Impact of Decentralized Green Stormwater Controls Brentwood Study Area",,"43649","2017"
"261627","ALI","LBL","Citizen Water Quality Monitoring of the Town Lake Watershed","CM-91-01","978","1991"
"240235","GENERAL","TAN2","Bamboo and giant cane management plan for Bartholomew","SR-15-19","519","2015"
"186172","GENERAL","BAR1,BAR2,BAR3,BAR4,BAR5,BAR6,WMS2","Wastewater Alternatives for the Barton Creek Watershed","CN-85-01","8864","1985"
"186201","GENERAL","GENERAL","Stormwater Quality Modeling for Austin Creeks","CM-84-03","19746","1984"
"186131","EII","BUL2,BUL3,BUL4,BUL5","Environmental Assessment of the Gardens at Bull Creek","CM-99-03","14491","1999"
