"registrationnumber","registrationstatus","registeredaddress","city","state","zipcode","registeredunits","activitytype","activitydate","latitude","longitude","address","parcelid"
"2018-151137 OL","Active","5800 WELLINGTON DR","AUSTIN","TX","78723","86","NOV Sent","2022-01-19T00:00:00.000","3131148.5","10086648","5800 WELLINGTON DR
AUSTIN, TX 78723
(3131148.5, 10086648)","0221190711"
"2019-175620 OL","Active","1515 WICKERSHAM LN","AUSTIN","TX","78741","270","Inspection Performed","2022-01-18T00:00:00.000","3122306","10058898","1515 WICKERSHAM LN
AUSTIN, TX 78741
(3122306.0, 10058898)","0307110121"
"2015-144941 OL","Closed","4802 E STASSNEY LN","AUSTIN","TX","78744","2","NOV Sent","2022-03-14T00:00:00.000","3115109.75","10043939","4802 E STASSNEY LN
AUSTIN, TX 78744
(3115109.75, 10043939)","0320021018"
"2014-049581 OL","Closed","6118 FAIRWAY ST","AUSTIN","TX","78741","125","Inspection Performed","2022-01-14T00:00:00.000","3127179.75","10056845.269999996","6118 FAIRWAY ST
AUSTIN, TX 78741
(3127179.75, 10056845.269999996)","0307150617"
"2014-049578 OL","Closed","2314 WICKERSHAM LN","AUSTIN","TX","78741","190","Inspection Performed","2022-01-20T00:00:00.000","3121161.75","10056382","2314 WICKERSHAM LN
AUSTIN, TX 78741
(3121161.75, 10056382)","0307010101"
"2014-106161 OL","Active","9601 MIDDLE FISKVILLE RD","AUSTIN","TX","78753","200","Inspection Performed","2022-01-21T00:00:00.000","3131764.25","10104394","9601 MIDDLE FISKVILLE RD
AUSTIN, TX 78753
(3131764.25, 10104394)","0240210409"
"2018-151137 OL","Active","5800 WELLINGTON DR","AUSTIN","TX","78723","86","Inspection Performed","2022-01-19T00:00:00.000","3131148.5","10086648","5800 WELLINGTON DR
AUSTIN, TX 78723
(3131148.5, 10086648)","0221190711"
"2021-045481 OL","Active","4400 AVENUE A","AUSTIN","TX","78751","26","Inspection Performed","2022-01-20T00:00:00.000","3117105.5","10085951","4400 AVENUE
AUSTIN, TX 78751
(3117105.5, 10085951)","0221050416"
"2018-151137 OL","Active","5800 WELLINGTON DR","AUSTIN","TX","78723","86","NOV Sent","2022-01-19T00:00:00.000","3131148.5","10086648","5800 WELLINGTON DR
AUSTIN, TX 78723
(3131148.5, 10086648)","0221190711"
"2021-045481 OL","Active","4400 AVENUE A","AUSTIN","TX","78751","26","NOV Sent","2022-01-19T00:00:00.000","3117105.5","10085951","4400 AVENUE
AUSTIN, TX 78751
(3117105.5, 10085951)","0221050416"
"2021-045481 OL","Active","4400 AVENUE A","AUSTIN","TX","78751","26","Inspection Performed","2022-01-20T00:00:00.000","3117105.5","10085951","4400 AVENUE
AUSTIN, TX 78751
(3117105.5, 10085951)","0221050416"
"2017-126281 OL","Active","9024 NORTHGATE BLVD","AUSTIN","TX","78758","416","Inspection Performed","2022-01-20T00:00:00.000","3121526","10108096","9024 NORTHGATE BLVD
AUSTIN, TX 78758
(3121526.0, 10108096)","0243100803"
"2018-151137 OL","Active","5800 WELLINGTON DR","AUSTIN","TX","78723","86","Inspection Performed","2022-01-19T00:00:00.000","3131148.5","10086648","5800 WELLINGTON DR
AUSTIN, TX 78723
(3131148.5, 10086648)","0221190711"
"2016-056427 OL","Active","8312 N IH 35 SVRD SB","AUSTIN","TX","78753","288","NOV Sent","2022-01-19T00:00:00.000","3128227.1506250054","10099667.473749995","8312 N IH
AUSTIN, TX 78753
(3128227.1506250054, 10099667.473749995)","0235160412"
"2021-045481 OL","Active","4400 AVENUE A","AUSTIN","TX","78751","26","NOV Sent","2022-01-19T00:00:00.000","3117105.5","10085951","4400 AVENUE
AUSTIN, TX 78751
(3117105.5, 10085951)","0221050416"
"2018-151137 OL","Active","5800 WELLINGTON DR","AUSTIN","TX","78723","86","Inspection Performed","2022-01-20T00:00:00.000","3131148.5","10086648","5800 WELLINGTON DR
AUSTIN, TX 78723
(3131148.5, 10086648)","0221190711"
"2016-056427 OL","Active","8312 N IH 35 SVRD SB","AUSTIN","TX","78753","288","NOV Sent","2022-01-19T00:00:00.000","3128227.1506250054","10099667.473749995","8312 N IH
AUSTIN, TX 78753
(3128227.1506250054, 10099667.473749995)","0235160412"
"2021-045481 OL","Active","4400 AVENUE A","AUSTIN","TX","78751","26","Citation Issued","2022-01-20T00:00:00.000","3117105.5","10085951","4400 AVENUE
AUSTIN, TX 78751
(3117105.5, 10085951)","0221050416"
"2014-121076 OL","Active","1124 RUTLAND DR","AUSTIN","TX","78758","200","Inspection Performed","2022-01-18T00:00:00.000","3125782","10107636","1124 RUTLAND DR
AUSTIN, TX 78758
(3125782.0, 10107636)","0243160302"
"2018-170898 OL","Active","8071 N LAMAR BLVD NB","AUSTIN","TX","78753","176","Inspection Performed","2022-01-18T00:00:00.000","3123583.25","10100179","8071 N LAMAR BLVD
AUSTIN, TX 78753
(3123583.25, 10100179)","0236120208"
"2018-170586 OL","Active","1647 RUTLAND DR","AUSTIN","TX","78758","294","Inspection Performed","2022-01-23T00:00:00.000","3122927.5","10109415","1647 RUTLAND DR
AUSTIN, TX 78758
(3122927.5, 10109415)","0245110123"
"2015-144698 OL","Closed","1515 WICKERSHAM LN","AUSTIN","TX","78741","270","Inspection Performed","2022-01-18T00:00:00.000","3122306","10058898","1515 WICKERSHAM LN
AUSTIN, TX 78741
(3122306.0, 10058898)","0307110121"
