"race","count","of_total_motor_vehicle_stops","population_data_year","city_of_austin_over_18","city_of_austin_over_18_1","difference_population_vs","year"
"Caucasian","57173","0.4679","2010","329500","0.5358","-0.068","2018-01-01T00:00:00.000"
"Black/African American","17754","0.1453","2010","48230","0.0784","0.067","2018-01-01T00:00:00.000"
"Hispanic or Latino","39946","0.3269","2010","188318","0.3062","0.021","2018-01-01T00:00:00.000"
"Asian","4340","0.0355","2010","39777","0.0647","-0.029","2018-01-01T00:00:00.000"
"Caucasian","65704","0.4712","2010","329500","0.5358","-0.0646","2019-01-01T00:00:00.000"
"Black/African American","19520","0.14","2010","48230","0.0784","0.0616","2019-01-01T00:00:00.000"
"Hispanic or Latino","45755","0.3281","2010","188318","0.3062","0.0219","2019-01-01T00:00:00.000"
"Asian","5517","0.0396","2010","39777","0.0647","-0.0251","2019-01-01T00:00:00.000"
"Asian","2454","0.0358","2020","69435","0.0895","-0.0537","2020-01-01T00:00:00.000"
"Black/African American","10204","0.1489","2020","53645","0.0692","0.0797","2020-01-01T00:00:00.000"
"Caucasian","30743","0.4485","2020","390847","0.504","-0.0556","2020-01-01T00:00:00.000"
"Hispanic or Latino","24009","0.3502","2020","229709","0.2962","0.054","2020-01-01T00:00:00.000"
