"offense_case_type","offense_date","offense_time","charges_description","offense_street_name","offense_cross_street","case_closed","agency","officer_code","race","defendant_gender"
"CM","10/1/2017","1:20 AM","PUBLIC INTOXICATION","6th Street And","Neches Street","Y","APD","3454","White","Male"
"CO","10/1/2017","10:17 PM","SOLICIT BY PERSON FROM STREET - SIDEWALK","East 7th Street At North Ih 35 Service R",,"Y","APD","7796","Black","Male"
"CM","10/1/2017","1:40 AM","DISORDERLY CONDUCT - FIGHTING","East 6th Street And Neches Street",,"Y","APD","7784","Hispanic","Male"
"CM","10/1/2017","2:15 AM","DISORDERLY CONDUCT - FIGHTING","300 East 6th Street",,"Y","APD","7759","Hispanic","Female"
"CM","10/1/2017","1:20 AM","PUBLIC INTOXICATION","1911 Nueces Street",,"N","APD","7870","White","Male"
"CM","10/1/2017","2:41 AM","PUBLIC INTOXICATION","914 Duncan Lane",,"Y","APD","8131","Hispanic","Male"
"CM","10/1/2017","3:40 AM","PUBLIC INTOXICATION","515 Congress Avenue",,"Y","APD","7980","Black","Male"
"CM","10/1/2017","6:27 PM","Possession of Drug Paraphernalia","800 Block East 6th Street",,"N","APD","7798","White","Male"
"CM","10/1/2017","1:45 AM","DISORDERLY CONDUCT - FIGHTING","400 East 6th Street",,"Y","APD","7779","White","Male"
"CM","10/1/2017","10:47 PM","Possession of Drug Paraphernalia","North Ih35 Service Road At East Avenue",,"Y","APD","6757","No Data","No Data"
"CO","10/1/2017","11:20 PM","HUMAN WASTE","West  At West 5th Street",,"Y","APD","7422","White","Male"
"CM","10/1/2017","2:05 AM","DISORDERLY CONDUCT - FIGHTING","400 Block East 6th Street",,"N","APD","7345","Black","Male"
"CO","10/1/2017","10:17 PM","PEDESTRIAN IN ROADWAY/CITY ORDINANCE","East 7th Street At North Ih 35 Service R",,"Y","APD","7796","Black","Male"
"CO","10/2/2017","10:15 PM","PARK CURFEW VIOLATION","600 Block Sabine Street",,"Y","APD","7297","No Data","Female"
"TR","10/2/2017","7:41 AM","PEDESTRIAN WALKING AGAINST LIGHT","East 6th Street","North Ih 35 Service Road","Y","APD","7758","Black","Male"
"CO","10/2/2017","1:23 PM","Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors","6th Street At Neches Street",,"Y","APD","7779","White","Female"
"CO","10/2/2017","1:30 PM","Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors","700 Block Red River Street",,"N","APD","6977","Black","Male"
"TR","10/2/2017","12:00 AM","PEDESTRIAN ON ROADWAY","1200 Block North Ih 35",,"N","APD","8195","Hispanic","Female"
"CO","10/2/2017","4:30 AM","Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors","600 Block Neches Street",,"Y","APD","6977","White","Male"
"CO","10/2/2017","1:00 PM","Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors","24 Bierce Street",,"N","APD","6151","White","Male"
"CO","10/2/2017","10:05 PM","PARK CURFEW VIOLATION","600 Block Sabine Street",,"Y","APD","6781","Black","Male"
"CO","10/2/2017","1:16 PM","Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors","600 Block Trintiy Street",,"N","APD","7430","White","Male"
"CO","10/2/2017","2:30 PM","Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors","600 Block Sabine Street",,"N","APD","6966","White","Male"
"CO","10/2/2017","10:10 PM","PARK CURFEW VIOLATION","600 Block Sabine Street",,"Y","APD","7345","Hispanic","Female"
"CO","10/2/2017","10:02 PM","HUMAN WASTE","600 Block Sabine Street",,"N","APD","7638","Hispanic","Male"
"CO","10/2/2017","12:31 PM","Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors","600 Block Trinity Street",,"Y","APD","3454","Black","Female"
"CM","10/2/2017","2:20 AM","MINOR CONSUMING ALCOHOL","400 Block East 6th Street",,"N","APD","7433","Hispanic","Male"
"CO","10/2/2017","12:00 AM","SMOKING ORD - WITH IN 15 FT OF PUB ENTRANCE","600 Block Neches Street",,"Y","APD","3454","Black","Male"
