"commodity","commodity_description","extended_description","quantity","unit_of_measure","unit_of_meas_desc","unit_price","itm_tot_am","master_agreement","contract_name","purchase_order","award_date","vendor_code","lgl_nm","ad_ln_1","ad_ln_2","city","st","zip","ctry","data_build_date"
"03172","Pumps, Descaling Acid","ACID TANK EMERGENCY REPAIR PO 10081809106 MODEIFIED DOWN DUE TO VENDOR CODE CHANGE","0",,,"0","2355",,"ACID TANK, PO REPLACES 10081809106 MOD DOWN VC CHANGE","PO870010102100602","2010-09-30T00:00:00.000","VS0000032394","TDIndustries, Inc.","2701 Gattis School Road","Suite A-101","Round Rock","TX","78664","US","2022-09-05T00:00:00.000"
"20142770002","GLOVES WORK MECHANIC SYNTHETIC LEATHER SZ LARGE","RC LN_______QTY DEL______P/F_____B/O_____DEL DATE_________    MSC # 09398629","40","PR","Pair","17.11","684.4","MA7400GC130000008","Materials needed at Glen Bell warehouse","DO220014110302545","2014-11-03T00:00:00.000","MSC6003170","SID TOOL CO INC","121 Interpark Blvd Ste 1203",,"SAN ANTONIO","TX","78216","US","2022-09-05T00:00:00.000"
"33518","Anhydrous Ammonia","Qty:7593LB@.8000","0",,,"0","6074.4","MA2200GA130000011","ANHYDROUS AMMONIA","DO220014061014753","2014-06-10T00:00:00.000","AIR8317759","AIRGAS SPECIALTY PRODUCTS","6340 SUGARLOAF PKWY, STE: 300",,"DULUTH","GA","30097-","US","2022-09-05T00:00:00.000"
"75035","Crushed Stone (Includes Riprap)","23.15 per ton delivered_requested by Juan Izaguirre (505.22 tons 3x5 rock_PR# 2018-100590)","0",,,"0","11695.84","MA6300GA150000101","500 tons 3x5 rock_PR# 2018-100590","DO630018072513500","2018-07-25T00:00:00.000","VC0000101878","COMMUNITY TRUCKING LLC","PO BOX 737",,"CEDAR CREEK","TX","78612","US","2022-09-05T00:00:00.000"
"44546102002","TAPE MEASURING 12 FT","RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________","6","EA","Each","9.3","55.8","MA7400GC130000008","Material needed at Webberville warehouse","DO220016051813289","2016-05-18T00:00:00.000","MSC6003170","SID TOOL CO INC","121 Interpark Blvd Ste 1203",,"SAN ANTONIO","TX","78216","US","2022-09-05T00:00:00.000"
"45053100003","STRAP TIE DOWN RUBBER W/CAD S HOOK 31 IN","RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________","30","EA","Each","1.06","31.8","MA7400GC150000004","Material needed at Webberville warehouse","DO220016041211233","2016-04-12T00:00:00.000","WWG2097000","W W GRAINGER INC","7950 Research Blvd. Ste 101",,"AUSTIN","TX","78758-8425","US","2022-09-05T00:00:00.000"
"72582","Two-Way Radio Supplies, Parts, and Accessories","110v Suc Smart Charger [wpln4111ar]","3","EA","Each","120.45","361.35","MA6400GA120000043","RZ COMMUNICATIONS $10,588.81 SEE ATTACHED","DO640015072917813","2015-07-29T00:00:00.000","VC0000102824","RZ COMMUNICATIONS INC","1400 SMITH RD STE 101B",,"AUSTIN","TX","78721-3563","US","2022-09-05T00:00:00.000"
"89049230009","BEND CI MECH JT 90 DEG 6 IN","RC LN___ QTY DEL____ P/F___ B/O____ DEL DATE_______","3","EA","Each","49.38","148.14","MA2200GA120000051","material needed at awgbsc","DO220013040811784","2013-04-08T00:00:00.000","HUG8319237","HD SUPPLY WATERWORKS LTD","1800 ROYSTON LN",,"ROUND ROCK","TX","78664-9506","US","2022-09-05T00:00:00.000"
"4051330","GAS, NATURAL, COMPRESSED (FOR VEHICLE FUEL)","CNG/CLEAN ENERGY FUEL - DEC 2014","0",,,"0","17577.45","MA8100GA120000056","CNG/CLEAN ENERGY FUEL - DEC 2014","DO810015010506007","2015-01-05T00:00:00.000","V00000918229","Clean Energy","4675 MacArthur Court #800",,"Newport Beach","CA","92660","US","2022-09-05T00:00:00.000"
"7452114","ASPHALTIC CONCRETE, HOT MIX, IN ACCORDANCE WITH IT",,"1517.11","TON","Ton","56","84958.16","MA6200GA120000082","APAC Texas/ Hot Mix/ various sections","DO620017100400494","2017-10-04T00:00:00.000","VC0000102792","Texas Materials Group, Inc.","1320 Arrow Point Dr","Suite 600","Cedar Park","TX","78613","US","2022-09-05T00:00:00.000"
