"timestamp","how_likely_would_you_be_to_recommend_working_with_the_innovation_office_to_others","what_feedback_do_you_want_to_give_the_innovation_office_for_example_what_we_do_well_what_should_we_do_differently","what_services_did_the_innovation_office_provide_for_you_in_the_past_year_select_all_that_are_applicable","department_office_organization_optional","what_changes_if_any_have_you_observed_in_your_organization_team_project_since_working_with_us"
"2016-11-18T13:49:15.000","10","I think the Innovation Office does a great job of facilitating these meetings and making sure people have the right support to get their ideas out. ","Training",,"N/A since my team did not go forward with the sensemaker tool"
"2016-11-18T14:19:59.000","10","Teach skills well, would be better to see more outcomes from ideation sessions.","Skills workshop(s)/training(s), Facilitation of group sessions, Basader Profile","Austin Transportation Department","I think people are better listeners and try to think about solutions differently."
"2016-11-18T14:27:49.000","10","Nothing, the individuals I've worked with have been awesome. ","Consulting on a particular challenge/project, Facilitation of group sessions","EMS-Community Health Paramedic Team","Team members involved with the Inovation Team look at issues in a different way and as an area of improvement as opposed to an outright obstruction. "
"2016-11-18T14:57:26.000","10","Great at providing new opportunities to break the silos between departments, all of the training is extremely useful. Don't worry if things are frustrating in the city, pick your battles, don't give up but also keep zen if you can. Keep getting more efficient with how you work on new projects, look at what needs adapting and try again.","Coaching/mentoring, Skills workshop(s)/training(s), Consulting on a particular challenge/project, Sponsorship to attend training/conference","Library","We are working better at making sure we work on the right problems, breaking silos, beta test our solutions more, review our work and start over again. We've been working on being more efficient with our time and projects."
"2016-11-18T15:21:10.000","10","continue hands on","Coaching/mentoring","none","na"
"2016-11-18T18:11:18.000","10","Whenever I work with any of you, it adds value to my endeavor. Thank You. (P.S. Try to balance the behind-the-scenes magic with people understanding what kinds of projects you work on (uncertain outcome) and who those hipster fellows are with the big black boards.","Coaching/mentoring, Skills workshop(s)/training(s), Consulting on a particular challenge/project, Design research, Sponsorship to attend training/conference, Setting up a Bloomfire knowledge management community, Strategic Advising, Inspiration, Basadur profile for team, I think I have two of your books.","Performance Office","We've improved our value proposition."
"2016-11-18T22:40:17.000","10","Everyone is very creative... that's great.  Use language common folk speak.","Coaching/mentoring, Skills workshop(s)/training(s), Consulting on a particular challenge/project, Facilitation of group sessions, Design research, Setting up a Bloomfire knowledge management community, Setting up Insight","The Greatest EMS Department in The World! ","Co-creation works nicely with existing methods, enhances prototyping "
"2016-11-21T08:11:38.000","10","I think you guys are doing a great job all around!","Skills workshop(s)/training(s), Consulting on a particular challenge/project, Setting up a Bloomfire knowledge management community","Digital Inclusion / TARA","Observing the way the Innovation office facilitates has carried over into our work in Digital Inclusion."
"2016-11-21T09:39:18.000","10","The Innovation Office does a great job of teaching innovation methods (Strategic Co-Creation and Business Model Canvasing) and is very supportive to the distributed network.  I always encourage others I meet in the COA to engage with the Innovation Office and begin using these methods as part of their own innovative approach to business solutions.","Coaching/mentoring, Consulting on a particular challenge/project, Facilitation of group sessions, Design research","ACCD","Because of the use of methods, there is a consistency in the language we use and expectations we have when meeting together to discuss business solutions. ACCD has also benefitted from the Innovation Office's Digital Services Fellows initiative to redesign our websites and establish a modern and responsive web infrastructure as a basis for future projects."
"2016-11-28T15:12:15.000","10","I have worked with the Innovation Office in conjunction with the Idea Accelerator, but have tried to submit questions or requests for assistance in projects outside of that process and did not receive a response.  Is there a process governing requests for assistance by City Employees?  ","Consulting on a particular challenge/project","Economic Development","Wonderfully talented and creative team who bring lots of best practices and individual insights to bear -- great resource!  Feel lucky to have them on board at the City. I know that resources are limited, but wish more staff/more departments could tap into their well of expertise more often.  "
"2016-11-28T15:15:45.000","10","There were a few times when the communication emails were not entirely clear. Maybe there was too much information and it was easy to miss the critical action.","Coaching/mentoring, Consulting on a particular challenge/project","Public Works","Right now, they are excited about the opportunity."
