Zone,Business Name,Phone,status,Oil,Oil Filter,Fluids,Tires,Batteries,Newspapers,Scrap Metal,Aluminum,Address,Zip Code,Zip Codes,Single Member Council Districts
South,Advance Auto Parts,512-326-1166,1,Yes,,,,,,,,"600 William Cannon Dr
Austin, Texas 78745
(30.191450819000465, -97.77308111999969)",78745,3259,2
East,Advance Auto Parts,512-928-1183,1,Yes,Yes,,,,,,,"5339 IH
Austin, Texas 78723
(30.30758150200046, -97.68754760699966)",78723,3239,1
North,Advance Auto Parts,512-451-0151,1,Yes,,,,Yes,,,,"2209 Anderson Ln
Austin, Texas 78757
(30.35552629600045, -97.7296820039997)",78757,3645,7
North,Advance Auto Parts,512-837-9991,1,Yes,,,,Yes,,,,"9316 Lamar Blvd
Austin, Texas 78753
(30.36243108700046, -97.69739114699968)",78753,3642,4
East,Advance Auto Parts,512-478-7284,1,Yes,,,,Yes,,,,"2730 7th St
Austin, Texas 78702
(30.26032043200047, -97.71022065999966)",78702,2857,3
East,A-Line Auto Parts,512-476-2396,1,,,,,Yes,,,,"2501 7th St
Austin, Texas 78702
(30.260870070000465, -97.71362104499968)",78702,2857,3
East,All-Almerican Recycling,512-243-1183,1,Yes,,,,Yes,,Yes,Yes,"1114 1st St
Austin, Texas 78702
(30.259940179000466, -97.73275008499968)",78702,2857,3
East,Allied Sales Co.,512-385-2167,1,Yes,Yes,,,Yes,,,,"5005 7th St
Austin, Texas 78702
(30.254080823000436, -97.69874046999968)",78702,2857,3
North,American Fiber Manufacturing,512-251-3401,1,,,,,,Yes,,,"1701 Bench Mark Dr
Austin, Texas 78728
(30.430080433000455, -97.67657055699965)",78728,3244,
South,An Honest Mechanic,512-462-1989,1,Yes,Yes,,,Yes,,,,"121 Pickle Rd
Austin, Texas 78704
(30.227610592000474, -97.76259074099966)",78704,2859,3
East,Austin Metal & Iron Co. LP,512-477-3547,1,Yes,,,,Yes,,Yes,Yes,"1000 4th St
Austin, Texas 78702
(30.263090519000457, -97.73282037399969)",78702,2857,3
East,AutoZone,512-928-1183,1,Yes,,,,,,,,"6500 Springdale Rd
Austin, Texas 78723
(30.308370607000484, -97.66935035599965)",78723,3239,1
