"name","location","address","city","state","zipcode","phone_number","hours","website","number_of_computers","geocoded_column"
"ARCH","500 E. 7th St. 78701","500 E. 7th St.","Austin","TX","78701","(512) 978-9920","M-F: 6:30a-11a; 12p-3:30p","http://frontsteps.org/what-we-do/arch/",,"POINT (-97.737726 30.267652)"
"Howson Library","2500 Exposition Blvd. 78703","2500 Exposition Blvd.","Austin","TX","78703","(512) 974-8800","M-Th: 10am-9pm, F: 10am-6pm, Sat: 10am-5pm","https://library.austintexas.gov/howson-branch","5","POINT (-97.767313 30.298139)"
"Old Quarry Library","7051 Village Center Dr. 78731","7051 Village Center Dr.","Austin","TX","78731","(512) 974-8860","M-Th: 10am-9pm, F: 10am-6pm, Sat: 10am-5pm","https://library.austintexas.gov/old-quarry-branch","6","POINT (-97.755751 30.353257)"
"Spicewood Springs Library","8637 Spicewood Springs Rd. 78759","8637 Spicewood Springs Rd.","Austin","TX","78759","(512) 974-3800","M-Th: 10am-9pm, F: 10am-6pm, Sat: 10am-5pm,","https://library.austintexas.gov/spicewood-springs-branch","20","POINT (-97.772786 30.433288)"
"Windsor Park Library","5833 Westminster Drive 78723","5833 Westminster Drive","Austin","TX","78723","(512) 974-9840","M-Th: 10am-9pm, F: 10am-6pm, Sat: 10am-5pm","https://library.austintexas.gov/windsor-park-branch","24","POINT (-97.690559 30.311258)"
"Carver Library","1161 Angelina St. 78702","1161 Angelina St.","Austin","TX","78702","(512) 974-1010","M-Th: 10am-9pm, F: 10am-6pm, Sat: 10am-5pm","https://library.austintexas.gov/carver-branch","28","POINT (-97.724523 30.26995)"
"Little Walnut Creek Library","835 Rundberg Lane 78758","835 Rundberg Lane","Austin","TX","78758","(512) 974-9860","M-Th: 10am-9pm, F: 10am-6pm, Sat: 10am-5pm, Sun: 2-6pm","https://library.austintexas.gov/little-walnut-creek-branch","24","POINT (-97.698231 30.363634)"
"North Village Library","2505 Steck Ave. 78757","2505 Steck Ave.","Austin","TX","78757","(512) 974-9960","M-Th: 10am-9pm, F: 10am-6pm, Sat: 10am-5pm, Sun: 2-6pm","https://library.austintexas.gov/north-village-branch","21","POINT (-97.729717 30.362014)"
"Southeast Library","5803 Nuckols Crossing Road 78744","5803 Nuckols Crossing Road","Austin","TX","78744","(512) 974-8840","M-Th: 10am-9pm, F: 10am-6pm, Sat: 10am-5pm","https://library.austintexas.gov/southeast-branch","23","POINT (-97.742224 30.187926)"
"Central Library","710 W. César Chávez St. 78701","710 W. César Chávez St.","Austin","TX","78701","(512) 974-7400","M-Th: 10am-9pm, F, Sat: 10am-6pm, Sun: 12pm-6pm","https://library.austintexas.gov/central-library","155","POINT (-97.751941 30.265509)"
"Twin Oaks Library","1800 S. Fifth St. 78704","1800 S. Fifth St.","Austin","TX","78704","(512) 974-9980","M-Th: 10am-9pm, F: 10am-6pm, Sat: 10am-5pm","https://library.austintexas.gov/twin-oaks-branch","29","POINT (-97.761726 30.248884)"
"Ruiz Library","1600 Grove Blvd. 78741","1600 Grove Blvd.","Austin","TX","78741","(512) 974-7500","M-Th: 10am-9pm, F: 10am-6pm, Sat: 10am-5pm, Sun: 2-6pm","https://library.austintexas.gov/ruiz-branch","41","POINT (-97.706314 30.230228)"
"Manchaca Road Library","5500 Manchaca Rd. 78745","5500 Manchaca Rd.","Austin","TX","78745","(512) 974-8700","M-Th: 10am-9pm, F: 10am-6pm, Sat: 10am-5pm, Sun: 2-6pm","https://library.austintexas.gov/manchaca-road-branch","19","POINT (-97.796899 30.216327)"
"Cepeda Library","651 N. Pleasant Valley Rd. 78702","651 N. Pleasant Valley Rd.","Austin","TX","78702","(512) 974-7372","M-Th: 10am-9pm, F: 10am-6pm, Sat: 10am-5pm","https://library.austintexas.gov/cepeda-branch","11","POINT (-97.709632 30.259785)"
"University Hills Library","4721 Loyola Lane 78723","4721 Loyola Lane","Austin","TX","78723","(512) 974-9940","M-Th: 10am-9pm, F: 10am-6pm, Sat: 10am-5pm","https://library.austintexas.gov/university-hills-branch",,"POINT (-97.666211 30.308952)"
"Terrazas Library","1105 E. César Chávez St. 78702","1105 E. César Chávez St.","Austin","TX","78702","(512) 974-3625","M-Th: 10am-9pm, F: 10am-6pm, Sat: 10am-5pm","https://library.austintexas.gov/terrazas-branch","23","POINT (-97.733214 30.260114)"
"Pleasant Hill Library","211 E. William Cannon Drive 78745","211 E. William Cannon Drive","Austin","TX","78745","(512) 974-3940","M-Th: 10am-9pm, F: 10am-6pm, Sat: 10am-5pm","https://library.austintexas.gov/pleasant-hill-branch",,"POINT (-97.777026 30.192555)"
"Milwood Library","12500 Amherst Dr. 78727","12500 Amherst Dr.","Austin","TX","78727","(512) 974-9880","M-Th: 10am-9pm, F: 10am-6pm, Sat: 10am-5pm","https://library.austintexas.gov/milwood-branch","6","POINT (-97.714651 30.423153)"
"Willie Mae Kirk Library","3101 Oak Springs Drive 78702","3101 Oak Springs Drive","Austin","TX","78702","(512) 974-9920","M-Th: 10am-9pm, F: 10am-6pm, Sat: 10am-5pm","https://library.austintexas.gov/willie-mae-kirk-branch","20","POINT (-97.69999 30.273232)"
"Dewitty Center","2209 Rosewood Ave. 78702","2209 Rosewood Ave.","Austin","TX","78702","(512) 236-8225","M-F: 9-4","http://www.austintexas.gov/contact-information/dewitty-job-training-and-employment-center",,"POINT (-97.7159 30.27021)"
"St. John Library","7500 Blessing Ave. 78752","7500 Blessing Ave.","Austin","TX","78752","(512) 974-7570","M-Th: 10am-9pm, F: 10am-6pm, Sat: 10am-4pm","https://library.austintexas.gov/st-john-branch","32","POINT (-97.693032 30.331949)"
