"master_subject_id","date_occurred","location","subject_sex","apd_race","subject_resistance","subject_effects","x_coordinate","y_coordinate","council_district","zip","census_tract","county"
"5015693: 20183651046","2018-12-31T00:00:00.000","E US 290 HWY SVRD EB / NORTHEAST DR","F","H","DEFENSIVE RESISTANCE","MINOR INJURY","3133500","10091112","1","78723","-","TRAVIS COUNTY"
"458877857: 20183651534","2018-12-31T00:00:00.000","8506 SHENANDOAH DR","M","B","DEFENSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","3130000","10100120","4","78753","18.13","TRAVIS COUNTY"
"459754176: 20183651779","2018-12-31T00:00:00.000","6600 E BEN WHITE BLVD SVRD WB","M","H","DEFENSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","3125575","10051237","3","78741","-","TRAVIS COUNTY"
"13828766: 20183651023","2018-12-31T00:00:00.000","8100 S 1ST ST","M","H","DEFENSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","3098724","10039131","2","78748","-","TRAVIS COUNTY"
"459743208: 20183650037","2018-12-31T00:00:00.000","6808 S IH 35 SVRD SB","M","H","DEFENSIVE RESISTANCE","MINOR INJURY","3105466","10041402","2","78745","24.22","TRAVIS COUNTY"
"384052160: 20183650938","2018-12-31T00:00:00.000","1500 E PARMER LN","M","B","AGGRESSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","3142154","10115695","7","78753","-","TRAVIS COUNTY"
"338559244: 20183651123","2018-12-31T00:00:00.000","COLONY LOOP DR / WENTWORTH DR","M","B","DEFENSIVE RESISTANCE","COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED","3150322","10081740","1","78724","-","TRAVIS COUNTY"
"459550739: 20183650009","2018-12-31T00:00:00.000","405 E 7TH ST","F","W","DEFENSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","3115628","10070639","9","78701","-","TRAVIS COUNTY"
"459699351: 20183651138","2018-12-31T00:00:00.000","1157 SALINA ST","M","B","DEFENSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","3121574","10071826","1","78702","8.04","TRAVIS COUNTY"
"459700358: 20183651188","2018-12-31T00:00:00.000","8600 BLOCK S 1ST ST","M","B","DEFENSIVE RESISTANCE","NO COMPLAINT OF INJURY/PAIN","3097453","10036668","2","78748","-","TRAVIS COUNTY"
