"row_id","fiscal_year","rank","primary_impression","contact_count"
"1","FY2015","1","Unspecified Condition","21233"
"2","FY2015","2","Pain - No Trauma","10276"
"3","FY2015","3","Altered Mental Status","6972"
"4","FY2015","4","Injury - Head","6494"
"5","FY2015","5","Respiratory Distress","5353"
"6","FY2015","6","Psychiatric / Behavioral","5151"
"7","FY2015","7","Injury - Multiple Sites","4633"
"8","FY2015","8","OD/Poisoning Unspecified","4557"
"9","FY2015","9","Injury - Extremity Lower","4523"
"10","FY2015","10","Injury - Extremity Upper","3886"
"11","FY2016","1","Unspecified Condition","21345"
"12","FY2016","2","Pain - No Trauma","9407"
"13","FY2016","3","Injury - Head","6082"
"14","FY2016","4","Altered Mental Status","5971"
"15","FY2016","5","Respiratory Distress","5511"
"16","FY2016","6","Psychiatric / Behavioral","4968"
"17","FY2016","7","Injury - Multiple Sites","4533"
"18","FY2016","8","Injury - Extremity Lower","4429"
"19","FY2016","9","OD/Poisoning Unspecified","4403"
"20","FY2016","10","Injury - Extremity Upper","3793"
"21","FY2017","1","Unspecified Condition","23549"
"22","FY2017","2","Pain - No Trauma","10102"
"23","FY2017","3","Injury - Head","6240"
"24","FY2017","4","Altered Mental Status","5930"
"25","FY2017","5","OD/Poisoning Unspecified","5707"
"26","FY2017","6","Psychiatric / Behavioral","5653"
"27","FY2017","7","Respiratory Distress","5155"
"28","FY2017","8","Injury - Multiple Sites","4368"
"29","FY2017","9","Injury - Extremity Lower","4324"
"30","FY2017","10","Injury - Extremity Upper","3787"
"31","FY2018","1","Unspecified Condition","23452"
"32","FY2018","2","Pain - No Trauma","9854"
"33","FY2018","3","Psychiatric / Behavioral","5770"
"34","FY2018","4","Injury - Head","5765"
"35","FY2018","5","Altered Mental Status","5508"
"36","FY2018","6","Respiratory Distress","5042"
"37","FY2018","7","OD/Poisoning Unspecified","4810"
"38","FY2018","8","Injury - Multiple Sites","4583"
"39","FY2018","9","Injury - Extremity Lower","4134"
"40","FY2018","10","Injury - Extremity Upper","3583"
