"department","url","name","type","visits","last_update_date_data","frequency","category","keywords","owner","contact_email","license","data_provided_by","source_link","hasattachments","primary_priority","secondary_priority","primary_strategic_outcome","secondary_strategic_outcome","empty_fields"
"Austin Police","https://data.austintexas.gov/d/8iue-zpf6","2016 Annual Crime Data","dataset","4839","2017-09-07T00:00:00.000","As Needed","Public Safety","annual crime,police,public safety","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"7"
"Development Services","https://data.austintexas.gov/d/3syk-w9eu","Issued Construction Permits","dataset","108574","2019-05-07T00:00:00.000","Daily","Building and Development","building,electrical,mechanical,plumbing,permits,driveway,sidewalk,development,services,land development code,permit center,one texas center,blds","Julia","PDRhelp@austintexas.gov","Public Domain","Development Services Department",,,"Household Affordability",,,"Economic Opportunity and Affordability","4"
"Parks & Recreaction","https://data.austintexas.gov/d/iyf6-bziq","Off- Leash Areas","gis map","97756","2017-09-21T00:00:00.000","As Needed","Locations and Maps","dog,dogs,pet,off-leash,areas,area","AustinGo","parks@austintexas.gov","Public Domain","Austin Parks and Recreation Department","http://www.austintexas.gov/department/leash-areas",,,,,,"5"
"Austin Transportation","https://data.austintexas.gov/d/dx9v-zd7x","Real-Time Traffic Incident Reports","dataset","92014","2019-05-08T00:00:00.000","Hourly","Transportation and Mobility","pedestrians,roads,safety,transportation","Austin Transportation","transportation.data@austintexas.gov","Public Domain",,,,"Compact & Connected","Creative Economy","Mobility","Safety","3"
"Financial Services","https://data.austintexas.gov/d/h3i4-5e5v","Unclaimed Property","dataset","47602","2018-10-26T00:00:00.000","Annually","Budget and Finance","unclaimed,property,uncashed checks,refund,utility check refunds,reimbursement","Gail Ray","unclaimedproperty@austintexas.gov","Public Domain","City of Austin Treasury Office","https://www.ci.austin.tx.us/financeonline/finance/financial_docs.cfm?ws=3&pg=1",,"N/A","N/A","Government that Works for All of Us","N/A","1"
"Austin Public Health","https://data.austintexas.gov/d/ecmv-9xxi","Food Establishment Inspection Scores","dataset","44364","2019-05-01T00:00:00.000","Weekly","Health and Community Services","restaurant,inspection,food,score,geodata,health","opendataatx","PublicHealthOpenData@austintexas.gov","Public Domain","Austin Public Health","http://www.ci.austin.tx.us/health/restaurant/search.cfm",,"Healthy Austin","N/A","Health","N/A","1"
"Austin Police","https://data.austintexas.gov/d/b4y9-5x39","RETIRED - APD Incident Extract YTD","dataset","39043","2016-08-19T00:00:00.000","Daily","Public Safety",,"opendataatx",,"Public Domain","City of Austin",,,,,,,"8"
"Development Services","https://data.austintexas.gov/d/u3yy-shmz","Neighborhood Groups Community Registry","dataset","28349","2019-05-07T00:00:00.000","Monthly","City Government","community registry,neighborhood registry,community,neighborhood","AustinGo","Community.Registry@austintexas.gov","Public Domain","City of Austin Development Services Department - Neighborhood Assistance Center","http://www.austintexas.gov/cr",,"Land Development Regulations (CodeNEXT)","N/A","Government that Works for All of Us","N/A","1"
"Animal Services","https://data.austintexas.gov/d/9t4d-g238","Austin Animal Center Outcomes","dataset","26203","2019-05-08T00:00:00.000","Hourly","Health and Community Services","outcomes,animal,cat,dog,pet,no kill,transfer,adoption,missing","duron","AnimalServicesOpenData@austintexas.gov","Public Domain","Austin Animal Center","http://www.austintexas.gov/department/animal-services",,"Healthy Austin","N/A","Health","N/A","1"
"Communication and Technology Management","https://data.austintexas.gov/d/hdpc-ysmz","Council Districts Fill","gis map","24989","2019-04-16T00:00:00.000","Weekly","Locations and Maps","single member districts,council districts,10-1,10-one,agoltosocrata","EGS Data Services",,"Public Domain","Office of the City Clerk",,,"N/A",,"N/A",,"5"
"Animal Services","https://data.austintexas.gov/d/wter-evkm","Austin Animal Center Intakes","dataset","17739","2019-05-08T00:00:00.000","Hourly","Health and Community Services","intakes,animal,cat,dog,pet,no kill,stray,surrendered,lost,found","duron","AnimalServicesOpenData@austintexas.gov","Public Domain","Austin Animal Center","http://www.austintexas.gov/department/animal-services",,"Healthy Austin","Healthy Austin","Health","Health","1"
"Watershed Protection","https://data.austintexas.gov/d/5tye-7ray","Water Quality Sampling Data","dataset","17394","2019-04-18T00:00:00.000","As Needed","Environment","water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli","Rob","robert.clayton@austintexas.gov","Public Domain","City of Austin Watershed Protection Environmental Resource Management","http://www.austintexas.gov/department/watershed-protection",,"Healthy Austin","N/A","Health","N/A","1"
"Public Works","https://data.austintexas.gov/d/e8fp-i3ts","CIVIC Projects List","dataset","16771","2019-05-07T00:00:00.000","Daily","City Government","civic,projects,go,general obligation,capital,improvement,visualization,information,communication,planning","Public Works Department Publisher","christopher.mcconnell@austintexas.gov","Public Domain","City of Austin Public Works","https://austintexas.gov/civic",,"N/A","N/A","Government that Works for All of Us","N/A","1"
