TCAD or WCAD Property ID (s),Auditor,Company,Duct System 1 - Type,Duct System 2 - Type,Duct System 1 - RValue,Duct System 2 - RValue,Duct System 1 - Return Sizing,Duct System 2 - Return Sizing,Duct System 1 - % Leakage,Duct System 2 - % Leakage,System 1 - Location Air Handler,System 2 - Location Air Handler,System 1 - Air Handler Type,System 2 - Air Handler Type,System 1 - Age (years),System 2 - Age (years),System 1 - EER,System 2 - EER,System 1 - sqft/ton,System 2 - sqft/ton,Water Heater - Fuel Type,Water Heating - Tank Type,Toilet Type,Programmable Thermostat Present,Window Screen Area Recommended (sqft),Furnace - Fuel Type,Audit Date,Attic R-Value,Recommended Additional R-Value,Year Built,Bedrooms,Conditioned (sqft),Attic (sqft),Home_Type,As of,Address,Single Member Council Districts,"Boundaries: Zip Code Tabulation Areas, 2017",BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes,Zip Codes
285122,Andy Pell,1 EARTH ENERGY AUDITS,,,,,,,,,,,,,,,,,,,Gas,Tank,Standard,N,0,Gas,06/07/2010 12:00:00 AM,11,27,1947,2,684,684,Single Family,05/20/2014 12:00:00 AM,"6313 CRUMLEY LN
Austin, Tx 78741
(30.240678449000484, -97.69217838499969)",3,8,3,46,114,55,3256
742906,Andy Pell,1 EARTH ENERGY AUDITS,,,,,,,,,,,,,,,,,,,Elec,Tank,Water_Saving,Y,0,Elec,02/13/2013 12:00:00 AM,,,1997,1,422,,Condo,05/20/2014 12:00:00 AM,"304 E 33RD ST 9
Austin, Tx 78705
(30.29637649300048, -97.73355810199968)",9,43,10,19,217,50,2860
772801,Chad Roesch,A-1 ENERGY AUDITS,,,,,,,,,,,,,,,,,,,Gas,Tank,Standard,N,0,Elec,08/02/2010 12:00:00 AM,,,1936,4,1100,,Single Family,05/20/2014 12:00:00 AM,"1151 PERRY RD
Austin, Tx 78721
(30.260265029000436, -97.6842653439997)",3,4,3,31,309,62,2864
501759,James Davis,ENERGY AUDIT MASTERS,,,,,,,,,,,,,,,,,,,Gas,Tank,Water_Saving,N,134,Gas,06/03/2013 12:00:00 AM,3,35,1955,2,1139,1100,Single Family,05/20/2014 12:00:00 AM,"11500 TEDFORD
Austin, Tx 78753
(30.383477972000435, -97.68365537399967)",7,47,7,,217,78,3642
136391,James Davis,ENERGY AUDIT MASTERS,Mylar_Flex,,5,,Adequate,,50.2,,Attic,,Horizontal,,14,,10.5,,581,,Gas,Tank,Water_Saving,Y,92,Gas,02/03/2010 12:00:00 AM,20,18,1990,3,2325,1000,Single Family,05/20/2014 12:00:00 AM,"4805 CANDLE RIDGE DR
Austin, Tx 78731
(30.360122379000472, -97.77711596399968)",10,17,5,,217,66,3247
156439,Steve Doxey,PRECISION INSPECTION,Grey_Flex,Grey_Flex,6,6,Adequate,Adequate,21,16,Attic,Attic,Horizontal,Horizontal,7,5,8,8,510,510,Elec,Tank,Standard,N,0,Elec,08/22/2009 12:00:00 AM,35,,1991,3,2553,1275,Single Family,05/20/2014 12:00:00 AM,"5806 PAINTED VALLEY DR
Austin, Tx 78759
(30.408157513000447, -97.76056737699969)",10,51,5,,540,58,3647
325429,Ben Stark,AUSTIN AUDITORS,Grey_Flex,,6,,Adequate,,14.7,,Attic,,Horizontal,,10,,11,,576,,Elec,Tank,Water_Saving,Y,15,Elec,06/29/2012 12:00:00 AM,,0,1967,3,864,864,Single Family,05/20/2014 12:00:00 AM,"5711 BLYTHEWOOD DR
Austin, Tx 78745
(30.20562703200045, -97.78184292699967)",2,5,4,1,373,23,3259
114705,James Davis,ENERGY AUDIT MASTERS,,,,,Adequate,,4.7,,Closet,,Up Flow,,,,8.5,,442,,Gas,Tank,Standard,Y,92,Gas,10/06/2009 12:00:00 AM,,,1955,2,1327,,Single Family,05/20/2014 12:00:00 AM,"1803 EXPOSITION BLVD
Austin, Tx 78703
(30.293004478000455, -97.77051523299968)",10,26,5,6,126,69,2858
733527,Jeff Geissen,AUSTIN GREEN & CONSERVATION,Mylar_Flex,,8,,Adequate,,8,,Attic,,Horizontal,,6,,7,,625,,Gas,Tank,Water_Saving,Y,0,Gas,09/28/2009 12:00:00 AM,27,,2008,3,1563,1563,Single Family,05/20/2014 12:00:00 AM,"7701 STEPHANYTAYLOR CV
Austin, Tx 78745
(30.188880665000454, -97.79956879999969)",5,5,1,,373,23,3259
118300,Greg Schroeder,GREEN ZONE HOME,Mylar_Flex,,6,,Adequate,,9.3,,Attic,,Horizontal,,15,,9,,572,,Gas,Tank,Water_Saving,Y,0,Gas,02/12/2013 12:00:00 AM,28,10,1999,3,1715,1565,Single Family,05/20/2014 12:00:00 AM,"2800 OAKMONT BLVD
Austin, Tx 78703
(30.302524763000463, -97.75772716399968)",10,26,5,52,126,69,2858
101076,Roland Huettel,"ECO.INSPECTIONS, INC",Sheet_Metal,,2,,Adequate,,,,Closet,,Up Flow,,16,,,,,,Elec,Tank,Water_Saving,Y,0,Gas,11/20/2013 12:00:00 AM,19,19,1975,3,3093,3093,Duplex,05/20/2014 12:00:00 AM,"2007 WESTRIDGE DR APT B
Austin, Tx 78704
(30.25421151200044, -97.77976784099968)",5,9,1,93,217,75,2859
426034,Jay Hill,ADVANCED ENERGY SOLUTIONS,Sheet_Metal,,4,,Adequate,,23,,Closet,,Up Flow,,9,,9,,310,,Elec,Tank,Water_Saving,N,0,Gas,10/31/2013 12:00:00 AM,11,27,1968,1,620,,Condo,05/20/2014 12:00:00 AM,"5601 WOODROW AVE 102
Austin, Tx 78756
(30.327714785000467, -97.73354507399966)",7,12,7,25,217,7,3644
242093,Wayne Morgan,A-1 AUSTIN AUDITS AND CONSULTING,Sheet_Metal,,6,,Inadequate,,13,,Closet,,Up Flow,,3,,,,580,,Gas,Tank,Standard,Y,0,Gas,02/19/2010 12:00:00 AM,22,16,1970,4,1740,1295,Single Family,05/20/2014 12:00:00 AM,"1405 BRIGHTON CIRCLE
Austin, Tx 78753
(30.353974330000483, -97.67603962099969)",4,47,9,40,217,78,3642
248680,Efrain Ramirez,"EARTH ANGELS ENERGY AUDITS, LLC",Sheet_Metal,,4,,Adequate,,15,,Closet,,Up Flow,,,,7,,426,,Gas,Tank,Water_Saving,Y,0,Gas,09/19/2012 12:00:00 AM,7,31,1966,3,1064,1064,Single Family,05/20/2014 12:00:00 AM,"3103 CANDLELIGHT CT
Austin, Tx 78757
(30.36757372000045, -97.7352790489997)",7,3,7,95,217,16,3645
303348,James Davis,ENERGY AUDIT MASTERS,Sheet_Metal,,3,,Adequate,,14.5,,Garage,Closet,Up Flow,,,,11,,504,,Gas,Tank,Water_Saving,Y,0,Gas,03/12/2012 12:00:00 AM,30,8,1950,3,1767,1767,Single Family,05/20/2014 12:00:00 AM,"2508 PARAMOUNT AVENUE
Austin, Tx 78794
(30.247876105000444, -97.78033635699967)",5,9,1,2,217,75,2859
246120,James Davis,ENERGY AUDIT MASTERS,Duct_Board,,4,,Adequate,,34.3,,Closet,,Up Flow,,,,10,,392,,Gas,Tank,Water_Saving,Y,84,Gas,08/08/2012 12:00:00 AM,19,19,1964,3,980,900,Single Family,05/20/2014 12:00:00 AM,"8310 WEYBURN DR
Austin, Tx 78757
(30.36241680100045, -97.72519617099965)",7,3,7,9,217,16,3645
347926,William Sherman,AXIS GREEN SERVICES,Grey_Flex,,6,,Inadequate,,8,,Closet,,Up Flow,,21,,4,,565,,Gas,Tank,Standard,N,222,Gas,09/24/2013 12:00:00 AM,26,12,1993,3,1696,840,Single Family,05/20/2014 12:00:00 AM,"824 SWEETWATER RIVER DR
Austin, Tx 78748
(30.163181346000442, -97.81550029299967)",5,37,1,,163,22,3637
499768,Chad Roesch,A-1 ENERGY AUDITS,Grey_Flex,,6,,Adequate,,21,,Closet,Attic,Up Flow,Horizontal,12,,12,,457,,Gas,Tank,Standard,N,0,Gas,04/06/2012 12:00:00 AM,17.6,20.4,1983,2,913,913,Duplex,05/20/2014 12:00:00 AM,"6708 WENTWORTH B
Austin, Tx 78724
(30.293917658000453, -97.63101547499969)",1,46,8,,309,8,3240
585705,Gary Cremeans,FOX SERVICE COMPANY,Sheet_Metal,,4,,Adequate,,11,,Closet,,Up Flow,,17,,10,,564,,Elec,Tank,Water_Saving,Y,0,Elec,07/02/2013 12:00:00 AM,18,20,1968,4,2820,2820,Single Family,05/20/2014 12:00:00 AM,"12010 W COW PATH
Austin, Tx 78727
(30.423149769000474, -97.74099264099965)",6,24,6,,540,36,3243
156568,Dennis Williams,QUALITY HOME INSPECTIONS,Duct_Board,Duct_Board,4,4,Adequate,Adequate,20,34,Closet,Attic,Up Flow,Horizontal,11,20,,,499,499,Gas,Tank,Water_Saving,Y,0,Gas,10/12/2013 12:00:00 AM,34,,1982,3,2746,1373,Single Family,05/20/2014 12:00:00 AM,"10506 FLORAL PARK DR
Austin, Tx 78759
(30.409717381000462, -97.76334600199965)",10,51,5,,540,58,3647
317244,Beau Delozier,GREENLIFE ENERGY SOLUTIONS,Mylar_Flex,,6,,Inadequate,,16,,Closet,,Up Flow,,17,,,,440,,Gas,Tank,Water_Saving,N,46,Gas,05/06/2010 12:00:00 AM,17,21,1972,4,1320,1000,Single Family,05/20/2014 12:00:00 AM,"5238 MEADOW CREEK DR
Austin, Tx 78745
(30.215886387000467, -97.78713013099969)",3,5,3,58,373,23,3259
202605,Brady Zaitoon,1 EARTH ENERGY AUDITS,Mylar_Flex,,6,,Adequate,,10,,Attic,,Horizontal,,14,,9.5,,456,,Gas,Tank,Water_Saving,N,65,Gas,04/16/2010 12:00:00 AM,12,26,1945,2,1140,1140,Single Family,05/20/2014 12:00:00 AM,"1701 PEREZ ST
Austin, Tx 78721
(30.282446652000488, -97.69262964499967)",1,4,8,67,309,62,2864
