"agency_name","alias","location_address","location_city","location_state","location_zip","website","main_phone","vendor_code","location_1"
"African American Youth Harvest Foundation",,"6633 Hwy 290 East Suite 307","Austin","TX","78723","http://www.aayhf.org","(512)291-6081","VS0000010874","6633 Hwy
Austin, TX 78723
(30.320637, -97.693001)"
"AIDS Services of Austin, Inc.","ASA","7215 Cameron Road","Austin","TX","78752","http://www.asaustin.org","(512)458-2437","AID0089750","7215 Cameron Road
Austin, TX 78752
(30.327117, -97.691049)"
"Allison Orr Dance Inc","FORKLIFT DANCEWORKS","2023 E. CESAR CHAVEZ","Austin","TX","78702","http://WWW.FORKLIFTDANCEWORKS.ORG","(512)222-5287","ALL8317441","2023 E CESAR
CHAVEZ Austin, TX 78702
(30.25614, -97.722513)"
"Amala Foundation",,"1006 South 8th St.","Austin","TX","78704","http://amalafoundation.org","(512)476-8884","V00000918316","1006 S 8th St
Austin, TX 78704
(30.255284, -97.76101)"
"American Gateways",,"314 E Highland Mall Blvd #501","Austin","TX","78752","https://americangateways.org","(512)478-0546","V00000952589","314 E Highland Mall Blvd
Austin, TX 78752
(30.329405, -97.711397)"
"Any Baby Can of Austin, Inc.",,"6207 Sheridan Ave","Austin","TX","78723","http://www.anybabycan.org","(512)454-3743","ANY7164340","6207 Sheridan Ave
Austin, TX 78723
(30.321197, -97.70054)"
"APH Communicable Disease Unit","City of Austin Health and Human Service Dept., Communicable Disease Unit","15 Waller","Austin","TX","78702","http://www.austintexas.gov/department/health","(512)972-5000","N/A","15 Waller
Austin, TX 78702
(30.252794, -97.733436)"
"Asian American Resource Center",,"8401 Cameron Road","Austin","TX","78754","http://www.austintexas.gov/aarc","(512)974-1690","VS0000036747","8401 Cameron Road
Austin, TX 78754
(30.339874, -97.681025)"
"Austin Child Guidance Center",,"810 W. 45th Street","Austin","TX","78751","http://www.austinchildguidance.org","(512)451-2242","AUS0409750","810 W 45th Street
Austin, TX 78751
(30.313629, -97.735955)"
"Austin Clubhouse, Inc.",,"610 E 45th Street","Austin","TX","78751","http://www.austinclubhouse.org","(512)925-5877","V00000939297","610 E 45th Street
Austin, TX 78751
(30.306831, -97.722315)"
"Austin Community College District",,"5930 Middle Fiskville Road","Austin","TX","78752","http://www.austincc.edu","(512)223-7000","AUS0417500","5930 Middle Fiskville Road
Austin, TX 78752
(30.322743, -97.712533)"
"Austin Independent School District",,"1111 West Sixth Street","Austin","TX","78703","http://www.austinisd.org","(512)414-1700","AUS0442250","1111 West Sixth Street
Austin, TX 78703
(30.271564, -97.756517)"
"Austin Latino/a Lesbian & Gay Organization","allgo","701 Tillery Street Suite A-1","Austin","TX","78702","http://www.allgo.org","(512)472-2001","INF6041755","701 Tillery Street
Austin, TX 78702
(30.260398, -97.704294)"
"Austin Recovery Inc",,"4201 S. Congress Avenue, Suite 202","Austin","TX","78745","http://www.austinrecovery.org","(512)697-8500","VS0000012961","4201 S Congress Avenue
Austin, TX 78745
(30.220279, -97.764172)"
"SIMS Foundation",,"3010-B South Lamar","Austin","TX","78704","https://simsfoundation.org/","(512)472-1008","V00000938084","3010 S Lamar Blvd
Austin, TX 78704
(30.243123, -97.783759)"
"Austin Revitalization Authority",,"1154 Lydia Street #200","Austin","TX","78702","http://www.austinrev.org","(512)469-1706","AUS7079485","1154 Lydia Street
Austin, TX 78702
(30.269236, -97.727762)"
"Austin Tenants'  Council",,"205 Chicon St, Austin TX 78702","Austin","TX","78702","http://www.housing-rights.org","(512)474-7007","AUS0492750","205 Chicon St
Austin, TX 78702
(30.258914, -97.723665)"
"Austin Theatre Alliance (The)","Paramount and Stateside Theatres","713 Congress Ave.","Austin","TX","78704","http://www.austintheatre.org","512) 472-5470","AUS7163970","713 Congress Ave
Austin, TX 78704
(30.269359, -97.74184)"
"Austin Travis County Mental Health & Mental Retardation Ctr","Austin Travis County Integral Care","1430 Collier Street","Austin","TX","78704","http://www.integralcare.org","(512)447-4141","AUS0510500","1430 Collier Street
Austin, TX 78704
(30.25267, -97.766053)"
"Austin Youth And Community Farm","Urban Roots","4900 Gonzales Street","Austin","TX","78702","http://www.urbanrootsatx.org","(512)750-8019","V00000914155","4900 Gonzales Street
Austin, TX 78702
(30.255454, -97.697808)"
"Austin-Travis County Sobriety Center Local Government Corporation",,"1213 Sabine St","Austin","TX","78701","http://www.austintexas.gov/department/sobriety-center-local-government-corporation","(512)957-1900","V00000943106","1213 Sabine St
Austin, TX 78701
(30.273111, -97.733491)"
"Autism Society of Central Texas",,"300 E. Highland Mall Blvd, Suite 205","Austin","TX","78752","http://www.austinautismsociety.org","(512)479-4199 Ext 1","V00000939314","300 E Highland Mall Blvd
Austin, TX 78752
(30.328993, -97.712309)"
"Breakthrough",,"1050 East 11th Street","Austin","TX","78702","https://breakthroughctx.org","(512)692-9444","VC0000101868","1050 E 11th St
Austin, TX 78702
(30.269652, -97.729119)"
