"fiscal_year","authorized_pay_stations_via_western_union_ex_ace_cash_express_heb_money_box_randalls_","online_banking_via_customers_bank_","bill_matrix_via_phone_or_austin_energy_website_credit_debit_e_check_","austin_energy_website_registered_with_online_customer_care_e_check_","electronic_fund_transfer_draft_by_ae_","misc_ex_collections_irs_","walk_in_payment_centers","mail","_manual_payments","_electronic_payments"
"2016-01-01T00:00:00.000","9.56","17.05","6.61","24.27","19.73","0.09","3.68","19.01","22.69","77.31"
"2015-01-01T00:00:00.000","10.74","19.14","6.64","22.64","15.72","0.11","3.77","21.24","25.01","74.99"
"2014-01-01T00:00:00.000","11.56","19.92","5.42","22.90","12.72","0.03","3.34","24.11","27.45","72.55"
"2013-01-01T00:00:00.000","12.24","22.01","4.34","19.80","11.72","0.01","2.63","27.25","29.59","70.41"
"2012-01-01T00:00:00.000","10.94","18.16","3.87","11.59","8.27","0.27","2.02","44.88","46.90","53.10"
"2011-01-01T00:00:00.000","4.78","22.26","13.21","14.29","6.60","0.36","2.73","35.77","38.50","61.50"
"2010-01-01T00:00:00.000","13.05","16.87","4.79","9.59","5.54","0.32","1.24","48.59","49.83","50.17"
"2009-01-01T00:00:00.000","12.83","15.26","4.24","7.94","4.60","0.34","1.36","53.43","54.79","45.21"
"2008-01-01T00:00:00.000","12.57","13.90","3.89","5.82","4.21","0.34","1.38","57.89","59.27","40.73"
"2007-01-01T00:00:00.000","11.99","12.25","3.47","3.37","3.76","0.41","1.36","63.40","64.76","35.24"
"2006-01-01T00:00:00.000","11.44","8.83","2.98","0.64","3.07","0.46",,"72.57","72.57","27.43"
