"business_name","inspection_score","last_inspection_date","business_license","zip_code","inspection_type","location_1"
"Dar-Us-Sunnah Masjid & Community Center","100","2018-01-10T00:00:00.000","09FOOD-0015","60201","routine","2045 BROWN AVE
Evanston, IL 60201
(42.055404, -87.700409)"
"Subway #46751","100","2018-01-10T00:00:00.000","09FOOD-0032","60202","routine","1900 DEMPSTER ST C
Evanston, IL 60202
(42.041109, -87.70006)"
"Shop Now Food and Grocery","100","2018-02-22T00:00:00.000","11FOOD-0003","60201","routine","1942 MAPLE AVE
Evanston, IL 60201
(42.053605, -87.684713)"
"First Church of God Christian Life Center","100","2018-03-29T00:00:00.000","09FOOD-0396","60201","routine","1524 SIMPSON ST
Evanston, IL 60201
(42.055728, -87.693729)"
"Norris Center Bookstore #668","100","2018-04-26T00:00:00.000","13FOOD-0013","60208","routine","1999 CAMPUS DR
Evanston, IL 60208
(42.053678, -87.6734)"
"Food 4 Less Fuel Center","100","2018-06-18T00:00:00.000","13FOOD-0018","60202","routine","2420 MAIN ST
Evanston, IL 60202
(42.03367, -87.708351)"
"Oakton Shell","100","2018-06-20T00:00:00.000","09FOOD-0153","60202","routine","2494 OAKTON ST
Evanston, IL 60202
(42.026413, -87.708347)"
"Walgreens #4218","100","2018-06-25T00:00:00.000","09FOOD-0311","60202","routine","900 DODGE AVE
Evanston, IL 60202
(42.034193, -87.699308)"
"Summer Food - Mason Park Site# 18796","100","2018-07-17T00:00:00.000","17FOOD-0020","60201","routine","1634 CHURCH AVE
Evanston, IL 60201
(42.048446, -87.69541)"
"Summer Food - Salvation Army Evanston","100","2018-07-17T00:00:00.000","18FOOD-0020","60201","routine","1403 SHERMAN AVE
Evanston, IL 60201
(42.042791, -87.681809)"
"Summer Food - Robert Crown Community Center Site# 18094","100","2018-07-17T00:00:00.000","17FOOD-0017","60202","routine","1701 MAIN ST
Evanston, IL 60202
(42.033952, -87.695914)"
"Summer Food - Fleetwood Jourdain Community Center Site#18095","100","2018-07-17T00:00:00.000","17FOOD-0019","60201","routine","1655 FOSTER ST
Evanston, IL 60201
(42.053862, -87.695176)"
"Summer Food - Oakton School Site# 11140","100","2018-07-17T00:00:00.000","17FOOD-0023","60202","routine","436 RIDGE AVE
Evanston, IL 60202
(42.026243, -87.685417)"
"Papa John's","100","2018-07-18T00:00:00.000","18FOOD-0009","60201","routine","1743 BENSON AVE
Evanston, IL 60201
(42.049762, -87.683362)"
"7-Eleven #33961B","96","2018-07-25T00:00:00.000","13FOOD-0014","60201","routine","817 DAVIS ST
Evanston, IL 60201
(42.046992, -87.68298)"
"Starbucks #243","99","2018-07-27T00:00:00.000","13FOOD-0045","60201","routine","1734 SHERMAN AVE
Evanston, IL 60201
(42.049558, -87.681792)"
"Starbucks #241","100","2018-07-30T00:00:00.000","09FOOD-0307","60202","routine","528 DEMPSTER ST
Evanston, IL 60202
(42.041205, -87.680319)"
"Beer on Central","100","2018-07-31T00:00:00.000","17FOOD-0032","60201","routine","1930 CENTRAL ST
Evanston, IL 60201
(42.064322, -87.700073)"
"Levy at Ryan Fieldhouse & Walter Athletics Center","100","2018-07-31T00:00:00.000","16FOOD-0021","60208","routine","2255 CAMPUS DR
Evanston, IL 60208
(42.058257, -87.672887)"
"Beth's Little Bake Shop","100","2018-08-01T00:00:00.000","14FOOD-0029","60201","routine","1814 CENTRAL ST
Evanston, IL 60201
(42.064302, -87.697817)"
"Furious Spoon","94","2018-08-01T00:00:00.000","17FOOD-0016","60201","routine","1700 MAPLE AVE
Evanston, IL 60201
(42.04893, -87.684846)"
"Starbucks #8667","100","2018-08-02T00:00:00.000","09FOOD-0306","60201","routine","3330 CENTRAL ST
Evanston, IL 60201
(42.064577, -87.726773)"
"Subway #3020","100","2018-08-02T00:00:00.000","09FOOD-0039","60201","routine","1551 SHERMAN AVE
Evanston, IL 60201
(42.045602, -87.681896)"
"Bake Homemade Pizza","100","2018-08-03T00:00:00.000","17FOOD-0040","60201","routine","2122 CENTRAL ST
Evanston, IL 60201
(42.064349, -87.703163)"
"Backlot Coffee","97","2018-08-03T00:00:00.000","17FOOD-0008","60201","routine","2006 CENTRAL ST
Evanston, IL 60201
(42.064339, -87.70131)"
"Subway #46614","100","2018-08-08T00:00:00.000","10FOOD-0044","60201","routine","1133 EMERSON ST
Evanston, IL 60201
(42.052151, -87.687242)"
"Pizza Hut #32451","97","2018-08-09T00:00:00.000","16FOOD-0040","60202","routine","951 HOWARD ST
Evanston, IL 60202
(42.019514, -87.685188)"
