calendar,event_id,title,start_date,end_date,all_day,description,location_name,address,age_groups,event_types,detail_url,signup_url,id,california_census_zipcodes,Census Tracts
cityhall,4445,Santa Monica Rent Control Regular Board Meeting,03/10/2022 07:00:00 PM,03/10/2022 07:00:00 PM,false,The Rent Control Board meets to conduct business associated with the Rent Control Charter Amendment and Regulations.,City Hall,"1685 Main St.
Santa Monica, CA 90401
(34.01125, -118.491583)",All Ages,Community/Government Meetings,www.santamonica.gov/rentcontrol (http://www.santamonica.gov/rentcontrol),http://calendar.smgov.net/cityhall/eventsignup.asp?ID=4445,cityhall_4445,368,15
cityhall,4444,Santa Monica Rent Control Regular Board Meeting,02/10/2022 07:00:00 PM,02/10/2022 07:00:00 PM,false,The Rent Control Board meets to conduct business associated with the Rent Control Charter Amendment and Regulations.,City Hall,"1685 Main St.
Santa Monica, CA 90401
(34.01125, -118.491583)",All Ages,Community/Government Meetings,www.santamonica.gov/rentcontrol (http://www.santamonica.gov/rentcontrol),http://calendar.smgov.net/cityhall/eventsignup.asp?ID=4444,cityhall_4444,368,15
cityhall,4517,Planning Commission ,02/02/2022 05:30:00 PM,02/02/2022 05:30:00 PM,false,"Established in 1946, the Planning Commission envisions Santa Monica as a city of wellbeing, sustainability, and equity, and seeks to balance the many needs and priorities within our community in accordance with the Citys General Plan and Specific Plans. The Commission acts through open and civil discourse that is informed by public input, impartial analysis, and best practices in land use and planning.",Virtual,"1685 Main St
Santa Monica, CA 91401
(34.011479, -118.492145)",Adults,Community/Government Meetings,https://www.smgov.net/Departments/PCD/Boards-Commissions/Planning-Commission/,http://calendar.smgov.net/cityhall/eventsignup.asp?ID=4517,cityhall_4517,368,15
cityhall,4516,Planning Commission ,01/19/2022 05:30:00 PM,01/19/2022 05:30:00 PM,false,"Established in 1946, the Planning Commission envisions Santa Monica as a city of wellbeing, sustainability, and equity, and seeks to balance the many needs and priorities within our community in accordance with the Citys General Plan and Specific Plans. The Commission acts through open and civil discourse that is informed by public input, impartial analysis, and best practices in land use and planning.",Virtual,"1685 Main St
Santa Monica, CA 91401
(34.011479, -118.492145)",Adults,Community/Government Meetings,https://www.smgov.net/Departments/PCD/Boards-Commissions/Planning-Commission/,http://calendar.smgov.net/cityhall/eventsignup.asp?ID=4516,cityhall_4516,368,15
cityhall,4443,Santa Monica Rent Control Regular Board Meeting,01/13/2022 07:00:00 PM,01/13/2022 07:00:00 PM,false,The Rent Control Board meets to conduct business associated with the Rent Control Charter Amendment and Regulations.,City Hall,"1685 Main St.
Santa Monica, CA 90401
(34.01125, -118.491583)",All Ages,Community/Government Meetings,www.santamonica.gov/rentcontrol (http://www.santamonica.gov/rentcontrol),http://calendar.smgov.net/cityhall/eventsignup.asp?ID=4443,cityhall_4443,368,15
cityhall,4515,Planning Commission ,01/05/2022 05:30:00 PM,01/05/2022 05:30:00 PM,false,"Established in 1946, the Planning Commission envisions Santa Monica as a city of wellbeing, sustainability, and equity, and seeks to balance the many needs and priorities within our community in accordance with the Citys General Plan and Specific Plans. The Commission acts through open and civil discourse that is informed by public input, impartial analysis, and best practices in land use and planning.",Virtual,"1685 Main St
Santa Monica, CA 91401
(34.011479, -118.492145)",Adults,Community/Government Meetings,https://www.smgov.net/Departments/PCD/Boards-Commissions/Planning-Commission/,http://calendar.smgov.net/cityhall/eventsignup.asp?ID=4515,cityhall_4515,368,15
library,33662,Main Library Book Group,12/20/2021 07:00:00 PM,12/20/2021 08:00:00 PM,false,"Join a community discussion of current and classic books, alternating fiction and nonfiction each month. December's title is 'Rosalind Franklin: Dark Lady of DNA' by Brenda Maddox. Email jeff.schwartz@smgov.net for the Zoom link.",Virtual,"Virtual
Santa Monica, CA 90401","50+/Seniors, Adults, Teens",Book Discussions,http://calendar.smgov.net/library/eventsignup.asp?ID=33662,http://calendar.smgov.net/library/eventsignup.asp?ID=33662,library_33662,,
cityhall,4461,Architectural Review Board Meeting,12/20/2021 07:00:00 PM,12/20/2021 07:00:00 PM,false,"The Architectural Review Board established in 1974, acts to preserve existing areas of natural beauty, cultural importance and assure that buildings, structures, signs or other developments are in good taste, good design, harmonious with surrounding developments, and in general contribute to the preservation of Santa Monica's reputation as a place of beauty, spaciousness and quality.",Virtual,"1685 Main St
Santa Monica, CA 91401
(34.011479, -118.492145)",Adults,Community/Government Meetings,https://www.smgov.net/Departments/PCD/Boards-Commissions/Architectural-Review-Board/,http://calendar.smgov.net/cityhall/eventsignup.asp?ID=4461,cityhall_4461,368,15
other,1103,"Commission on Sustainability, Environmental Justice, and the Environment",12/20/2021 07:00:00 PM,12/20/2021 10:00:00 PM,false,"The Task Force on the Environment was established in 1991 by the Santa Monica City Council to advise City Council on environmental program and policy issues. The Task Force on the Environment was the driving force behind the development of Santa Monicas Sustainable City Plan in the early 1990s and continues to closely monitor the plan and advise Council on plan implementation. On July 27, 2021, the Task Force became a permenant commission named the Commission on Sustainability, Environmental Justice, and the Environment.<br /><br />The Commission is an expert panel made up of seven members selected by City Council. Commissioners must have significant expertise in one or more areas of environmental policy and must reside or work in Santa Monica.",,"other
Santa Monica, CA 90401","50+/Seniors, Adults, Teens","Community/Government Meetings, Sustainability","https://www.smgov.net/Departments/OSE/Commission_on_Sustainability,_Environmental_Justice,_and_the_Environment/Commission_on_Sustainability,_Environmental_Justice_and_the_Environment.aspx",http://calendar.smgov.net/other/eventsignup.asp?ID=1103,other_1103,,
beaches,27955,Guest House OPEN 12pm-2pm,12/19/2021 12:00:00 PM,12/19/2021 02:00:00 PM,false,"Santa Monica Conservancy docents share the rich history of the Beach House site from the 1920s onward. <br />Free 20-minute visits docent tours are available on a walk-up basis, for groups of up to six people on Fridays, Saturdays, and Sundays from 12pm  2pm. Just head to the Marion Davies Guest House where you will be greeted by a docent. Please note masks are required while indoors. <br />Schedule subject to change, call Guest Services at 310-458-4904 to confirm dates and hours.",Annenberg Community Beach House,"415 Pacific Coast Highway
Santa Monica, CA 90402
(34.024715, -118.512795)",All Ages,Tour,http://annenbergbeachhouse.com/activities/cultural-programs-events-and-tours.aspx#Guest_House,http://calendar.smgov.net/beaches/eventsignup.asp?ID=27955,beaches_27955,366,5
