Library Name,Street Address,Zip Code,Phone Number,Total Days Open Per Week,Total Hours Open Per Week,Location 1
Potola Valley Library,765 Portola Road,94028,6508510560,6,44,"765 Portola Road
Portolla Valley, California 94028
(37.38208000600048, -122.22822922799969)"
Brisbane Library,250 Visitacion Avenue,94005,4154672060,6,43,"250 Visitacion Avenue
Brisbane, California 94005
(37.682750807000446, -122.40347985499972)"
Foster City Library,1000 East Hillsdale Boulevard,94404,6505744842,7,60,"1000 East Hillsdale Boulevard
Foster City, California 94404
(37.55915008600044, -122.27081988899971)"
Half Moon Bay Library,620 Correas Street,94019,6507262316,7,56,"620 Correas Street
Half Moon Bay, California 94019
(37.46174074400045, -122.43103899199969)"
Woodside Library,3140 Woodside Road,94062,6508510147,6,44,"3140 Woodside Road
Woodside, California 94062
(37.42868060900048, -122.25752946399967)"
Atherton Library,2 Dinkelspiel Station Lane,94027,6503282422,7,57,"2 Dinkelspiel Station Lane
Atherton, California 94027
(37.46433543700044, -122.19814571099971)"
Pacifica Sharp Park Library,104 Hilton Way,94044,6503555196,5,41,"104 Hilton Way
Pacifica, California 94044
(37.632240510000486, -122.49223901399972)"
Millbrae,1 Library Avenue,94030,6506977607,7,60,"1 Library Avenue
Millbrae, California 94030
(37.60312708000049, -122.39644059999972)"
San Carlos Library,"610 Elm Street, 2nd Floor",94070,6505910341,5,40,"610 Elm Street, 2nd Floor
San Carlos, California 94070
(37.50496558600048, -122.26287815899968)"
Belmont Library ,1110 Alameda de las Pulgas,94002,6505918286,7,60,"1110 Alameda de las Pulgas
Belmont, California 94002
(37.50911107200045, -122.29269942699972)"
Pacifica Sanchez Library,1111 Terra Nova Boulevard,94044,6503593397,5,33,"1111 Terra Nova Boulevard
Pacifica, California 94044
(37.58459017700045, -122.4756691929997)"
East Palo Alto Library,2415 University Avenue,94303,6503217712,6,55,"2415 University Avenue
East Palo Alto, California 94303
(37.47229104000047, -122.13953920599971)"
