"fiscal_year","unique_count_of_invididuals_mc_full_scope_child_enrollment","healthy_families","healthy_kids","unique_count_of_individuals_mc_full_scope_adult_enrollment","ace_mce_coverage_initiative","ace","covered_ca_subsidized_plans","total","fiscal_year_1"
"2009-07-01T00:00:00.000","30080","10245","5954","25658","3141","20436",,"95514","FY 2009-10"
"2010-07-01T00:00:00.000","31517","10501","5181","27069","7237","20220",,"101725","FY 2010-11"
"2011-07-01T00:00:00.000","32990","10800","4732","28957","8074","21005",,"106558","FY 2011-12"
"2012-07-01T00:00:00.000","33895","3630","4401","29156","9259","21618",,"101959","FY 2012-13"
"2013-07-01T00:00:00.000","38583",,"3800","31953",,"20000","22038","116374","FY 2013-14"
"2014-07-01T00:00:00.000","46638",,"3111","68186","17660","18451","29000","165386","FY 2014-15"
"2016-06-30T00:00:00.000","44447",,"2303","50092","35064","19759","21320","167921","FY 2015-16"
"2017-06-30T00:00:00.000","49569",,"1216","71342","35537","21506","24730","168363","FY 2016-17"
"2018-06-30T00:00:00.000","47303",,"1562","68448","33763","21050","25210","163573","FY 2017-18"
"2019-06-30T00:00:00.000","44074",,"1580","64773","31669","22338","24090","156885","FY 2018-19"
"2020-06-30T00:00:00.000","45992","0","0","58939","32599","22339","27680","154950","FY 2019-20"
