"bill_number","title","sponsor","final_status"
"HB 1020","Developmental Disabilities Administration - Self-Directed Services (Self-Direction Act of 2022)","Karen Young","House - Returned Passed"
"SB 0937","Maryland Higher Education Commission - Access to Mental Health Advisory Committee - Establishment","Adelaide Eckardt","Senate - First Reading Senate Rules"
"SB 0742","Election Law - Postelection Tabulation Audits - Risk""Limiting Audits","Mary Washington","Senate - Hearing 2/23 at 1:00 p.m."
"SB 0724","Gross Receipts Tax on Short-Term Lease or Rental of Heavy Equipment - Alterations","Nancy King","House - Favorable Adopted Second Reading Passed"
"HB 0483","Homeowners' Property Tax Credit - Identification of Eligible Homeowners","Julian Ivey","House - Approved by the Governor - Chapter 112"
"HB 1419","Highways - Proposed Expressway Expansion - Rail Evaluation","Kumar Barve","House - Hearing 3/11 at 2:00 p.m."
"HB 0003","Sales and Use Tax - Diapers - Exemption","Brian Crosby","House - Withdrawn by Sponsor"
"HB 0060","Environment - New Motor Vehicles - Pollution Fee","David Fraser-hidalgo","House - Hearing 1/26 at 1:00 p.m."
"SB 0154","Advanced Practice Registered Nurse Compact","Adelaide Eckardt","Senate - Hearing 2/10 at 1:00 p.m."
"SB 0041","Family Law - Child Custody and Visitation","Susan Lee","Senate - Hearing 1/26 at 1:00 p.m."
"SB 0012","Behavioral Health Crisis Response Services and Public Safety Answering Points - Modifications","Malcolm Augustine","Senate - Passed Enrolled"
"HB 0869","Wetlands and Waterways Program Division - Permitting for Ecological Restoration Projects - Required Study","James Gilchrist","House - Returned Passed"
"HB 0024","Cybersecurity Scholarship Program - Alterations","Eric Luedtke","House - Passed Enrolled"
"HB 1472","Income Tax - Subtraction Modification - Volunteer Fire, Rescue, and Emergency Medical Services","Edith Patterson","House - Hearing 3/15 at 1:00 p.m."
"SB 0810","Cybersecurity - Critical Infrastructure and Public Service Companies (Critical Infrastructure Security Act of 2022)","Katie Hester","Senate - Withdrawn by Sponsor"
"SB 0010","Workers' Compensation - COVID-19 Occupational Disease Presumption","Michael Jackson","Senate - Hearing 3/08 at 1:00 p.m."
"SB 0165","Juvenile Court - Jurisdiction","Jill Carter","Senate - Hearing 1/27 at 2:00 p.m."
"HB 1120","Correctional Services - Pregnant Incarcerated Individuals - Substance Abuse Assessment and Treatment","Wanika Fisher","House - Hearing 3/08 at 1:00 p.m."
"HB 0478","Economic Development - Enterprise Zone Program - Alterations","Julie Palakovich Carr","House - Passed Enrolled"
"SB 0789","Public Utilities - Underground Facilities - One-Call System","Brian Feldman","House - Favorable Adopted Second Reading Passed"
"HB 1253","Alcohol and Tobacco Commission - Clarifications","C.T. Wilson","House - Returned Passed"
"SB 0540","Higher Education - Transfer Platform - Established (Transfer With Success Act 2.0)","Sarah Elfreth","House - Hearing 4/04 at 1:00 p.m."
"SB 0811","State Government - Information Technology and Cybersecurity-Related Infrastructure (Modernize Maryland Act of 2022)","Katie Hester","House - Third Reading Passed (115-15)"
"SB 0840","COVID-19 Response Act of 2022","James Rosapepe","Senate - Hearing 3/02 at 1:00 p.m. (Finance)"
"SB 0608","Report on the Public or Private Conversion of State Property to Affordable Housing","Craig Zucker","Senate - Hearing 2/10 at 1:00 p.m."
"HB 0503","Montgomery County - Board of Education Residence Districts - Ken Gar Neighborhood MC 26-22","Montgomery County Delegation","House - Returned Passed"
"HB 1053","Criminal Procedure - Location Information - Exigent Circumstances (Kelsey Smith Act for Maryland)","Nicole Williams","House - Hearing 2/22 at 1:00 p.m. (Judiciary) and Hearing canceled (Economic Matters)"
"SB 0497","Deer Management Permit - Hunting on State Land Leased by Permit Holder - Authorization","Jason Gallion","House - Hearing 3/23 at 1:00 p.m."
"SB 0949","Scholarships and Police Officer Recruitment","William Smith","House - Referred Rules and Executive Nominations"
"HB 0919","Income Tax - Child Tax Credit - Alterations and Sunset Extension","Julie Palakovich Carr","House - Hearing 2/23 at 1:00 p.m."
"HB 0715","Administrative Services Organizations - Requirements for Retraction, Repayment, or Mitigation of Claims","Geraldine Valentino-Smith","House - Hearing 3/02 at 1:30 p.m."
"SB 0310","Anne Arundel County and City of Annapolis - Small, Minority, and Women-Owned Businesses Account - Local State of Emergency","Sarah Elfreth","Senate - Passed Enrolled"
"SB 0754","Local Government Cybersecurity - Coordination and Operations (Local Cybersecurity Support Act of 2022)","Katie Hester","Senate - Passed Enrolled"
"HB 0438","Washington Metropolitan Area Transit Authority - Funding Formulas - Alteration (WMATA Dedicated Funding Amendment Act of 2022)","Marc Korman","House - House Conference Committee Appointed (Delegates Korman, J. Lewis and Metzgar)"
"SB 0095","Public Schools - Anaphylactic Food Allergies - Guidelines and Requirements","Clarence Lam","Senate - Hearing 2/03 at 1:00 p.m."
"HB 0469","Motor Vehicle Administration - Traffic Control Signal Monitoring Systems - Reciprocal Agreements","Alfred Carr","House - Withdrawn by Sponsor"
