OBJECTID,CATEGORY,NAME,ADDRESS,CITY,ZIPCODE,PHONE,URL,DATA,POINT_X,POINT_Y,SHAPE
1,SWIMMING POOLS,Martin Luther King Jr Swim Center,1201 Jackson Rd,Silver Spring,20904,240-777-8066,http://www.montgomerycountymd.gov/rec/thingstodo/aquatics/index.html,County,1316040.874934619991109,505636.124985250004102,"(39.05506470200004, -76.98694634899994)"
2,SWIMMING POOLS,Kennedy-Shriver Aquatic Center (KSAC),5900 Executive Blv,N. Bethesda,20852,240-777-8070,http://www.montgomerycountymd.gov/rec/thingstodo/aquatics/index.html,County,1278653.014163800049573,502490.504502320021857,"(39.04636852300007, -77.11859159399995)"
3,SWIMMING POOLS,Olney Swim Center,16601 Georgia Ave,Olney,20832,240-777-4995,http://www.montgomerycountymd.gov/rec/thingstodo/aquatics/index.html,County,1292273.500064489897341,531778.437457590014674,"(39.12682158800004, -77.07071340899995)"
4,SWIMMING POOLS,Germantown Outdoor Pool,18905 Kingsview Rd,Germantown,20874,240-777-8067,http://www.montgomerycountymd.gov/rec/thingstodo/aquatics/index.html,County,1231403.625063800020143,545861.687390709994361,"(39.165162606000024, -77.28543467399999)"
5,SWIMMING POOLS,Wheaton / Glenmont Outdoor Pool,12621 Dalewood Dr,Wheaton,20906,301-929-5460,http://www.montgomerycountymd.gov/rec/thingstodo/aquatics/index.html,County,1294031.189666120102629,507645.212219120003283,"(39.060563968000054, -77.06445746899993)"
6,SWIMMING POOLS,Long Branch Outdoor Pool,8700 Piney Branch Rd,Silver Spring,20901,301-431-5700,http://www.montgomerycountymd.gov/rec/thingstodo/aquatics/index.html,County,1312842.124979639891535,485505.781286499986891,"(38.99979385000006, -76.99821199299998)"
7,SWIMMING POOLS,Western County Outdoor Pool,20151 Fisher Ave,Poolesville,20837,301-349-2217,http://www.montgomerycountymd.gov/rec/thingstodo/aquatics/index.html,County,1192762.874947810079902,540106.499929349985905,"(39.14895042100005, -77.42162202399999)"
8,SWIMMING POOLS,Upper County Outdoor Pool,8211 Emory Grove Rd,Gaithersburg,20877,301-840-2446,http://www.montgomerycountymd.gov/rec/thingstodo/aquatics/index.html,County,1264644.374918750021607,540429.499993650009856,"(39.15047478400004, -77.16816236899996)"
9,SWIMMING POOLS,Bethesda Outdoor Pool,6300 Hillandale Rd,Bethesda,20815,301-652-1598,http://www.montgomerycountymd.gov/rec/thingstodo/aquatics/index.html,County,1283791.12488859007135,475991.156253640016075,"(38.973626386000035, -77.10039756699996)"
10,SWIMMING POOLS,Water Park at Bohrer Park,510 S Frederick Ave,Gaithersburg,20877,301-258-6445,http://www.gaithersburgmd.gov/about-gaithersburg/city-facilities/water-park-at-bohrer-park,Municipal,1256821.00159946992062,533945.710931609966792,"(39.132630052000025, -77.19569993599998)"
11,SWIMMING POOLS,Gaithersburg Aquatic Center,2 Teachers Way,Gaithersburg,20884,301-258-6345,http://www.gaithersburgmd.gov/about-gaithersburg/city-facilities/aquatic-center,Municipal,1259319.431553790112957,537870.472535270033404,"(39.14342028000004, -77.18692057499999)"
12,SWIMMING POOLS,Rockville Municipal Swim Center,355 Martins La,Rockville,20850,240-314-8750,http://www.rockvillemd.gov/swimcenter,Municipal,1266992.691336940042675,518670.712901389983017,"(39.09074499700006, -77.15974752399995)"
13,SWIMMING POOLS,Germantown Indoor Swim Center,18000 Central Park Cir,Boyds,20841,240-777-6830,http://www.montgomerycountymd.gov/rec/thingstodo/aquatics/index.html,County,1225933.683810699963942,540835.61429803003557,"(39.151314558000024, -77.30466740399999)"
14,SWIMMING POOLS,Good Hope Sprayground,14715 Good Hope Rd,Silver Spring,20905,240-777-8060,http://www.montgomerycountymd.gov/rec/thingstodo/aquatics/index.html,County,1316401.56895095994696,520636.422727219993249,"(39.09625018500003, -76.98566788899996)"
