"bill_no","title","enacted_bill","sponsors","co_sponsors","introduction_date","expiration_date_of_pending_bills","public_hearing_date","action_date","effective_date","effective_date_2","sunset_date","mc_code_chapter","mc_code_section","lmc_chapter_no","status","yeas","nays","abstain","absent","final_vote","executive_action","lead_analyst","veto_override_date","veto_override_vote","disapprove_date","voted_to_disapprove_vote","withdrawn_date"
"13-10E","Emergency Medical Services Transport Fee - Established","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?722_1_3606_Bill_13-10E_Signed_20100820.pdf","Council President at the Request of the County Executive",,"2010-03-23T00:00:00.000","2011-09-23T00:00:00.000","2010-04-13T00:00:00.000","2010-05-19T00:00:00.000","2010-08-20T00:00:00.000",,,"21","21-23A","Ch. 15, LMC 2010","Enacted","Knapp, Floreen, Elrich, Leventhal, Trachtenberg","Navarro, Berliner, Andrews, Ervin",,,"5 Yeas - 4 Nays","Approved","Michael Faden",,,,,
"1-12","Personnel - Special Days of Commemoration - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?808_1_2958_Bill_1-12_Signed_20120702.pdf","Ervin, Floreen, Navarro, Riemer, Andrews, Rice, Elrich, Berliner",,"2012-01-17T00:00:00.000","2013-07-17T00:00:00.000","2012-02-07T00:00:00.000","2012-03-20T00:00:00.000","2012-07-02T00:00:00.000",,,"33","33-4B","Ch. 4, LMC 2012","Enacted","Andrews, Berliner, Elrich, Ervin, Floreen, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 04/02/2012","Robert Drummer",,,,,
"6-20","Solid Waste (Trash) - Release of Balloons - Prohibited","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2643_1_10944_Bill_6-20_Signed_20200929.pdf","Hucker",,"2020-02-25T00:00:00.000",,"2020-07-28T00:00:00.000","2020-09-29T00:00:00.000","2020-12-30T00:00:00.000",,,,,"Ch. 27. LMC 2020","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 9/30/2020",,,,,,
"22-13E","Taxation - Fuel Energy Tax - Renewable Energy Sources","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?873_1_2416_Bill_22-13E_Signed_20140805.pdf","Council President at the Request of the County Executive, Leventhal",,"2013-07-09T00:00:00.000",,"2013-07-30T00:00:00.000","2014-07-29T00:00:00.000","2014-08-05T00:00:00.000",,,"52","52-14","Ch. 24, LMC 2014","Enacted","Andrews, Berliner, Elrich, Ervin, Floreen, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 8/05/2014","Michael Faden",,,,,
"40-19E","Inspector General - Staff - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2638_1_10261_Bill_40-19E_Signed_20200124.pdf","Navarro, Friedson, Katz",,"2019-12-03T00:00:00.000",,"2020-01-14T00:00:00.000","2020-01-21T00:00:00.000","2020-01-24T00:00:00.000",,,"Amending Ch 2","Amending 2-151","Ch. 2. LMC 2020","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 1/24/2020",,,,,,
"40-11","Group Homes- Developmentally Disabled Adults- Licensing","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?812_1_2926_Bill_40-11_Signed_20120615.pdf","Council President at the Request of the County Executive, Ervin",,"2011-12-06T00:00:00.000","2013-06-06T00:00:00.000","2012-01-24T00:00:00.000","2012-03-06T00:00:00.000","2012-06-15T00:00:00.000",,,"23A","23A-3","Ch. 2, LMC 2012","Enacted","Andrews, Berliner, Elrich, Ervin, Floreen, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 03/16/2012","Michael Faden",,,,,
"23-12","Administration - Open Data","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?833_1_2752_Bill_23-12_Signed_20130318.pdf","Riemer, Andrews, Berliner, Leventhal, Floreen, Navarro, Ervin",,"2012-07-31T00:00:00.000","2014-01-31T00:00:00.000","2012-09-18T00:00:00.000","2012-12-04T00:00:00.000","2013-03-18T00:00:00.000",,,"2, Article XIV","2-152, 2,152, 2-153, 2-154, 2-155, 2-156, 2-157, and 2-158","Ch. 27, LMC 2012","Enacted","Andrews, Berliner, Elrich, Ervin, Floreen, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 12/17/2012","Amanda Mihill",,,,,
"38-11E","Bond Authorization","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?810_1_2942_Bill_38-11E_Signed_20111214.pdf","Council President at the Request of the County Executive",,"2011-11-29T00:00:00.000","2013-05-29T00:00:00.000","2011-12-06T00:00:00.000","2011-12-06T00:00:00.000","2011-12-14T00:00:00.000",,,"Adding to the Laws of Montgomery County",,"Ch. 24, LMC 2011","Enacted","Andrews, Berliner, Elrich, Ervin, Floreen, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 12/14/11","Jacob Sesker",,,,,
"18-18E","Human Rights and Civil Liberties - Human Trafficking Prevention Committee - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2571_1_266_Bill_18-18E_Signed_20180702.pdf","Hucker","Rice, Katz, Navarro, Berliner, Riemer, Elrich","2018-05-15T00:00:00.000",,"2018-06-12T00:00:00.000","2018-06-19T00:00:00.000","2018-07-02T00:00:00.000",,,"Amending Ch. 27: Article VIII","Section 27-62","Ch. 13. LMC 2018","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 7/2/18","Robert Drummer",,,,,
"4-13E","Police Department - Organization and Functions - Assistant Chief of Police","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?855_1_2541_Bill_4-13E_Signed_20130225.pdf","Council President at the Request of the County Executive",,"2013-02-05T00:00:00.000",,"2013-02-12T00:00:00.000","2013-02-12T00:00:00.000","2013-02-25T00:00:00.000",,,"2","2-43","Ch. 7 LMC 2013","Enacted","Andrews, Berliner, Elrich, Ervin, Leventhal, Navarro, Rice, Riemer",,,"Floreen","8 Yeas - 0 Nays","Approved 2/25/2013","Robert Drummer",,,,,
"13-14","Contracts and Procurement - Formal Solicitation - Local Preference","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?899_1_2209_Bill_13-14_Signed_20140710.pdf","Navarro, Riemer, Elrich, Floreen, Branson, Andrews",,"2014-02-04T00:00:00.000",,"2014-02-25T00:00:00.000","2014-04-01T00:00:00.000","2014-07-10T00:00:00.000",,,"11B","11B-1, 11B-9, 11B-10","Ch. 5, LMC 2014","Enacted","Andrews, Berliner, Branson, Elrich, Floreen, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 4/10/2014","Josh Hamlin",,,,,
"33-18","Environmental Sustainability - Commercial Property Assessed Clean Energy Program - Property Tax Surcharge","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2589_1_10188_Bill_33-18_Signed_20181127.pdf","Berliner","Katz, Elrich, Riemer, Hucker, Navarro, Rice","2018-10-02T00:00:00.000",,"2018-10-23T00:00:00.000","2018-11-13T00:00:00.000","2019-02-26T00:00:00.000",,,"Amending 18A","18A-36","Ch. 31. LMC 2018","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Returned unsigned; becomes law 11/27/2018","Amanda Mihill",,,,,
"13-21E","Streets and Roads - Permit to Obstruct Public Rights-of-Way and Franchising - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2704_1_15588_Bill_13-21E_Signed_20210712.pdf","Council President at the Request of the County Executive",,"2021-03-16T00:00:00.000",,"2021-04-06T00:00:00.000","2021-06-29T00:00:00.000","2021-07-12T00:00:00.000",,,,,"Ch. 17, 2021","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 7/12/2021",,,,,,
"38-18E","Weapons - Urban Area - Boundary","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2594_1_126_Bill_38-18E_Signed_20181213.pdf","Council President at the request of the County Executive",,"2018-11-13T00:00:00.000",,"2018-12-04T00:00:00.000","2018-12-11T00:00:00.000","2018-12-13T00:00:00.000",,,"Amending Ch. 57","Amending Sections 5 7-1","Ch. 34. LMC 2018","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 12/13/18","Jeffrey Zyontz",,,,,
"23-14E","Retirement Plans - Definitions - Administration - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?908_1_2125_Bill_23-14E_Signed_20140625.pdf","Council President at the Request of the County Executive",,"2014-05-06T00:00:00.000",,"2014-06-10T00:00:00.000","2014-06-17T00:00:00.000","2014-06-25T00:00:00.000",,,"33","33-37, 33-38A, 33-41, 33-42, 33-44, 33-46, 33-115, 33-119, and 33-120","Ch. 17, LMC 2014","Enacted","Andrews, Berliner, Branson, Floreen, Leventhal, Navarro, Rice, Riemer",,,"Elrich","8 Yeas - 0 Nays","Approved 6/25/2014","Robert Drummer",,,,,
"11-14","Buildings - Electric Vehicle Charging Station Permits - Expedited Review","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?896_1_2228_Bill_11-14_Signed_20140731.pdf","Berliner, Floreen, Riemer, Leventhal, Elrich, Andrews, Navarro",,"2014-01-28T00:00:00.000",,"2014-02-11T00:00:00.000","2014-04-22T00:00:00.000","2014-07-31T00:00:00.000",,,"8","8-24C","Ch. 11, LMC 2014","Enacted","Andrews, Berliner, Branson, Elrich, Floreen, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 5/01/2014","Amanda Mihill",,,,,
