"application_type","permit_no","work_type","use_code","added_date","issued_date","final_date","expired_date","status","building_area","description","st_no","pre_dir","st_name","suffix","post_dir","city","state","zip","latitude","longitude","location","geolocation"
"FIRE ALARM PERMIT","1006341","INSTAL","BUSNSS","2022-09-09T10:09:02.000","2022-09-12T09:09:45.000",,,"Issued","0","INSTALL ACCESS CONTROL BASE BUILDING 1ST FLOOR BIKE ROOM,2ND,3RD,4TH AND 5TH FLOORS ELEVATOR LOBBIES, Fast Track Review","915",,"MEETING","ST",,"ROCKVILLE","MD","20852","39.050407","-77.11572",,"POINT (-77.11572 39.050407)"
"FIRE ALARM PERMIT","1006369","INSTAL","MERC","2022-09-09T01:09:55.000","2022-09-12T09:09:29.000",,,"Issued","0","Apple Store Tenant Space 2044 Restroom Renovation - Installation of notification devices.","7101",,"DEMOCRACY","BLVD",,"BETHESDA","MD","20817","39.024358","-77.145864",,"POINT (-77.145864 39.024358)"
"FIRE ALARM PERMIT","999883","INSTAL","EDUC","2022-07-13T05:07:02.000","2022-09-12T04:09:44.000",,,"Issued","0","Fit out of existing fire alarm system to accommodate interior changes and provide code compliance.","13230",,"CLOPPERS MILL","DR",,"GERMANTOWN","MD","20874","39.148524","-77.27565",,"POINT (-77.27565 39.148524)"
"FIRE ALARM PERMIT","1005562","INSTAL","BUSNSS","2022-08-31T01:08:34.000","2022-09-12T02:09:40.000",,,"Issued","0","Relocate 2 outlets as per plans.","1398",,"LAMBERTON","DR",,"SILVER SPRING","MD","20902","39.039961","-77.031764",,"POINT (-77.031764 39.039961)"
"FIRE ALARM PERMIT","1006135","INSTAL","PLWOR","2022-09-07T03:09:15.000","2022-09-09T12:09:04.000",,,"Issued","0","Emergency replacement of the fire alarm control panel","17110",,"NEW HAMPSHIRE","AVE",,"SILVER SPRING","MD","20905","39.138365","-76.996588",,"POINT (-76.996588 39.138365)"
"FIRE ALARM PERMIT","1002646","INSTAL","REST","2022-08-04T05:08:07.000","2022-09-09T08:09:24.000",,,"Issued","0","replace fire alarm conrol panel only","8081",,"GEORGIA","AVE",,"SILVER SPRING","MD","20910","38.990077","-77.026218",,"POINT (-77.026218 38.990077)"
"FIRE ALARM PERMIT","1006223","INSTAL","BUSNSS","2022-09-08T11:09:36.000","2022-09-09T03:09:17.000",,,"Issued","0","Relocate 1 Horn Strobe & 1 strobe only.  Add 6 Strobe only devices in remodeled dental office. Suite 101, Fast Track Review","10230",,"NEW HAMPSHIRE","AVE",,"SILVER SPRING","MD","20903","39.02312","-76.979294",,"POINT (-76.979294 39.02312)"
"FIRE ALARM PERMIT","1006223","INSTAL","BUSNSS","2022-09-08T11:09:36.000","2022-09-09T03:09:17.000",,,"Issued","0","Relocate 1 Horn Strobe & 1 strobe only.  Add 6 Strobe only devices in remodeled dental office. Suite 101, Fast Track Review","10230",,"NEW HAMPSHIRE","AVE",,"SILVER SPRING","MD","20903","39.02312","-76.979294",,"POINT (-76.979294 39.02312)"
"FIRE ALARM PERMIT","1005822","INSTAL","EDUC","2022-09-02T01:09:21.000","2022-09-08T11:09:27.000",,,"Issued","0","Remove & re install 6 smoke detectors, 8 horn strobes 1 pull station & add 2 strobes only. , Fast Track Review","6801",,"GREENTREE","RD",,"BETHESDA","MD","20817","39.008385","-77.13857",,"POINT (-77.13857 39.008385)"
"FIRE ALARM PERMIT","1006140","INSTAL","EDUC","2022-09-07T04:09:16.000","2022-09-08T11:09:15.000",,,"Issued","0","Installation of cellular communicator.","8507",,"EMORY GROVE","RD",,"GAITHERSBURG","MD","20879","39.155766","-77.172836",,"POINT (-77.172836 39.155766)"
"FIRE ALARM PERMIT","1006140","INSTAL","EDUC","2022-09-07T04:09:16.000","2022-09-08T11:09:15.000",,,"Issued","0","Installation of cellular communicator.","8507",,"EMORY GROVE","RD",,"GAITHERSBURG","MD","20879","39.155766","-77.172836",,"POINT (-77.172836 39.155766)"
