"application_type","permit_no","work_type","added_date","issued_date","final_date","expired_date","status","building_area","description","st_no","pre_dir","st_name","suffix","post_dir","city","state","zip","latitude","longitude","location","geolocation"
"USE & OCCUPANCY PERMIT","389154","USE","2022-08-01T03:08:35.000","2022-08-17T10:08:31.000","2022-08-17T10:08:31.000",,"Finaled","1","R4-B","8106",,"GEORGIA","AVE",,"SILVER SPRING","MD","20910","38.990675","-77.027433",,"POINT (-77.027433 38.990675)"
"USE & OCCUPANCY PERMIT","386283","OCCUPY","2022-03-01T07:03:55.000","2022-08-16T10:08:51.000","2022-08-16T10:08:51.000",,"Finaled","1","STORAGE BUILDING","9910",,"BELWARD CAMPUS","DR",,"ROCKVILLE","MD","20850","39.103302","-77.209078",,"POINT (-77.209078 39.103302)"
"USE & OCCUPANCY PERMIT","388858","OCCUPY","2022-07-15T09:07:31.000","2022-08-16T07:08:41.000","2022-08-16T07:08:42.000",,"Finaled","1","2ND FLOOR, SUITE 200 PER U/O &nbsp;APPLICATION","3905",,"NATIONAL","DR",,"BURTONSVILLE","MD","20866","39.112588","-76.930993",,"POINT (-76.930993 39.112588)"
"USE & OCCUPANCY PERMIT","383049","OCCUPY","2021-08-19T11:08:06.000","2022-08-16T02:08:20.000","2022-08-16T02:08:20.000",,"Finaled","1","TOWNHOUSE","11402",,"EMERALD PARK","RD",,"POTOMAC","MD","20854","39.041663","-77.156061",,"POINT (-77.156061 39.041663)"
"USE & OCCUPANCY PERMIT","383064","OCCUPY","2021-08-19T02:08:44.000","2022-08-16T02:08:17.000","2022-08-16T02:08:17.000",,"Finaled","1",,"11404",,"EMERALD PARK","RD",,"POTOMAC","MD","20854","39.04161","-77.156098",,"POINT (-77.156098 39.04161)"
"USE & OCCUPANCY PERMIT","380668","OCCUPY","2021-04-07T03:04:37.000","2022-08-15T09:08:58.000","2022-08-15T09:08:58.000",,"Finaled","1",,"8183",,"FRONT","ST",,"ROCKVILLE","MD","20855","39.126783","-77.169399",,"POINT (-77.169399 39.126783)"
"USE & OCCUPANCY PERMIT","380686","OCCUPY","2021-04-07T11:04:06.000","2022-08-15T09:08:22.000","2022-08-15T09:08:22.000",,"Finaled","1","TOWNHOUSE","8175",,"FRONT","ST",,"ROCKVILLE","MD","20855","39.126909","-77.169143",,"POINT (-77.169143 39.126909)"
"USE & OCCUPANCY PERMIT","380666","OCCUPY","2021-04-07T03:04:40.000","2022-08-15T09:08:15.000","2022-08-15T09:08:15.000",,"Finaled","1",,"8177",,"FRONT","ST",,"ROCKVILLE","MD","20855","39.126875","-77.169213",,"POINT (-77.169213 39.126875)"
"USE & OCCUPANCY PERMIT","389200","OCCUPY","2022-08-04T07:08:17.000","2022-08-15T08:08:40.000","2022-08-15T08:08:41.000",,"Finaled","1","PHASE&nbsp;3 EAST&nbsp;SIDE - OCCUPANCY UNITS -&nbsp;13 UNITS &nbsp;&nbsp; 225/227/228/255/258/327/355/358/427/458/527/555/558","8525",,"CHEVY CHASE LAKE","TER",,"CHEVY CHASE","MD","20815","38.995601","-77.075845",,"POINT (-77.075845 38.995601)"
"USE & OCCUPANCY PERMIT","382998","OCCUPY","2021-08-17T10:08:53.000","2022-08-15T07:08:22.000","2022-08-15T07:08:23.000",,"Finaled","1",,"11412",,"EMERALD PARK","RD",,"POTOMAC","MD","20854","39.041504","-77.156171",,"POINT (-77.156171 39.041504)"
"USE & OCCUPANCY PERMIT","382997","OCCUPY","2021-08-17T10:08:49.000","2022-08-15T03:08:27.000","2022-08-15T03:08:27.000",,"Finaled","1",,"11400",,"EMERALD PARK","RD",,"POTOMAC","MD","20854","39.041716","-77.156024",,"POINT (-77.156024 39.041716)"
"USE & OCCUPANCY PERMIT","385447","OCCUPY","2022-01-20T03:01:24.000","2022-08-12T09:08:38.000","2022-08-12T09:08:38.000",,"Finaled","1",,"923",,"ELLSWORTH","DR",,"SILVER SPRING","MD","20910","38.996162","-77.026608",,"POINT (-77.026608 38.996162)"
"USE & OCCUPANCY PERMIT","382905","OCCUPY","2021-08-12T08:08:23.000","2022-08-12T08:08:02.000","2022-08-12T08:08:02.000",,"Finaled","1","2 OVER 2 UNIT","16146",,"CONNORS","WAY",,"ROCKVILLE","MD","20855","39.124047","-77.167097",,"POINT (-77.167097 39.124047)"
"USE & OCCUPANCY PERMIT","387210","OCCUPY","2022-04-19T10:04:37.000","2022-08-11T10:08:35.000","2022-08-11T10:08:36.000",,"Finaled","1",,"16811",,"CRABBS BRANCH","WAY",,"ROCKVILLE","MD","20855","39.13143","-77.166928",,"POINT (-77.166928 39.13143)"
"USE & OCCUPANCY PERMIT","387053","OCCUPY","2022-04-11T11:04:36.000","2022-08-11T10:08:25.000","2022-08-11T10:08:25.000",,"Finaled","1","Building B2 Sixth Floor Unit 608 Only","8551",,"CONNECTICUT","AVE",,"CHEVY CHASE","MD","20815","38.995734","-77.0765","UNIT 608 ONLY","POINT (-77.0765 38.995734)"
"USE & OCCUPANCY PERMIT","385231","OCCUPY","2022-01-10T09:01:38.000","2022-08-11T07:08:21.000","2022-08-11T07:08:21.000",,"Finaled","1","retail","8661",,"COLESVILLE","RD",,"SILVER SPRING","MD","20910","38.997153","-77.026876",,"POINT (-77.026876 38.997153)"
"USE & OCCUPANCY PERMIT","379826","OCCUPY","2021-02-25T11:02:38.000","2022-08-10T08:08:45.000","2022-08-10T08:08:45.000",,"Finaled","1","4 STORY TOWNHOUSE","8025",,"BAXTER","ST",,"ROCKVILLE","MD","20855","39.123819","-77.165967",,"POINT (-77.165967 39.123819)"
"USE & OCCUPANCY PERMIT","387024","OCCUPY","2022-04-08T12:04:25.000","2022-08-10T03:08:55.000","2022-08-10T03:08:55.000",,"Finaled","1",,"18062",,"GEORGIA","AVE",,"OLNEY","MD","20832","39.152477","-77.067476",,"POINT (-77.067476 39.152477)"
"USE & OCCUPANCY PERMIT","380634","OCCUPY","2021-04-06T03:04:00.000","2022-08-10T01:08:07.000","2022-08-10T01:08:07.000",,"Finaled","1","COMM TH","8181",,"FRONT","ST",,"ROCKVILLE","MD","20855","39.126817","-77.169328",,"POINT (-77.169328 39.126817)"
"USE & OCCUPANCY PERMIT","379358","OCCUPY","2021-02-04T03:02:44.000","2022-08-09T09:08:18.000","2022-08-09T09:08:19.000",,"Finaled","1","TOWNHOME","8150",,"TOMPKINS","ST",,"ROCKVILLE","MD","20855","39.124103","-77.166193",,"POINT (-77.166193 39.124103)"
"USE & OCCUPANCY PERMIT","384909","OCCUPY","2021-12-16T12:12:56.000","2022-08-09T08:08:30.000","2022-08-09T08:08:30.000",,"Finaled","1","BREAKOUT U/O FROM CORE AND SHELL 383959THIS U/O COVERS FLOORS 5 - 10","4646",,"MONTGOMERY","AVE",,"BETHESDA","MD","20814","38.983651","-77.092909",,"POINT (-77.092909 38.983651)"
