"department","department_name","division","gender","base_salary","_2021_overtime_pay","_2021_longevity_pay","grade"
"ABS","Alcohol Beverage Services","Beer Loading","M","87969.00","32953.25",,"20"
"ABS","Alcohol Beverage Services","Liquor and Wine Delivery Operations","M","80086.00","32656.04","1105.44","18"
"ABS","Alcohol Beverage Services","Beer Delivery Operations","M","80086.00","31369.15","1591.20","18"
"ABS","Alcohol Beverage Services","Beer Delivery Operations","M","70814.00","29837.85",,"18"
"ABS","Alcohol Beverage Services","Stock Liquor and Wine Warehouse Operations","M","76419.00","21379.22",,"17"
"ABS","Alcohol Beverage Services","Stock Liquor and Wine Warehouse Operations","M","87969.00","20278.28",,"20"
"ABS","Alcohol Beverage Services","Liquor and WIne Loading","M","76419.00","17665.64",,"17"
"ABS","Alcohol Beverage Services","Stock Liquor and Wine Warehouse Operations","M","83441.66","17635.73",,"20"
"ABS","Alcohol Beverage Services","Liquor and WIne Loading","M","60555.00","16483.23","3022.88","12"
"ABS","Alcohol Beverage Services","Special Order Liquor and Wine Warehouse Operations","M","58300.99","15624.99",,"17"
"ABS","Alcohol Beverage Services","Liquor and WIne Loading","M","47309.35","13042.54",,"12"
"ABS","Alcohol Beverage Services","Beer Delivery Operations","M","65832.76","12552.22",,"15"
"ABS","Alcohol Beverage Services","Beer Delivery Operations","M","66624.72","11967.04",,"15"
"ABS","Alcohol Beverage Services","Beer Delivery Operations","M","63606.67","11442.60",,"15"
"ABS","Alcohol Beverage Services","Beer Warehouse Operations","M","55151.90","11309.24",,"17"
"ABS","Alcohol Beverage Services","Beer Delivery Operations","M","55223.00","11301.76",,"10"
"ABS","Alcohol Beverage Services","Beer Loading","M","45281.41","11005.98",,"12"
"ABS","Alcohol Beverage Services","Beer Loading","M","43271.00","10882.94",,"12"
"ABS","Alcohol Beverage Services","Beer Delivery Operations","M","69604.00","10700.60","1440.16","15"
"ABS","Alcohol Beverage Services","Beer Warehouse Operations","M","60555.00","10164.53","1253.36","12"
"ABS","Alcohol Beverage Services","Beer Loading","M","47024.79","10124.68",,"13"
"ABS","Alcohol Beverage Services","Beer Delivery Operations","M","69604.00","9888.77","1440.16","15"
"ABS","Alcohol Beverage Services","Stock Liquor and Wine Warehouse Operations","M","58619.49","9882.57",,"13"
"ABS","Alcohol Beverage Services","Beer Delivery Operations","M","54200.48","9096.93",,"15"
"ABS","Alcohol Beverage Services","Beer Delivery Operations","M","55223.00","8930.88","121.93","10"
"ABS","Alcohol Beverage Services","Beer Delivery Operations","M","47535.50","8550.55",,"15"
"ABS","Alcohol Beverage Services","Beer Warehouse Operations","M","80086.00","8514.12",,"18"
"ABS","Alcohol Beverage Services","Beer Loading","M","75857.14","8404.96",,"18"
"ABS","Alcohol Beverage Services","Beer Delivery Operations","M","38985.02","8332.94",,"10"
"ABS","Alcohol Beverage Services","IT Administration","M","83931.00","8093.36","2500.16","19"
"ABS","Alcohol Beverage Services","Beer Delivery Operations","M","65832.76","8071.55",,"15"
"ABS","Alcohol Beverage Services","Liquor and WIne Loading","M","60555.00","7612.78","1804.40","12"
"ABS","Alcohol Beverage Services","Special Order Liquor and Wine Warehouse Operations","M","49209.70","7506.78",,"13"
"ABS","Alcohol Beverage Services","Beer Delivery Operations","M","48621.93","7484.23",,"15"
"ABS","Alcohol Beverage Services","Beer Delivery Operations","M","49674.81","7451.88",,"15"
"ABS","Alcohol Beverage Services","Liquor and Wine Delivery Operations","M","69604.00","7077.25","2049.67","15"
"ABS","Alcohol Beverage Services","Beer Delivery Operations","M","43223.81","6810.36",,"10"
"ABS","Alcohol Beverage Services","Beer Delivery Operations","M","52499.69","6686.53",,"10"
"ABS","Alcohol Beverage Services","Beer Delivery Operations","M","54600.41","6596.01",,"10"
"ABS","Alcohol Beverage Services","Beer Delivery Operations","M","55223.00","6582.67","1645.28","10"
"ABS","Alcohol Beverage Services","Stock Liquor and Wine Warehouse Operations","M","49674.83","5917.11",,"13"
"ABS","Alcohol Beverage Services","Special Order Liquor and Wine Warehouse Operations","M","44786.06","5751.52",,"12"
"ABS","Alcohol Beverage Services","Beer Loading","M","56922.42","5647.51",,"12"
"ABS","Alcohol Beverage Services","Licensure, Regulation and Education","M","95438.10","5568.23",,"22"
"ABS","Alcohol Beverage Services","Beer Loading","M","40841.10","5553.29",,"12"
"ABS","Alcohol Beverage Services","Beer Delivery Operations","M","55793.89","5507.05",,"15"
"ABS","Alcohol Beverage Services","Beer Loading","M","43271.00","5348.80",,"12"
"ABS","Alcohol Beverage Services","Beer Loading","M","37707.00","4987.09",,"12"
"ABS","Alcohol Beverage Services","Beer Loading","M","39460.39","4946.51",,"12"
"ABS","Alcohol Beverage Services","Liquor and Wine Delivery Operations","M","52499.69","4906.32",,"10"
"ABS","Alcohol Beverage Services","Beer Loading","M","41807.26","4785.27",,"12"
"ABS","Alcohol Beverage Services","Stock Liquor and Wine Warehouse Operations","M","42413.17","4779.83",,"13"
"ABS","Alcohol Beverage Services","Liquor and WIne Loading","M","39027.00","4748.89",,"12"
"ABS","Alcohol Beverage Services","Liquor and Wine Delivery Operations","M","64429.10","4451.91",,"15"
"ABS","Alcohol Beverage Services","Beer Loading","M","52734.00","4448.13","1571.44","9"
"ABS","Alcohol Beverage Services","Beer Delivery Operations","M","69604.00","4356.14","4207.77","15"
"ABS","Alcohol Beverage Services","Beer Delivery Operations","M","80086.00","3989.75","1591.20","18"
"ABS","Alcohol Beverage Services","Beer Loading","M","41807.26","3933.00",,"12"
"ABS","Alcohol Beverage Services","Stock Liquor and Wine Warehouse Operations","M","47546.19","3888.87",,"13"
"ABS","Alcohol Beverage Services","Beer Loading","M","41807.73","3843.76",,"12"
"ABS","Alcohol Beverage Services","Beer Delivery Operations","M","41761.52","3753.53",,"10"
"ABS","Alcohol Beverage Services","Beer Loading","M","40841.50","3697.66",,"12"
