"fiscal_year","type","tenants","location_name","location_address"
"FY21","Mid Year","Cyquent, Inc","Rockville Innovation Center","155 Gibbs Street, 4th Floor, Rockville, MD 20850"
"FY21","Mid Year","Repar Corporation","Silver Spring  Innovation Center","8070 Georgia Avenue, Silver Spring, MD 20910"
"FY21","Mid Year","PediaMetrix, Llc","Rockville Innovation Center","155 Gibbs Street, 4th Floor, Rockville, MD 20850"
"FY21","Mid Year","Pixspan, Inc","Rockville Innovation Center","155 Gibbs Street, 4th Floor, Rockville, MD 20850"
"FY21","Mid Year","Mr. Fusion","Germantown Innovation Center","20271 Goldenrod Lane, 2nd Floor, Germantown, MD 20876"
"FY21","Mid Year","Cypient Llc","Silver Spring  Innovation Center","8070 Georgia Avenue, Silver Spring, MD 20910"
"FY23","Mid Year","Qlaire Systems Inc","Silver Spring  Innovation Center","8072 Georgia Avenue, Silver Spring, MD 20910"
"FY21","Mid Year","NuSep, Inc","Germantown Innovation Center","20271 Goldenrod Lane, 2nd Floor, Germantown, MD 20876"
"FY21","Mid Year","Hague Realty Advisors Llc","Silver Spring  Innovation Center","8070 Georgia Avenue, Silver Spring, MD 20910"
"FY21","Mid Year","FourGates, Llc","Germantown Innovation Center","20271 Goldenrod Lane, 2nd Floor, Germantown, MD 20876"
"FY21","Mid Year","3I Diagnostic, Llc","Germantown Innovation Center","20271 Goldenrod Lane, 2nd Floor, Germantown, MD 20876"
"FY21","Mid Year","JuneBrain, Inc","Rockville Innovation Center","155 Gibbs Street, 4th Floor, Rockville, MD 20850"
"FY21","Mid Year","Epigenomics, Inc","Germantown Innovation Center","20271 Goldenrod Lane, 2nd Floor, Germantown, MD 20876"
"FY21","Mid Year","AcouSort, Inc","Germantown Innovation Center","20271 Goldenrod Lane, 2nd Floor, Germantown, MD 20876"
"FY21","Mid Year","Kairos Bioconsulting, Llc","Rockville Innovation Center","155 Gibbs Street, 4th Floor, Rockville, MD 20850"
"FY21","Mid Year","Montgomery County Green Bank","Rockville Innovation Center","155 Gibbs Street, 4th Floor, Rockville, MD 20850"
"FY21","Mid Year","AKAN Bioscience, Llc","Germantown Innovation Center","20271 Goldenrod Lane, 2nd Floor, Germantown, MD 20876"
"FY21","Mid Year","BnH Research","Rockville Innovation Center","155 Gibbs Street, 4th Floor, Rockville, MD 20850"
"FY21","Mid Year","Digital Learning Network","Silver Spring  Innovation Center","8070 Georgia Avenue, Silver Spring, MD 20910"
"FY21","Mid Year","Graphene Waves, Llc","Germantown Innovation Center","20271 Goldenrod Lane, 2nd Floor, Germantown, MD 20876"
"FY21","Mid Year","Automated Cont Concepts, Inc","Rockville Innovation Center","155 Gibbs Street, 4th Floor, Rockville, MD 20850"
"FY23","Mid Year","Deka Biosciences","Germantown Innovation Center","20273 Goldenrod Lane, 2nd Floor, Germantown, MD 20876"
"FY21","Mid Year","Orgenesis Maryland, Inc","Germantown Innovation Center","20271 Goldenrod Lane, 2nd Floor, Germantown, MD 20876"
"FY21","Mid Year","TruGenomix Health, Inc","Rockville Innovation Center","155 Gibbs Street, 4th Floor, Rockville, MD 20850"
"FY21","Mid Year","PMCDx","Germantown Innovation Center","20271 Goldenrod Lane, 2nd Floor, Germantown, MD 20876"
"FY22","Mid Year","RetroTherapy dba Splice Therapuetics","Germantown Innovation Center","20272 Goldenrod Lane, 2nd Floor, Germantown, MD 20876"
"FY21","Mid Year","ExPrimary, Inc","Rockville Innovation Center","155 Gibbs Street, 4th Floor, Rockville, MD 20850"
"FY21","Mid Year","Seraxis, Inc","Germantown Innovation Center","20271 Goldenrod Lane, 2nd Floor, Germantown, MD 20876"
"FY21","Mid Year","Trusted Science & Technology","Rockville Innovation Center","155 Gibbs Street, 4th Floor, Rockville, MD 20850"
"FY22","Mid Year","Infratrac Inc","Silver Spring  Innovation Center","8071 Georgia Avenue, Silver Spring, MD 20910"
"FY21","Mid Year","AmeriinfoVets, Inc.","Germantown Innovation Center","20271 Goldenrod Lane, 2nd Floor, Germantown, MD 20876"
"FY21","Mid Year","RigelONE Tech Llc","Silver Spring  Innovation Center","8070 Georgia Avenue, Silver Spring, MD 20910"
"FY21","Mid Year","Speak Agent, Inc","Rockville Innovation Center","155 Gibbs Street, 4th Floor, Rockville, MD 20850"
"FY21","Mid Year","Tailored Therapeutics, Llc","Germantown Innovation Center","20271 Goldenrod Lane, 2nd Floor, Germantown, MD 20876"
"FY21","Mid Year","Adera Labs, Llc","Germantown Innovation Center","20271 Goldenrod Lane, 2nd Floor, Germantown, MD 20876"
"FY21","Mid Year","Rao Solutions, Llc","Germantown Innovation Center","20271 Goldenrod Lane, 2nd Floor, Germantown, MD 20876"
"FY21","Mid Year","M-3 Information, Llc","Rockville Innovation Center","155 Gibbs Street, 4th Floor, Rockville, MD 20850"
"FY21","Mid Year","Carradora Health, Inc","Rockville Innovation Center","155 Gibbs Street, 4th Floor, Rockville, MD 20850"
"FY21","Mid Year","Reveragen BioPharma, Inc","Rockville Innovation Center","155 Gibbs Street, 4th Floor, Rockville, MD 20850"
"FY21","Mid Year","Victamax","Rockville Innovation Center","155 Gibbs Street, 4th Floor, Rockville, MD 20850"
"FY21","Mid Year","The Creative Industry","Silver Spring  Innovation Center","8070 Georgia Avenue, Silver Spring, MD 20910"
